registro_id,fecha,sede,espera_min,atencion_min,estado,prioridad
TUR089-000212,2024-02-04,S2,"7,6",,abandono,preferente
TUR089-000213,2024-02-04,S3,11.2,16.7,atendido,ordinaria
TUR089-000214,2024-02-04,S1,4.5,9.8,atendido,preferente
TUR089-000215,2024-02-04,S2,27.6,15.8,atendido,ordinaria
TUR089-000216,2024-02-04,S3,9.3,10.6,atendido,preferente
TUR089-000217,2024-02-05,S1,3.4,11.5,atendido,ordinaria
TUR089-000218,2024-02-05,S2,9.3,4.6,atendido,preferente
TUR089-000219,2024-02-05,S3,18.6,16.7,atendido,ordinaria
TUR089-000220,2024-02-05,S1,6.7,6.5,atendido,preferente
TUR089-000221,2024-02-05,S2,5.2,17.3,atendido,ordinaria
TUR089-000222,2024-02-05,S3,12.6,9.9,atendido,ordinaria
TUR089-000223,2024-02-06,S1,6.7,17.7,atendido,preferente
TUR089-000224,2024-02-06,S2,11.5,17.2,atendido,ordinaria
TUR089-000225,2024-02-06,S3,11.1,7.9,atendido,ordinaria
TUR089-000226,2024-02-06,S1,8.9,11.9,atendido,ordinaria
TUR089-000227,2024-02-06,S2,6.8,11.0,atendido,preferente
TUR089-000228,2024-02-06,S3,10.1,13.6,atendido,ordinaria
TUR089-000229,2024-02-07,S1,2.1,8.3,atendido,preferente
TUR089-000230,2024-02-07,S2,5.4,14.4,atendido,preferente
TUR089-000231,2024-02-07,S3,6.3,9.1,atendido,preferente
TUR089-000232,2024-02-07,S1,2.5,16.4,atendido,preferente
TUR089-000233,2024-02-07,S2,5.8,12.3,atendido,ordinaria
TUR089-000234,2024-02-07,S3,17.9,14.3,atendido,ordinaria
TUR089-000235,2024-02-08,S1,7.7,9.9,atendido,ordinaria
TUR089-000236,2024-02-08,S2,24.7,,abandono,ordinaria
TUR089-000237,2024-02-08,S3,6.6,8.9,atendido,ordinaria
TUR089-000238,2024-02-08,S1,10.3,12.9,atendido,ordinaria
TUR089-000239,2024-02-08,S2,8.2,14.1,atendido,ordinaria
TUR089-000240,2024-02-08,S3,7.9,15.7,atendido,ordinaria
TUR089-000241,2024-02-08,S1,11.9,5.5,atendido,preferente
TUR089-000242,2024-02-09,S2,11.0,4.8,atendido,ordinaria
TUR089-000243,2024-02-09,S3,4.5,6.2,atendido,preferente
TUR089-000244,2024-02-09,S1,3.7,16.4,atendido,ordinaria
TUR089-000245,2024-02-09,S2,7.2,14.1,atendido,ordinaria
TUR089-000246,2024-02-09,S3,45.3,7.1,atendido,ordinaria
TUR089-000247,2024-02-09,S1,9.4,3.0,atendido,ordinaria
TUR089-000248,2024-02-10,S2,6.1,10.7,atendido,ordinaria
TUR089-000249,2024-02-10,S3,3.8,6.7,atendido,preferente
TUR089-000250,2024-02-10,S1,,13.5,atendido,ordinaria
TUR089-000251,2024-02-10,S2,10.8,9.6,atendido,preferente
TUR089-000252,2024-02-10,S3,12.3,14.3,atendido,ordinaria
TUR089-000253,2024-02-10,S1,11.2,16.1,atendido,ordinaria
TUR089-000254,2024-02-11,S2,9.4,12.3,atendido,preferente
TUR089-000255,2024-02-11,S3,27.0,4.4,atendido,ordinaria
TUR089-000256,2024-02-11,S1,11.0,7.3,atendido,ordinaria
TUR089-000257,2024-02-11,S2,13.9,13.6,atendido,ordinaria
TUR089-000258,2024-02-11,S3,6.9,8.8,atendido,ordinaria
TUR089-000259,2024-02-11,S1,22.0,4.4,atendido,ordinaria
TUR089-000260,2024-02-12,S2,14.2,15.0,atendido,preferente
TUR089-000261,2024-02-12,S3,16.3,16.9,atendido,ordinaria
TUR089-000262,2024-02-12,S1,9.1,9.1,atendido,ordinaria
TUR089-000263,2024-02-12,S2,5.1,17.7,atendido,ordinaria
TUR089-000264,2024-02-12,S3,19.4,15.6,atendido,ordinaria
TUR089-000265,2024-02-12,S1,4.2,3.6,atendido,ordinaria
TUR089-000266,2024-02-13,S2,15.4,16.5,atendido,ordinaria
TUR089-000267,2024-02-13,S3,13.2,17.6,atendido,preferente
TUR089-000268,2024-02-13,S1,14.2,8.8,atendido,ordinaria
TUR089-000269,2024-02-13,S2,3.7,11.3,atendido,ordinaria
TUR089-000270,2024-02-13,S3,5.8,,abandono,ordinaria
TUR089-000271,2024-02-13,S1,11.3,14.9,atendido,ordinaria
TUR089-000272,2024-02-14,S2,15.7,16.8,atendido,ordinaria
TUR089-000273,2024-02-14,S3,8.4,12.9,atendido,preferente
TUR089-000274,2024-02-14,S1,8.4,8.1,atendido,preferente
TUR089-000275,2024-02-14,S2,9.1,16.0,atendido,ordinaria
TUR089-000276,2024-02-14,S3,8.7,9.4,atendido,preferente
TUR089-000277,2024-02-14,S1,2.2,4.7,atendido,ordinaria
TUR089-000278,2024-02-14,S2,12.9,5.5,atendido,ordinaria
TUR089-000279,2024-02-15,S3,20.1,17.7,atendido,ordinaria
TUR089-000280,2024-02-15,S1,9.8,4.8,atendido,ordinaria
TUR089-000281,2024-02-15,S2,3.1,6.7,atendido,preferente
TUR089-000282,2024-02-15,S3,6.2,3.8,atendido,ordinaria
TUR089-000283,2024-02-15,S1,16.6,17.9,atendido,ordinaria
TUR089-000284,2024-02-15,S2,7.8,11.9,atendido,ordinaria
TUR089-000285,2024-02-16,S3,5.5,9.3,atendido,ordinaria
TUR089-000286,2024-02-16,S1,5.3,10.1,atendido,ordinaria
TUR089-000287,2024-02-16,S2,6.3,12.5,atendido,ordinaria
TUR089-000288,2024-02-16,S3,5.4,9.5,atendido,preferente
TUR089-000289,2024-02-16,S1,3.6,9.5,atendido,ordinaria
TUR089-000290,2024-02-16,S2,9.0,16.7,atendido,ordinaria
TUR089-000291,2024-02-17,S3,5.8,8.4,atendido,ordinaria
TUR089-000292,2024-02-17,S1,5.3,16.0, ATENDIDO ,ordinaria
TUR089-000293,2024-02-17,S2,10.9,5.0,atendido,ordinaria
TUR089-000294,2024-02-17,S3,49.4,16.9,atendido,ordinaria
TUR089-000295,2024-02-17,S1,5.2,11.8,atendido,ordinaria
TUR089-000296,2024-02-17,S2,34.1,4.7,atendido,ordinaria
TUR089-000297,2024-02-18,S3,11.0,4.1,atendido,ordinaria
TUR089-000298,2024-02-18,S1,3.8,17.0,atendido,preferente
TUR089-000299,2024-02-18,S2,24.4,5.0,atendido,ordinaria
TUR089-000300,2024-02-18,S3,9.0,17.9,atendido,ordinaria
TUR089-000301,2024-02-18,S1,3.9,7.8,atendido,preferente
TUR089-000302,2024-02-18,S2,4.0,8.5,atendido,preferente
TUR089-000303,2024-02-19,S3,19.7,,abandono,ordinaria
TUR089-000304,2024-02-19,S1,4.8,16.2,atendido,ordinaria
TUR089-000305,2024-02-19,S2,24.7,,abandono,ordinaria
TUR089-000306,2024-02-19,S3,2.0,11.6,atendido,preferente
TUR089-000307,2024-02-19,S1,2.1,12.2,atendido,ordinaria
TUR089-000308,2024-02-19,S2,5.3,9.8,atendido,preferente
TUR089-000309,2024-02-20,S3,13.7,16.9,atendido,ordinaria
TUR089-000310,2024-02-20,S1,2.1,11.1,atendido,preferente
TUR089-000311,2024-02-20,S2,9.7,17.5,atendido,ordinaria
TUR089-000312,2024-02-20,S3,10.9,14.4,atendido,preferente
TUR089-000313,2024-02-20,S1,23.0,,abandono,ordinaria
TUR089-000314,2024-02-20,S2,4.5,12.4,atendido,ordinaria
TUR089-000315,2024-02-21,S3,28.9,,abandono,ordinaria
TUR089-000316,2024-02-21,S1,10.1,3.6,atendido,ordinaria
TUR089-000317,2024-02-21,S2,13.4,3.1,atendido,ordinaria
TUR089-000318,2024-02-21,S3,12.9,16.6,atendido,ordinaria
TUR089-000319,2024-02-21,S1,9.5,10.6,atendido,ordinaria
TUR089-000320,2024-02-21,S2,4.1,7.4,atendido,ordinaria
TUR089-000321,2024-02-21,S3,11.9,17.7,atendido,preferente
TUR089-000322,2024-02-22,S1,7.2,5.9,atendido,ordinaria
TUR089-000323,2024-02-22,S2,26.2,13.5,atendido,ordinaria
TUR089-000324,2024-02-22,S3,4.2,10.0,atendido,preferente
TUR089-000325,2024-02-22,S1,13.9,9.7,atendido,ordinaria
TUR089-000326,2024-02-22,S2,19.2,10.4,atendido,ordinaria
TUR089-000327,2024-02-22,S3,8.0,10.2,atendido,preferente
TUR089-000328,2024-02-23,S1,7.3,8.4,atendido,ordinaria
TUR089-000329,2024-02-23,S2,9.4,14.8,atendido,ordinaria
TUR089-000330,2024-02-23,S3,2.9,11.0,atendido,preferente
TUR089-000331,2024-02-23,S1,2.8,3.4,atendido,ordinaria
TUR089-000332,2024-02-23,S2,11.1,8.2,atendido,ordinaria
TUR089-000333,2024-02-23,S3,,11.3,atendido,preferente
TUR089-000334,2024-02-24,S1,4.8,16.2,atendido,ordinaria
TUR089-000335,2024-02-24,S2,8.8,3.3,atendido,ordinaria
TUR089-000336,2024-02-24,S3,9.4,14.8,atendido,ordinaria
TUR089-000337,2024-02-24,S1,1.9,15.5,atendido,preferente
TUR089-000338,2024-02-24,S2,8.9,15.9,atendido,ordinaria
TUR089-000339,2024-02-24,S3,5.7,4.5,atendido,preferente
TUR089-000340,2024-02-25,S1,4.8,9.5,atendido,ordinaria
TUR089-000341,2024-02-25,S2,9.7,8.7,atendido,ordinaria
TUR089-000342,2024-02-25,S3,19.8,17.5,atendido,ordinaria
TUR089-000343,2024-02-25,S1,1.3,5.6,atendido,preferente
TUR089-000344,2024-02-25,S2,11.4,11.5,atendido,preferente
TUR089-000345,2024-02-25,S3,28.9,,abandono,ordinaria
TUR089-000346,2024-02-26,S1,51.3,6.3,atendido,ordinaria
TUR089-000347,2024-02-26,S2,23.2,5.6,atendido,ordinaria
TUR089-000348,2024-02-26,S3,6.9,16.1,atendido,ordinaria
TUR089-000349,2024-02-26,S1,15.2,13.6,atendido,ordinaria
TUR089-000350,2024-02-26,S2,8.0,8.4,atendido,preferente
TUR089-000351,2024-02-26,S3,11.2,14.3,atendido,ordinaria
TUR089-000352,2024-02-27,S1,11.6,6.3,atendido,ordinaria
TUR089-000353,2024-02-27,S2,7.2,3.9,atendido,ordinaria
TUR089-000354,2024-02-27,S3,13.5,13.3,atendido,ordinaria
TUR089-000355,2024-02-27,S1,2.8,6.0,atendido,preferente
TUR089-000356,2024-02-27,S2,2.9,7.6,atendido,ordinaria
TUR089-000357,2024-02-27,S3,12.5,3.3,atendido,preferente
TUR089-000358,2024-02-27,S1,5.0,16.3,atendido,ordinaria
TUR089-000359,2024-02-28,S2,7.9,17.7,atendido,preferente
TUR089-000360,2024-02-28,S3,6.6,13.2,atendido,preferente
TUR089-000361,2024-02-28,S1,8.7,5.7,atendido,ordinaria
TUR089-000362,2024-02-28,S2,2.8,8.8,atendido,ordinaria
TUR089-000363,2024-02-28,S3,15.6,15.9,atendido,ordinaria
TUR089-000364,2024-02-28,S1,35.2,14.8,atendido,ordinaria
TUR089-000365,2024-02-29,S2,9.0,12.2,atendido,preferente
TUR089-000366,2024-02-29,S3,10.7,8.8,atendido,ordinaria
TUR089-000367,2024-02-29,S1,6.9,17.3,atendido,ordinaria
TUR089-000368,2024-02-29,S2,20.4,10.2,atendido,preferente
TUR089-000369,2024-02-29,S3,18.5,8.6,atendido,ordinaria
TUR089-000370,2024-02-29,S1,20.6,3.6,atendido,preferente
TUR089-000371,2024-03-01,S2,11.0,7.9,atendido,ordinaria
TUR089-000372,2024-03-01,S3,3.2,12.9,atendido,preferente
TUR089-000373,2024-03-01,S1,9.4,15.3,atendido,ordinaria
TUR089-000374,2024-03-01,S2,11.0,7.7,atendido,ordinaria
TUR089-000375,2024-03-01,S3,9.3,9.6,atendido,ordinaria
TUR089-000376,2024-03-01,S1,4.4,7.7,atendido,preferente
TUR089-000377,2024-03-02,S2,3.3,10.1,atendido,preferente
TUR089-000378,2024-03-02,S3,12.6,15.0,atendido,preferente
TUR089-000379,2024-03-02,S1,2.3,,abandono,ordinaria
TUR089-000380,2024-03-02,S2,7.6,15.6,atendido,ordinaria
TUR089-000381,2024-03-02,S3,6.0,9.0,atendido,ordinaria
TUR089-000382,2024-03-02,S1,6.2,10.6,atendido,ordinaria
TUR089-000383,2024-03-03,S2,4.3,13.4,atendido,preferente
TUR089-000384,2024-03-03,S3,27.4,10.0,atendido,preferente
TUR089-000385,2024-03-03,S1,7.9,11.9,atendido,preferente
TUR089-000386,2024-03-03,S2,26.4,4.6,atendido,ordinaria
TUR089-000387,2024-03-03,S3,20.0,6.0,atendido,preferente
TUR089-000388,2024-03-03,S1,11.7,4.8,atendido,ordinaria
TUR089-000389,2024-03-04,S2,16.0,13.2, ATENDIDO ,ordinaria
TUR089-000390,2024-03-04,S3,14.1,16.5,atendido,ordinaria
TUR089-000391,2024-03-04,S1,9.0,4.7,atendido,preferente
TUR089-000392,2024-03-04,S2,3.8,14.2,atendido,ordinaria
TUR089-000393,2024-03-04,S3,18.3,9.2,atendido,ordinaria
TUR089-000394,2024-03-04,S1,4.9,5.7,atendido,preferente
TUR089-000395,2024-03-05,S2,8.2,5.2,atendido,ordinaria
TUR089-000396,2024-03-05,S3,5.3,8.2,atendido,preferente
