devolucion_id,registro_id,fecha,unidades_devueltas
D000074,CAJ090-001521,2024-09-15,3
D000075,CAJ090-001540,2024-09-19,2
D000076,CAJ090-001559,2024-09-22,1
D000077,CAJ090-001578,2024-09-25,2
D000078,CAJ090-001597,2024-09-28,1
D000079,CAJ090-001616,2024-10-01,3
D000080,CAJ090-001635,2024-10-04,1
D000081,CAJ090-001673,2024-10-10,3
D000082,CAJ090-001692,2024-10-13,3
D000083,CAJ090-001711,2024-10-16,1
D000084,CAJ090-001730,2024-10-19,4
D000085,CAJ090-001749,2024-10-22,3
D000086,CAJ090-001768,2024-10-26,2
D000087,CAJ090-001787,2024-10-29,2
D000088,CAJ090-001806,2024-11-01,4
D000089,CAJ090-001844,2024-11-07,4
D000090,CAJ090-001863,2024-11-10,4
D000091,CAJ090-001882,2024-11-13,1
D000092,CAJ090-001901,2024-11-16,3
D000093,CAJ090-001920,2024-11-19,3
D000094,CAJ090-001939,2024-11-22,4
D000095,CAJ090-001958,2024-11-25,1
D000096,CAJ090-001977,2024-11-28,1
D000097,CAJ090-001996,2024-12-02,1
D000098,CAJ090-002015,2024-12-05,1
D000099,CAJ090-002034,2024-12-08,2
D000100,CAJ090-002053,2024-12-11,4
D000101,CAJ090-002072,2024-12-14,1
D000102,CAJ090-002091,2024-12-17,3
D000103,CAJ090-002110,2024-12-20,4
D000104,CAJ090-002129,2024-12-23,4
D000105,CAJ090-002148,2024-12-26,1
D000106,CAJ090-002167,2024-12-29,1
D000107,CAJ090-002186,2025-01-01,1
D000108,CAJ090-002205,2025-01-05,1
D000109,CAJ090-002224,2025-01-08,1
D000110,CAJ090-002243,2025-01-11,2
D000111,CAJ090-002262,2025-01-14,2
D000112,CAJ090-002281,2025-01-17,2
D000113,CAJ090-002300,2025-01-20,2
D000114,CAJ090-002319,2025-01-23,4
D000115,CAJ090-002338,2025-01-26,4
D000116,CAJ090-002357,2025-01-29,1
D000117,CAJ090-002376,2025-02-01,3
D000118,CAJ090-002395,2025-02-04,4
D000119,CAJ090-002433,2025-02-11,2
D000120,CAJ090-002452,2025-02-14,3
D000121,CAJ090-002471,2025-02-17,1
D000122,CAJ090-002490,2025-02-20,1
D000123,CAJ090-002509,2025-02-23,4
D000124,CAJ090-002528,2025-02-26,1
D000125,CAJ090-002547,2025-03-01,1
D000126,CAJ090-002566,2025-03-04,2
D000127,CAJ090-002585,2025-03-07,1
D000128,CAJ090-002623,2025-03-13,2
D000129,CAJ090-002642,2025-03-17,1
D000130,CAJ090-002680,2025-03-23,3
D000131,CAJ090-002699,2025-03-26,2
D000132,CAJ090-002718,2025-03-29,1
D000133,CAJ090-002737,2025-04-01,2
D000134,CAJ090-002756,2025-04-04,1
D000135,CAJ090-002775,2025-04-07,3
D000136,CAJ090-002794,2025-04-10,2
D000137,CAJ090-002832,2025-04-16,1
D000138,CAJ090-002851,2025-04-19,2
D000139,CAJ090-002870,2025-04-23,4
D000140,CAJ090-002889,2025-04-26,1
D000141,CAJ090-002908,2025-04-29,4
D000142,CAJ090-002927,2025-05-02,2
D000143,CAJ090-002965,2025-05-08,1
D000144,CAJ090-002984,2025-05-11,4
D000145,CAJ090-003003,2025-05-14,4
D000146,CAJ090-003022,2025-05-17,2
D000147,CAJ090-003041,2025-05-20,3
D000148,CAJ090-003060,2025-05-23,2
D000149,CAJ090-003079,2025-05-27,1
D000150,CAJ090-003098,2025-05-30,4
D000151,CAJ090-003117,2025-06-02,1
D000152,CAJ090-003136,2025-06-05,3
D000153,CAJ090-003155,2025-06-08,3
D000154,CAJ090-003174,2025-06-11,4
D000155,CAJ090-003193,2025-06-14,4
D000156,CAJ090-003212,2025-06-17,4
D000157,CAJ090-003231,2025-06-20,2
D000158,CAJ090-003250,2025-06-23,1
D000159,CAJ090-003269,2025-06-26,1
D000160,CAJ090-003288,2025-06-29,4
D000161,CAJ090-003307,2025-07-03,2
D000162,CAJ090-003326,2025-07-06,1
D000163,CAJ090-003345,2025-07-09,4
D000164,CAJ090-003364,2025-07-12,1
D000165,CAJ090-003383,2025-07-15,2
D000166,CAJ090-003402,2025-07-18,4
D000167,CAJ090-003421,2025-07-21,4
D000168,CAJ090-003440,2025-07-24,2
D000169,CAJ090-003478,2025-07-30,3
D000170,CAJ090-003497,2025-08-02,2
D000171,CAJ090-003535,2025-08-09,3
D000172,CAJ090-003554,2025-08-12,4
D000173,CAJ090-003573,2025-08-15,1
D000174,CAJ090-003592,2025-08-18,2
D000175,CAJ090-003611,2025-08-21,4
D000176,CAJ090-003630,2025-08-24,1
D000177,CAJ090-003649,2025-08-27,2
D000178,CAJ090-003668,2025-08-30,2
D000179,CAJ090-003687,2025-09-02,4
D000180,CAJ090-003706,2025-09-05,4
D000181,CAJ090-003725,2025-09-08,1
D000182,CAJ090-003744,2025-09-12,3
D000183,CAJ090-003763,2025-09-15,1
D000184,CAJ090-003782,2025-09-18,4
D000185,CAJ090-003801,2025-09-21,4
D000186,CAJ090-003820,2025-09-24,4
D000187,CAJ090-003839,2025-09-27,3
D000188,CAJ090-003858,2025-09-30,1
D000189,CAJ090-003877,2025-10-03,2
D000190,CAJ090-003896,2025-10-06,3
D000191,CAJ090-003915,2025-10-09,2
D000192,CAJ090-003934,2025-10-12,1
D000193,CAJ090-003953,2025-10-15,1
D000194,CAJ090-003972,2025-10-19,3
D000195,CAJ090-003991,2025-10-22,3
D000196,CAJ090-004010,2025-10-25,3
D000197,CAJ090-004029,2025-10-28,2
D000198,CAJ090-004048,2025-10-31,4
D000199,CAJ090-004067,2025-11-03,1
D000200,CAJ090-004086,2025-11-06,2
D000201,CAJ090-004105,2025-11-09,3
D000202,CAJ090-004124,2025-11-12,3
D000203,CAJ090-004143,2025-11-15,2
D000204,CAJ090-004162,2025-11-18,1
D000205,CAJ090-004181,2025-11-22,1
D000206,CAJ090-004200,2025-11-25,2
D000207,CAJ090-004219,2025-11-28,1
D000208,CAJ090-004238,2025-12-01,1
D000209,CAJ090-004257,2025-12-04,1
D000210,CAJ090-004276,2025-12-07,4
D000211,CAJ090-004295,2025-12-10,2
D000212,CAJ090-004314,2025-12-13,4
D000213,CAJ090-004333,2025-12-16,1
D000214,CAJ090-004352,2025-12-19,3
D000215,CAJ090-004371,2025-12-22,2
D000216,CAJ090-004390,2025-12-25,4
D000217,CAJ090-004428,2026-01-01,2
D000218,CAJ090-004447,2026-01-04,1
D000219,CAJ090-004485,2026-01-10,2
