usuario,alta,pais
U0100,2024-03-21,CL
U0101,2024-03-21,CO
U0102,2024-03-21,PE
U0103,2024-03-20,CL
U0104,2024-03-20,CO
U0105,2024-03-20,PE
U0106,2024-03-20,CL
U0107,2024-03-20,CO
U0108,2024-03-19,PE
U0109,2024-03-19,CL
U0110,2024-03-29,CO
U0111,2024-03-29,PE
U0112,2024-03-29,CL
U0113,2024-03-28,CO
U0114,2024-03-28,PE
U0115,2024-03-28,CL
U0116,2024-03-28,CO
U0117,2024-03-28,PE
U0118,2024-03-28,CL
U0119,2024-03-27,CO
U0120,2024-04-06,PE
U0121,2024-04-06,CL
U0122,2024-04-06,CO
U0123,2024-04-06,PE
U0124,2024-04-05,CL
U0125,2024-04-05,CO
U0126,2024-04-05,PE
U0127,2024-04-05,CL
U0128,2024-04-05,CO
U0129,2024-04-04,PE
U0130,2024-04-14,CL
U0131,2024-04-14,CO
U0132,2024-04-14,PE
U0133,2024-04-14,CL
U0134,2024-04-14,CO
U0135,2024-04-13,PE
U0136,2024-04-13,CL
U0137,2024-04-13,CO
U0138,2024-04-13,PE
U0139,2024-04-13,CL
U0140,2024-04-22,CO
U0141,2024-04-22,PE
U0142,2024-04-22,CL
U0143,2024-04-22,CO
U0144,2024-04-22,PE
U0145,2024-04-21,CL
U0146,2024-04-21,CO
U0147,2024-04-21,PE
U0148,2024-04-21,CL
U0149,2024-04-21,CO
U0150,2024-05-01,PE
U0151,2024-04-30,CL
U0152,2024-04-30,CO
U0153,2024-04-30,PE
U0154,2024-04-30,CL
U0155,2024-04-30,CO
U0156,2024-04-29,PE
U0157,2024-04-29,CL
U0158,2024-04-29,CO
U0159,2024-04-29,PE
U0160,2024-05-09,CL
U0161,2024-05-08,CO
U0162,2024-05-08,PE
U0163,2024-05-08,CL
U0164,2024-05-08,CO
U0165,2024-05-08,PE
U0166,2024-05-08,CL
U0167,2024-05-07,CO
U0168,2024-05-07,PE
U0169,2024-05-07,CL
U0170,2024-05-17,CO
U0171,2024-05-17,PE
U0172,2024-05-16,CL
U0173,2024-05-16,CO
U0174,2024-05-16,PE
U0175,2024-05-16,CL
U0176,2024-05-16,CO
U0177,2024-05-15,PE
U0178,2024-05-15,CL
U0179,2024-05-15,CO
U0180,2024-05-25,PE
U0181,2024-05-25,CL
U0182,2024-05-25,CO
U0183,2024-05-24,PE
U0184,2024-05-24,CL
U0185,2024-05-24,CO
U0186,2024-05-24,PE
U0187,2024-05-24,CL
U0188,2024-05-23,CO
U0189,2024-05-23,PE
U0190,2024-06-02,CL
U0191,2024-06-02,CO
U0192,2024-06-02,PE
U0193,2024-06-01,CL
U0194,2024-06-01,CO
U0195,2024-06-01,PE
U0196,2024-06-01,CL
U0197,2024-06-01,CO
U0198,2024-06-01,PE
U0199,2024-05-31,CL
U0200,2024-06-10,CO
U0201,2024-06-10,PE
U0202,2024-06-10,CL
U0203,2024-06-10,CO
U0204,2024-06-09,PE
U0205,2024-06-09,CL
U0206,2024-06-09,CO
U0207,2024-06-09,PE
U0208,2024-06-09,CL
U0209,2024-06-08,CO
U0210,2024-06-18,PE
U0211,2024-06-18,CL
U0212,2024-06-18,CO
U0213,2024-06-18,PE
U0214,2024-06-18,CL
U0215,2024-06-17,CO
U0216,2024-06-17,PE
U0217,2024-06-17,CL
U0218,2024-06-17,CO
U0219,2024-06-17,PE
U0220,2024-06-26,CL
U0221,2024-06-26,CO
U0222,2024-06-26,PE
U0223,2024-06-26,CL
U0224,2024-06-26,CO
U0225,2024-06-25,PE
U0226,2024-06-25,CL
U0227,2024-06-25,CO
U0228,2024-06-25,PE
U0229,2024-06-25,CL
U0230,2024-07-04,CO
U0231,2024-07-04,PE
U0232,2024-07-04,CL
U0233,2024-07-04,CO
U0234,2024-07-04,PE
U0235,2024-07-04,CL
U0236,2024-07-03,CO
U0237,2024-07-03,PE
U0238,2024-07-03,CL
U0239,2024-07-03,CO
U0240,2024-07-13,PE
U0241,2024-07-12,CL
U0242,2024-07-12,CO
U0243,2024-07-12,PE
U0244,2024-07-12,CL
U0245,2024-07-12,CO
U0246,2024-07-11,PE
U0247,2024-07-11,CL
U0248,2024-07-11,CO
U0249,2024-07-11,PE
U0250,2024-07-21,CL
U0251,2024-07-21,CO
U0252,2024-07-20,PE
U0253,2024-07-20,CL
U0254,2024-07-20,CO
U0255,2024-07-20,PE
U0256,2024-07-20,CL
U0257,2024-07-19,CO
U0258,2024-07-19,PE
U0259,2024-07-19,CL
U0260,2024-07-29,CO
U0261,2024-07-29,PE
U0262,2024-07-28,CL
U0263,2024-07-28,CO
U0264,2024-07-28,PE
U0265,2024-07-28,CL
U0266,2024-07-28,CO
U0267,2024-07-28,PE
U0268,2024-07-27,CL
U0269,2024-07-27,CO
U0270,2024-08-06,PE
U0271,2024-08-06,CL
U0272,2024-08-06,CO
U0273,2024-08-05,PE
U0274,2024-08-05,CL
U0275,2024-08-05,CO
U0276,2024-08-05,PE
U0277,2024-08-05,CL
U0278,2024-08-04,CO
U0279,2024-08-04,PE
U0280,2024-08-14,CL
U0281,2024-08-14,CO
U0282,2024-08-14,PE
U0283,2024-08-14,CL
U0284,2024-08-13,CO
U0285,2024-08-13,PE
U0286,2024-08-13,CL
U0287,2024-08-13,CO
U0288,2024-08-13,PE
U0289,2024-08-12,CL
U0290,2024-08-22,CO
U0291,2024-08-22,PE
U0292,2024-08-22,CL
U0293,2024-08-22,CO
U0294,2024-08-21,PE
U0295,2024-08-21,CL
U0296,2024-08-21,CO
U0297,2024-08-21,PE
U0298,2024-08-21,CL
U0299,2024-08-21,CO
U0300,2024-08-30,PE
U0301,2024-08-30,CL
U0302,2024-08-30,CO
U0303,2024-08-30,PE
U0304,2024-08-30,CL
U0305,2024-08-29,CO
U0306,2024-08-29,PE
U0307,2024-08-29,CL
U0308,2024-08-29,CO
U0309,2024-08-29,PE
U0310,2024-09-07,CL
U0311,2024-09-07,CO
U0312,2024-09-07,PE
U0313,2024-09-07,CL
U0314,2024-09-07,CO
U0315,2024-09-07,PE
U0316,2024-09-06,CL
U0317,2024-09-06,CO
U0318,2024-09-06,PE
U0319,2024-09-06,CL
U0320,2024-09-16,CO
U0321,2024-09-15,PE
U0322,2024-09-15,CL
U0323,2024-09-15,CO
U0324,2024-09-15,PE
U0325,2024-09-15,CL
U0326,2024-09-14,CO
U0327,2024-09-14,PE
U0328,2024-09-14,CL
U0329,2024-09-14,CO
U0330,2024-09-24,PE
U0331,2024-09-24,CL
U0332,2024-09-23,CO
U0333,2024-09-23,PE
U0334,2024-09-23,CL
U0335,2024-09-23,CO
U0336,2024-09-23,PE
U0337,2024-09-22,CL
U0338,2024-09-22,CO
U0339,2024-09-22,PE
U0340,2024-10-02,CL
U0341,2024-10-02,CO
U0342,2024-10-01,PE
U0343,2024-10-01,CL
U0344,2024-10-01,CO
U0345,2024-10-01,PE
U0346,2024-10-01,CL
U0347,2024-10-01,CO
U0348,2024-09-30,PE
U0349,2024-09-30,CL
U0350,2024-10-10,CO
U0351,2024-10-10,PE
U0352,2024-10-10,CL
U0353,2024-10-09,CO
U0354,2024-10-09,PE
U0355,2024-10-09,CL
U0356,2024-10-09,CO
U0357,2024-10-09,PE
U0358,2024-10-08,CL
U0359,2024-10-08,CO
U0360,2024-10-18,PE
U0361,2024-10-18,CL
U0362,2024-10-18,CO
U0363,2024-10-18,PE
U0364,2024-10-17,CL
U0365,2024-10-17,CO
U0366,2024-10-17,PE
U0367,2024-10-17,CL
U0368,2024-10-17,CO
U0369,2024-10-16,PE
U0370,2024-10-26,CL
U0371,2024-10-26,CO
U0372,2024-10-26,PE
U0373,2024-10-26,CL
U0374,2024-10-25,CO
U0375,2024-10-25,PE
U0376,2024-10-25,CL
U0377,2024-10-25,CO
U0378,2024-10-25,PE
U0379,2024-10-25,CL
U0380,2024-11-03,CO
U0381,2024-11-03,PE
U0382,2024-11-03,CL
U0383,2024-11-03,CO
U0384,2024-11-03,PE
U0385,2024-11-02,CL
U0386,2024-11-02,CO
U0387,2024-11-02,PE
U0388,2024-11-02,CL
U0389,2024-11-02,CO
U0390,2024-11-11,PE
U0391,2024-11-11,CL
U0392,2024-11-11,CO
U0393,2024-11-11,PE
U0394,2024-11-11,CL
U0395,2024-11-11,CO
U0396,2024-11-10,PE
U0397,2024-11-10,CL
U0398,2024-11-10,CO
U0399,2024-11-10,PE
U0400,2024-11-20,CL
U0401,2024-11-19,CO
U0402,2024-11-19,PE
U0403,2024-11-19,CL
U0404,2024-11-19,CO
U0405,2024-11-19,PE
U0406,2024-11-18,CL
U0407,2024-11-18,CO
U0408,2024-11-18,PE
U0409,2024-11-18,CL
U0410,2024-11-28,CO
U0411,2024-11-28,PE
U0412,2024-11-27,CL
U0413,2024-11-27,CO
U0414,2024-11-27,PE
U0415,2024-11-27,CL
U0416,2024-11-27,CO
U0417,2024-11-26,PE
U0418,2024-11-26,CL
U0419,2024-11-26,CO
U0420,2024-12-06,PE
U0421,2024-12-06,CL
U0422,2024-12-05,CO
U0423,2024-12-05,PE
U0424,2024-12-05,CL
U0425,2024-12-05,CO
U0426,2024-12-05,PE
U0427,2024-12-05,CL
U0428,2024-12-04,CO
U0429,2024-12-04,PE
U0430,2024-12-14,CL
U0431,2024-12-14,CO
U0432,2024-12-14,PE
U0433,2024-12-13,CL
U0434,2024-12-13,CO
U0435,2024-12-13,PE
U0436,2024-12-13,CL
U0437,2024-12-13,CO
U0438,2024-12-12,PE
U0439,2024-12-12,CL
U0440,2024-12-22,CO
U0441,2024-12-22,PE
U0442,2024-12-22,CL
U0443,2024-12-22,CO
U0444,2024-12-21,PE
U0445,2024-12-21,CL
U0446,2024-12-21,CO
U0447,2024-12-21,PE
U0448,2024-12-21,CL
U0449,2024-12-20,CO
U0450,2024-12-30,PE
U0451,2024-12-30,CL
U0452,2024-12-30,CO
U0453,2024-12-30,PE
U0454,2024-12-29,CL
U0455,2024-12-29,CO
U0456,2024-12-29,PE
U0457,2024-12-29,CL
U0458,2024-12-29,CO
U0459,2024-12-28,PE
U0460,2025-01-07,CL
U0461,2025-01-07,CO
U0462,2025-01-07,PE
U0463,2025-01-07,CL
U0464,2025-01-07,CO
U0465,2025-01-06,PE
U0466,2025-01-06,CL
U0467,2025-01-06,CO
U0468,2025-01-06,PE
U0469,2025-01-06,CL
U0470,2025-01-15,CO
U0471,2025-01-15,PE
U0472,2025-01-15,CL
U0473,2025-01-15,CO
U0474,2025-01-15,PE
U0475,2025-01-14,CL
U0476,2025-01-14,CO
U0477,2025-01-14,PE
U0478,2025-01-14,CL
U0479,2025-01-14,CO
U0480,2025-01-24,PE
U0481,2025-01-23,CL
U0482,2025-01-23,CO
U0483,2025-01-23,PE
U0484,2025-01-23,CL
U0485,2025-01-23,CO
U0486,2025-01-22,PE
U0487,2025-01-22,CL
U0488,2025-01-22,CO
U0489,2025-01-22,PE
U0490,2025-02-01,CL
U0491,2025-01-31,CO
U0492,2025-01-31,PE
U0493,2025-01-31,CL
U0494,2025-01-31,CO
U0495,2025-01-31,PE
U0496,2025-01-31,CL
U0497,2025-01-30,CO
U0498,2025-01-30,PE
U0499,2025-01-30,CL
U0500,2025-02-09,CO
U0501,2025-02-09,PE
U0502,2025-02-08,CL
U0503,2025-02-08,CO
U0504,2025-02-08,PE
U0505,2025-02-08,CL
U0506,2025-02-08,CO
U0507,2025-02-07,PE
U0508,2025-02-07,CL
U0509,2025-02-07,CO
U0510,2025-02-17,PE
U0511,2025-02-17,CL
U0512,2025-02-17,CO
U0513,2025-02-16,PE
U0514,2025-02-16,CL
U0515,2025-02-16,CO
U0516,2025-02-16,PE
U0517,2025-02-16,CL
U0518,2025-02-15,CO
U0519,2025-02-15,PE
U0520,2025-02-25,CL
U0521,2025-02-25,CO
U0522,2025-02-25,PE
U0523,2025-02-24,CL
U0524,2025-02-24,CO
U0525,2025-02-24,PE
U0526,2025-02-24,CL
U0527,2025-02-24,CO
U0528,2025-02-24,PE
U0529,2025-02-23,CL
U0530,2025-03-05,CO
U0531,2025-03-05,PE
U0532,2025-03-05,CL
U0533,2025-03-05,CO
U0534,2025-03-04,PE
U0535,2025-03-04,CL
U0536,2025-03-04,CO
U0537,2025-03-04,PE
U0538,2025-03-04,CL
U0539,2025-03-03,CO
U0540,2025-03-13,PE
U0541,2025-03-13,CL
U0542,2025-03-13,CO
U0543,2025-03-13,PE
U0544,2025-03-13,CL
U0545,2025-03-12,CO
U0546,2025-03-12,PE
U0547,2025-03-12,CL
U0548,2025-03-12,CO
U0549,2025-03-12,PE
U0550,2025-03-21,CL
U0551,2025-03-21,CO
U0552,2025-03-21,PE
U0553,2025-03-21,CL
U0554,2025-03-21,CO
U0555,2025-03-20,PE
U0556,2025-03-20,CL
U0557,2025-03-20,CO
U0558,2025-03-20,PE
U0559,2025-03-20,CL
U0560,2025-03-30,CO
U0561,2025-03-29,PE
U0562,2025-03-29,CL
U0563,2025-03-29,CO
U0564,2025-03-29,PE
U0565,2025-03-29,CL
U0566,2025-03-28,CO
U0567,2025-03-28,PE
U0568,2025-03-28,CL
U0569,2025-03-28,CO
U0570,2025-04-07,PE
U0571,2025-04-06,CL
U0572,2025-04-06,CO
U0573,2025-04-06,PE
U0574,2025-04-06,CL
U0575,2025-04-06,CO
U0576,2025-04-06,PE
U0577,2025-04-05,CL
U0578,2025-04-05,CO
U0579,2025-04-05,PE
U0580,2025-04-15,CL
U0581,2025-04-15,CO
U0582,2025-04-14,PE
U0583,2025-04-14,CL
U0584,2025-04-14,CO
U0585,2025-04-14,PE
U0586,2025-04-14,CL
U0587,2025-04-13,CO
U0588,2025-04-13,PE
U0589,2025-04-13,CL
U0590,2025-04-23,CO
U0591,2025-04-23,PE
U0592,2025-04-23,CL
U0593,2025-04-22,CO
U0594,2025-04-22,PE
U0595,2025-04-22,CL
U0596,2025-04-22,CO
U0597,2025-04-22,PE
U0598,2025-04-21,CL
U0599,2025-04-21,CO
U0600,2025-05-01,PE
U0601,2025-05-01,CL
U0602,2025-05-01,CO
U0603,2025-04-30,PE
U0604,2025-04-30,CL
U0605,2025-04-30,CO
U0606,2025-04-30,PE
U0607,2025-04-30,CL
U0608,2025-04-30,CO
U0609,2025-04-29,PE
U0610,2025-05-09,CL
U0611,2025-05-09,CO
U0612,2025-05-09,PE
U0613,2025-05-09,CL
U0614,2025-05-08,CO
U0615,2025-05-08,PE
U0616,2025-05-08,CL
U0617,2025-05-08,CO
U0618,2025-05-08,PE
U0619,2025-05-07,CL
U0620,2025-05-17,CO
U0621,2025-05-17,PE
U0622,2025-05-17,CL
U0623,2025-05-17,CO
U0624,2025-05-17,PE
U0625,2025-05-16,CL
U0626,2025-05-16,CO
U0627,2025-05-16,PE
U0628,2025-05-16,CL
U0629,2025-05-16,CO
U0630,2025-05-25,PE
U0631,2025-05-25,CL
U0632,2025-05-25,CO
U0633,2025-05-25,PE
U0634,2025-05-25,CL
U0635,2025-05-24,CO
U0636,2025-05-24,PE
U0637,2025-05-24,CL
U0638,2025-05-24,CO
U0639,2025-05-24,PE
U0640,2025-06-03,CL
U0641,2025-06-02,CO
U0642,2025-06-02,PE
U0643,2025-06-02,CL
U0644,2025-06-02,CO
U0645,2025-06-02,PE
U0646,2025-06-01,CL
U0647,2025-06-01,CO
U0648,2025-06-01,PE
U0649,2025-06-01,CL
U0650,2025-06-11,CO
U0651,2025-06-10,PE
U0652,2025-06-10,CL
U0653,2025-06-10,CO
U0654,2025-06-10,PE
U0655,2025-06-10,CL
U0656,2025-06-10,CO
U0657,2025-06-09,PE
U0658,2025-06-09,CL
U0659,2025-06-09,CO
U0660,2025-06-19,PE
U0661,2025-06-19,CL
U0662,2025-06-18,CO
U0663,2025-06-18,PE
U0664,2025-06-18,CL
U0665,2025-06-18,CO
U0666,2025-06-18,PE
U0667,2025-06-17,CL
U0668,2025-06-17,CO
U0669,2025-06-17,PE
U0670,2025-06-27,CL
U0671,2025-06-27,CO
U0672,2025-06-27,PE
U0673,2025-06-26,CL
U0674,2025-06-26,CO
U0675,2025-06-26,PE
U0676,2025-06-26,CL
U0677,2025-06-26,CO
U0678,2025-06-25,PE
U0679,2025-06-25,CL
U0680,2025-07-05,CO
U0681,2025-07-05,PE
U0682,2025-07-05,CL
U0683,2025-07-04,CO
U0684,2025-07-04,PE
U0685,2025-07-04,CL
U0686,2025-07-04,CO
U0687,2025-07-04,PE
U0688,2025-07-03,CL
U0689,2025-07-03,CO
U0690,2025-07-13,PE
U0691,2025-07-13,CL
U0692,2025-07-13,CO
U0693,2025-07-13,PE
U0694,2025-07-12,CL
U0695,2025-07-12,CO
U0696,2025-07-12,PE
U0697,2025-07-12,CL
U0698,2025-07-12,CO
U0699,2025-07-11,PE
U0700,2025-07-21,CL
U0701,2025-07-21,CO
U0702,2025-07-21,PE
U0703,2025-07-21,CL
U0704,2025-07-20,CO
U0705,2025-07-20,PE
U0706,2025-07-20,CL
U0707,2025-07-20,CO
U0708,2025-07-20,PE
U0709,2025-07-20,CL
U0710,2025-07-29,CO
U0711,2025-07-29,PE
U0712,2025-07-29,CL
U0713,2025-07-29,CO
U0714,2025-07-29,PE
U0715,2025-07-28,CL
U0716,2025-07-28,CO
U0717,2025-07-28,PE
U0718,2025-07-28,CL
U0719,2025-07-28,CO
U0720,2025-08-06,PE
U0721,2025-08-06,CL
U0722,2025-08-06,CO
U0723,2025-08-06,PE
U0724,2025-08-06,CL
U0725,2025-08-06,CO
U0726,2025-08-05,PE
U0727,2025-08-05,CL
U0728,2025-08-05,CO
U0729,2025-08-05,PE
U0730,2025-08-15,CL
U0731,2025-08-14,CO
U0732,2025-08-14,PE
U0733,2025-08-14,CL
U0734,2025-08-14,CO
U0735,2025-08-14,PE
U0736,2025-08-13,CL
U0737,2025-08-13,CO
U0738,2025-08-13,PE
U0739,2025-08-13,CL
U0740,2025-08-23,CO
U0741,2025-08-23,PE
U0742,2025-08-22,CL
U0743,2025-08-22,CO
U0744,2025-08-22,PE
U0745,2025-08-22,CL
U0746,2025-08-22,CO
U0747,2025-08-21,PE
U0748,2025-08-21,CL
U0749,2025-08-21,CO
U0750,2025-08-31,PE
U0751,2025-08-31,CL
U0752,2025-08-30,CO
U0753,2025-08-30,PE
U0754,2025-08-30,CL
U0755,2025-08-30,CO
U0756,2025-08-30,PE
U0757,2025-08-30,CL
U0758,2025-08-29,CO
U0759,2025-08-29,PE
U0760,2025-09-08,CL
U0761,2025-09-08,CO
U0762,2025-09-08,PE
U0763,2025-09-07,CL
U0764,2025-09-07,CO
U0765,2025-09-07,PE
U0766,2025-09-07,CL
U0767,2025-09-07,CO
U0768,2025-09-06,PE
U0769,2025-09-06,CL
U0770,2025-09-16,CO
U0771,2025-09-16,PE
U0772,2025-09-16,CL
U0773,2025-09-16,CO
U0774,2025-09-15,PE
U0775,2025-09-15,CL
U0776,2025-09-15,CO
U0777,2025-09-15,PE
U0778,2025-09-15,CL
U0779,2025-09-14,CO
U0780,2025-09-24,PE
U0781,2025-09-24,CL
U0782,2025-09-24,CO
U0783,2025-09-24,PE
U0784,2025-09-23,CL
U0785,2025-09-23,CO
U0786,2025-09-23,PE
U0787,2025-09-23,CL
U0788,2025-09-23,CO
U0789,2025-09-23,PE
U0790,2025-10-02,CL
U0791,2025-10-02,CO
U0792,2025-10-02,PE
U0793,2025-10-02,CL
U0794,2025-10-02,CO
U0795,2025-10-01,PE
U0796,2025-10-01,CL
U0797,2025-10-01,CO
U0798,2025-10-01,PE
U0799,2025-10-01,CL
U0800,2025-10-10,CO
U0801,2025-10-10,PE
U0802,2025-10-10,CL
U0803,2025-10-10,CO
U0804,2025-10-10,PE
U0805,2025-10-10,CL
U0806,2025-10-09,CO
U0807,2025-10-09,PE
U0808,2025-10-09,CL
U0809,2025-10-09,CO
U0810,2025-10-19,PE
U0811,2025-10-18,CL
U0812,2025-10-18,CO
U0813,2025-10-18,PE
U0814,2025-10-18,CL
U0815,2025-10-18,CO
U0816,2025-10-17,PE
U0817,2025-10-17,CL
U0818,2025-10-17,CO
U0819,2025-10-17,PE
U0820,2025-10-27,CL
U0821,2025-10-27,CO
U0822,2025-10-26,PE
U0823,2025-10-26,CL
U0824,2025-10-26,CO
U0825,2025-10-26,PE
U0826,2025-10-26,CL
U0827,2025-10-25,CO
U0828,2025-10-25,PE
U0829,2025-10-25,CL
U0830,2025-11-04,CO
U0831,2025-11-04,PE
U0832,2025-11-03,CL
U0833,2025-11-03,CO
U0834,2025-11-03,PE
U0835,2025-11-03,CL
U0836,2025-11-03,CO
U0837,2025-11-03,PE
U0838,2025-11-02,CL
U0839,2025-11-02,CO
U0840,2025-11-12,PE
U0841,2025-11-12,CL
U0842,2025-11-12,CO
U0843,2025-11-11,PE
U0844,2025-11-11,CL
U0845,2025-11-11,CO
U0846,2025-11-11,PE
U0847,2025-11-11,CL
U0848,2025-11-10,CO
U0849,2025-11-10,PE
U0850,2025-11-20,CL
U0851,2025-11-20,CO
U0852,2025-11-20,PE
U0853,2025-11-20,CL
U0854,2025-11-19,CO
U0855,2025-11-19,PE
U0856,2025-11-19,CL
U0857,2025-11-19,CO
U0858,2025-11-19,PE
U0859,2025-11-18,CL
U0860,2025-11-28,CO
U0861,2025-11-28,PE
U0862,2025-11-28,CL
U0863,2025-11-28,CO
U0864,2025-11-27,PE
U0865,2025-11-27,CL
U0866,2025-11-27,CO
U0867,2025-11-27,PE
U0868,2025-11-27,CL
U0869,2025-11-27,CO
U0870,2025-12-06,PE
U0871,2025-12-06,CL
U0872,2025-12-06,CO
U0873,2025-12-06,PE
U0874,2025-12-06,CL
U0875,2025-12-05,CO
U0876,2025-12-05,PE
U0877,2025-12-05,CL
U0878,2025-12-05,CO
U0879,2025-12-05,PE
U0880,2025-12-14,CL
U0881,2025-12-14,CO
U0882,2025-12-14,PE
U0883,2025-12-14,CL
U0884,2025-12-14,CO
U0885,2025-12-14,PE
U0886,2025-12-13,CL
U0887,2025-12-13,CO
U0888,2025-12-13,PE
U0889,2025-12-13,CL
U0890,2025-12-23,CO
U0891,2025-12-22,PE
U0892,2025-12-22,CL
U0893,2025-12-22,CO
U0894,2025-12-22,PE
U0895,2025-12-22,CL
U0896,2025-12-21,CO
U0897,2025-12-21,PE
U0898,2025-12-21,CL
U0899,2025-12-21,CO
U0900,2025-12-31,PE
