registro_id,fecha,area,contrato,antiguedad_meses,horas,formacion_h,salario,absentismo_dias
PER032-000087,2024-03-04,comercial,completo,72,160,0,3919.44,3
PER032-000088,2024-03-05,operaciones,completo,69,160,8.5,2642.83,3
PER032-000089,2024-03-05,administracion,completo,131,160,0,3745.98,4
PER032-000090,2024-03-06,comercial,parcial,126,80,4.5,2095.23,5
PER032-000091,2024-03-07,operaciones,completo,121,160,14.3,3117.47,1
PER032-000092,2024-03-07,administracion,completo,20,160,4.2,3147.22,2
PER032-000093,2024-03-08,comercial,completo,5,160,9.4,3412.63,4
PER032-000094,2024-03-09,operaciones,completo,52,160,0,2733.64,3
PER032-000095,2024-03-10,administracion,completo,90,160,0,3510.75,0
PER032-000096,2024-03-10,comercial,parcial,150,80,3.6,1884.46,2
PER032-000097,2024-03-11,operaciones,completo,122,160,8.8,2834.21,1
PER032-000098,2024-03-12, ADMINISTRACION ,completo,140,160,12.9,3477.26,2
PER032-000099,2024-03-13,comercial,completo,126,160,7.4,4222.35,4
PER032-000100,2024-03-13,operaciones,completo,93,160,5.1,2682.63,4
PER032-000101,2024-03-14,administracion,completo,130,160,3.6,3237.49,0
PER032-000102,2024-03-15,comercial,completo,162,160,3.3,4094.19,4
PER032-000103,2024-03-16,operaciones,parcial,87,80,3.0,1332.82,3
PER032-000104,2024-03-16,administracion,completo,94,160,13.6,3106.21,4
PER032-000105,2024-03-17,comercial,parcial,49,80,0,1881.6,1
PER032-000106,2024-03-18,operaciones,completo,119,160,0,3103.92,4
PER032-000107,2024-03-19,administracion,completo,14,160,0,3115.11,3
PER032-000108,2024-03-19,comercial,completo,133,160,14.0,4105.86,3
PER032-000109,2024-03-20,operaciones,parcial,89,80,0,1322.39,1
PER032-000110,2024-03-21,administracion,completo,26,160,0,2821.62,0
PER032-000111,2024-03-21,comercial,parcial,154,80,0,2006.11,5
PER032-000112,2024-03-22,operaciones,completo,2,160,12.8,2542.44,3
PER032-000113,2024-03-23,administracion,completo,109,160,10.1,3403.69,5
PER032-000114,2024-03-24,comercial,parcial,87,80,0,1953.7,2
PER032-000115,2024-03-24,operaciones,parcial,139,80,9.1,1381.42,1
PER032-000116,2024-03-25,administracion,parcial,52,80,8.8,1355.86,1
PER032-000117,2024-03-26,comercial,completo,31,160,0,3471.56,5
PER032-000118,2024-03-27,operaciones,parcial,49,80,0,1351.86,3
PER032-000119,2024-03-27,administracion,parcial,153,80,5.7,1909.53,1
PER032-000120,2024-03-28,comercial,parcial,50,80,2.9,1591.32,5
PER032-000121,2024-03-29,operaciones,completo,116,160,9.2,3089.1,2
PER032-000122,2024-03-30,administracion,parcial,94,80,5.1,1776.43,0
PER032-000123,2024-03-30,comercial,completo,62,160,4.9,3468.68,1
PER032-000124,2024-03-31,operaciones,parcial,46,80,9.9,1162.2,2
PER032-000125,2024-04-01,administracion,completo,151,160,0,3737.07,1
PER032-000126,2024-04-01,comercial,completo,95,160,5.4,3635.28,0
PER032-000127,2024-04-02,operaciones,parcial,58,80,3.8,1220.77,4
PER032-000128,2024-04-03,administracion,completo,28,160,2.8,2759.42,1
PER032-000129,2024-04-04,comercial,parcial,177,80,0,2195.36,2
PER032-000130,2024-04-04,operaciones,completo,39,160,3.2,2355.5,1
PER032-000131,2024-04-05,administracion,completo,87,160,20.2,3008.06,3
PER032-000132,2024-04-06,comercial,completo,19,160,0,3020.4,0
PER032-000133,2024-04-07,operaciones,parcial,56,80,0,1421.61,5
PER032-000134,2024-04-07,administracion,completo,125,160,0,3231.13,2
PER032-000135,2024-04-08,comercial,parcial,69,80,0,1718.34,1
PER032-000136,2024-04-09,operaciones,completo,174,160,0,3271.56,5
PER032-000137,2024-04-10,administracion,completo,61,160,6.5,2995.64,3
PER032-000138,2024-04-10,comercial,parcial,130,80,0,2038.9,3
PER032-000139,2024-04-11,operaciones,completo,70,160,6.5,2830.74,0
PER032-000140,2024-04-12,administracion,completo,37,160,2.6,3034.44,2
PER032-000141,2024-04-13,comercial,completo,26,160,6.8,3457.15,3
PER032-000142,2024-04-13,operaciones,completo,141,160,6.6,3023.89,3
PER032-000143,2024-04-14,administracion,completo,156,160,0,3785.08,3
PER032-000144,2024-04-15,comercial,completo,158,160,0,3836.08,2
PER032-000145,2024-04-15,operaciones,completo,99,160,0,2779.53,5
PER032-000146,2024-04-16,administracion,completo,123,160,7.3,3280.44,1
PER032-000147,2024-04-17,comercial,completo,101,160,0,3538.91,2
PER032-000148,2024-04-18,operaciones,parcial,18,80,6.8,1113.04,5
PER032-000149,2024-04-18,administracion,parcial,47,80,4.7,1605.07,2
PER032-000150,2024-04-19,comercial,parcial,164,80,4.3,2199.84,1
PER032-000151,2024-04-20,operaciones,parcial,94,80,0,1450.08,3
PER032-000152,2024-04-21,administracion,parcial,27,80,11.6,1289.98,3
PER032-000153,2024-04-21,comercial,completo,103,160,9.3,3475.54,1
PER032-000154,2024-04-22,operaciones,completo,8,160,0,2328.09,0
PER032-000155,2024-04-23,administracion,completo,57,160,5.4,2963.8,1
PER032-000156,2024-04-24,comercial,parcial,9,80,8.7,1692.74,0
PER032-000157,2024-04-24,operaciones,completo,93,160,4.6,2861.52,4
PER032-000158,2024-04-25,administracion,completo,16,160,2.2,2653.34,4
PER032-000159,2024-04-26,comercial,completo,7,160,6.1,3080.03,5
PER032-000160,2024-04-27,operaciones,completo,46,160,7.0,2402.23,0
PER032-000161,2024-04-27,administracion,completo,96,160,2.8,3137.47,3
PER032-000162,2024-04-28,comercial,completo,143,160,4.2,4237.7,2
PER032-000163,2024-04-29,operaciones,completo,76,160,6.4,2961.36,3
PER032-000164,2024-04-29,administracion,completo,29,160,0,2726.77,4
PER032-000165,2024-04-30,comercial,completo,40,160,10.0,3541.77,3
PER032-000166,2024-05-01,operaciones,parcial,125,80,7.3,1609.91,1
PER032-000167,2024-05-02,administracion,completo,162,160,8.1,,5
PER032-000168,2024-05-02,comercial,parcial,74,80,3.1,1648.95,2
PER032-000169,2024-05-03,operaciones,parcial,30,80,3.8,1277.5,4
PER032-000170,2024-05-04,administracion,completo,55,160,6.1,3080.67,4
PER032-000171,2024-05-05,comercial,completo,101,160,0,4022.78,0
PER032-000172,2024-05-05,operaciones,completo,55,160,5.9,2846.53,0
PER032-000173,2024-05-06,administracion,completo,172,160,6.1,3452.94,3
PER032-000174,2024-05-07,comercial,parcial,65,80,10.2,1691.0,1
PER032-000175,2024-05-08,operaciones,completo,132,160,0,3197.4,2
PER032-000176,2024-05-08,administracion,completo,10,160,0,2660.31,0
PER032-000177,2024-05-09,comercial,completo,69,160,0,3721.78,0
PER032-000178,2024-05-10,operaciones,completo,159,160,6.8,2969.88,1
PER032-000179,2024-05-10,administracion,completo,57,160,7.1,2721.0,0
PER032-000180,2024-05-11,comercial,completo,123,160,0,3676.09,2
PER032-000181,2024-05-12,operaciones,completo,122,160,7.4,3078.32,2
PER032-000182,2024-05-13,administracion,parcial,132,80,19.3,1836.87,3
PER032-000183,2024-05-13,comercial,completo,129,160,0,4001.56,3
PER032-000184,2024-05-14,operaciones,completo,176,160,8.1,3148.33,5
PER032-000185,2024-05-15,administracion,parcial,65,80,4.4,1647.14,4
PER032-000186,2024-05-16,comercial,completo,57,160,4.8,3777.84,4
PER032-000187,2024-05-16,operaciones,completo,106,160,1.4,2647.41,2
PER032-000188,2024-05-17,administracion,parcial,25,80,24.3,1587.41,4
PER032-000189,2024-05-18,comercial,completo,104,160,0,3672.52,3
PER032-000190,2024-05-19,operaciones,parcial,110,80,5.2,1477.53,2
PER032-000191,2024-05-19,administracion,parcial,52,80,33.2,1553.83,1
PER032-000192,2024-05-20,comercial,completo,44,160,0,3508.86,3
PER032-000193,2024-05-21,operaciones,parcial,158,80,5.7,1495.1,3
PER032-000194,2024-05-22,administracion,completo,79,160,0,3139.04,2
PER032-000195,2024-05-22, COMERCIAL ,parcial,18,80,0,1611.48,1
PER032-000196,2024-05-23,operaciones,parcial,94,80,4.2,1425.2,2
PER032-000197,2024-05-24,administracion,completo,20,160,0,2853.96,5
PER032-000198,2024-05-24,comercial,completo,137,160,0,3690.61,3
PER032-000199,2024-05-25,operaciones,parcial,122,80,0,1444.63,5
PER032-000200,2024-05-26,administracion,completo,79,160,0,3249.91,2
PER032-000201,2024-05-27,comercial,completo,174,160,0,4239.21,1
PER032-000202,2024-05-27,operaciones,completo,177,160,10.8,3105.66,4
PER032-000203,2024-05-28,administracion,parcial,100,80,0,1683.06,4
PER032-000204,2024-05-29,comercial,parcial,91,80,6.3,1786.55,5
PER032-000205,2024-05-30,operaciones,completo,177,160,0,3263.59,1
PER032-000206,2024-05-30,administracion,parcial,101,80,0,1574.77,5
PER032-000207,2024-05-31,comercial,parcial,74,80,4.8,1717.61,0
PER032-000208,2024-06-01,operaciones,completo,39,160,0,2179.93,2
PER032-000209,2024-06-02,administracion,parcial,69,80,7.3,1524.52,5
PER032-000210,2024-06-02,comercial,completo,90,160,0,3838.01,1
PER032-000211,2024-06-03,operaciones,completo,103,160,0,3102.06,5
PER032-000212,2024-06-04,administracion,completo,63,160,6.7,"3336,09",2
PER032-000213,2024-06-05,comercial,completo,68,160,5.9,3511.0,1
PER032-000214,2024-06-05,operaciones,completo,97,160,5.2,2488.26,2
PER032-000215,2024-06-06,administracion,parcial,173,80,16.6,1801.47,3
PER032-000216,2024-06-07,comercial,completo,153,160,0,4265.78,3
PER032-000217,2024-06-07,operaciones,completo,120,160,5.5,2951.49,4
PER032-000218,2024-06-08,administracion,completo,79,160,3.5,3162.0,5
PER032-000219,2024-06-09,comercial,completo,6,160,5.4,3029.03,1
PER032-000220,2024-06-10,operaciones,completo,90,160,0,2740.01,3
PER032-000221,2024-06-10,administracion,parcial,32,80,0,1384.51,4
PER032-000222,2024-06-11,comercial,completo,165,160,0,4314.66,4
PER032-000223,2024-06-12,operaciones,parcial,49,80,4.6,1267.82,1
PER032-000224,2024-06-13,administracion,parcial,31,80,0,1548.54,1
PER032-000225,2024-06-13,comercial,parcial,4,80,4.9,1562.51,4
PER032-000226,2024-06-14,operaciones,completo,156,160,5.6,2816.11,3
PER032-000227,2024-06-15,administracion,completo,27,160,6.4,2794.74,4
PER032-000228,2024-06-16,comercial,completo,25,160,0,3292.32,4
PER032-000229,2024-06-16,operaciones,completo,74,160,0,2663.16,4
PER032-000230,2024-06-17,administracion,completo,137,160,6.0,3487.65,0
PER032-000231,2024-06-18,comercial,completo,19,160,11.7,3521.55,3
PER032-000232,2024-06-18,operaciones,parcial,110,80,5.1,1281.69,1
PER032-000233,2024-06-19,administracion,parcial,75,80,0,1595.66,1
PER032-000234,2024-06-20,comercial,completo,81,160,0,3571.88,1
PER032-000235,2024-06-21,operaciones,completo,116,160,4.9,2773.52,4
PER032-000236,2024-06-21,administracion,completo,14,160,5.2,2997.74,0
PER032-000237,2024-06-22,comercial,completo,144,160,8.8,4242.91,4
PER032-000238,2024-06-23,operaciones,completo,62,160,0,2664.11,4
PER032-000239,2024-06-24,administracion,parcial,133,80,0,1884.16,0
PER032-000240,2024-06-24,comercial,parcial,13,80,7.5,1590.55,4
PER032-000241,2024-06-25,operaciones,completo,61,160,0,2835.54,0
PER032-000242,2024-06-26,administracion,parcial,91,80,2.4,1643.4,4
PER032-000243,2024-06-27,comercial,completo,113,160,3.2,4079.67,0
PER032-000244,2024-06-27,operaciones,completo,74,160,0,2585.43,1
PER032-000245,2024-06-28,administracion,completo,81,160,6.5,3394.99,3
PER032-000246,2024-06-29,comercial,completo,133,160,2.5,4058.49,3
PER032-000247,2024-06-30,operaciones,completo,82,160,3.0,2890.73,2
PER032-000248,2024-06-30,administracion,parcial,148,80,5.3,1878.47,5
PER032-000249,2024-07-01,comercial,completo,3,160,0,3387.93,5
PER032-000250,2024-07-02,operaciones,parcial,57,80,0,,4
PER032-000251,2024-07-02,administracion,completo,143,160,18.8,3397.1,3
PER032-000252,2024-07-03,comercial,completo,45,160,3.7,3590.61,2
PER032-000253,2024-07-04,operaciones,completo,178,160,4.0,3450.07,4
PER032-000254,2024-07-05,administracion,completo,91,160,6.7,3512.19,1
PER032-000255,2024-07-05,comercial,parcial,159,80,7.6,2096.0,2
PER032-000256,2024-07-06,operaciones,parcial,129,80,6.4,1384.58,0
PER032-000257,2024-07-07,administracion,completo,53,160,6.2,2810.43,4
PER032-000258,2024-07-08,comercial,parcial,31,80,6.5,1563.22,2
PER032-000259,2024-07-08,operaciones,completo,154,160,25.3,3340.87,0
PER032-000260,2024-07-09,administracion,completo,133,160,4.8,3327.34,3
PER032-000261,2024-07-10,comercial,parcial,128,80,0,1828.35,4
PER032-000262,2024-07-11,operaciones,completo,165,160,6.4,3092.91,2
PER032-000263,2024-07-11,administracion,completo,28,160,10.5,2668.33,3
PER032-000264,2024-07-12,comercial,completo,149,160,10.1,3973.12,3
PER032-000265,2024-07-13,operaciones,parcial,85,80,2.6,1393.69,5
PER032-000266,2024-07-14,administracion,parcial,62,80,0,1639.6,1
PER032-000267,2024-07-14,comercial,completo,150,160,0,3817.31,0
PER032-000268,2024-07-15,operaciones,completo,111,160,5.3,2974.53,1
PER032-000269,2024-07-16,administracion,parcial,129,80,0,1687.42,3
PER032-000270,2024-07-16,comercial,completo,151,160,4.6,3763.42,4
PER032-000271,2024-07-17,operaciones,completo,53,160,5.6,2383.17,1
PER032-000272,2024-07-18,administracion,completo,119,160,11.1,3365.72,5
PER032-000273,2024-07-19,comercial,completo,47,160,2.8,3671.4,3
PER032-000274,2024-07-19,operaciones,completo,58,160,8.0,2288.71,2
PER032-000275,2024-07-20,administracion,completo,76,160,8.2,3186.48,4
PER032-000276,2024-07-21,comercial,completo,149,160,0,4197.74,4
PER032-000277,2024-07-22,operaciones,completo,113,160,0,2562.79,3
PER032-000278,2024-07-22,administracion,completo,7,160,0,2532.67,4
PER032-000279,2024-07-23,comercial,completo,111,160,19.8,3564.58,3
PER032-000280,2024-07-24,operaciones,parcial,142,80,5.1,1585.4,1
PER032-000281,2024-07-25,administracion,completo,139,160,12.7,3537.15,5
PER032-000282,2024-07-25,comercial,completo,113,160,9.9,3888.63,5
PER032-000283,2024-07-26,operaciones,completo,82,160,5.7,2854.77,3
PER032-000284,2024-07-27,administracion,completo,119,160,21.7,3098.31,5
PER032-000285,2024-07-27,comercial,completo,9,160,5.4,3086.8,0
PER032-000286,2024-07-28,operaciones,completo,140,160,3.8,2787.1,4
PER032-000287,2024-07-29,administracion,completo,83,160,3.8,3412.23,4
PER032-000288,2024-07-30,comercial,completo,92,160,0,3661.64,0
PER032-000289,2024-07-30,operaciones,completo,21,160,5.7,2538.68,4
PER032-000290,2024-07-31,administracion,completo,137,160,0,3188.56,1
PER032-000291,2024-08-01,comercial,parcial,27,80,0,1545.66,0
PER032-000292,2024-08-02, OPERACIONES ,parcial,12,80,0,1052.09,0
PER032-000293,2024-08-02,administracion,completo,177,160,0,3466.49,5
PER032-000294,2024-08-03,comercial,completo,79,160,10.5,3945.98,4
PER032-000295,2024-08-04,operaciones,parcial,167,80,0,1743.94,5
PER032-000296,2024-08-05,administracion,completo,80,160,6.6,3278.55,1
PER032-000297,2024-08-05,comercial,completo,180,160,8.9,4064.53,2
PER032-000298,2024-08-06,operaciones,completo,166,160,0,3010.63,4
PER032-000299,2024-08-07,administracion,completo,1,160,9.3,2494.77,1
PER032-000300,2024-08-08,comercial,completo,160,160,0,4256.84,2
PER032-000301,2024-08-08,operaciones,completo,62,160,17.5,2363.86,1
PER032-000302,2024-08-09,administracion,parcial,164,80,4.0,1865.34,3
PER032-000303,2024-08-10,comercial,parcial,174,80,11.3,1946.85,0
PER032-000304,2024-08-10,operaciones,completo,90,160,10.3,2426.99,0
PER032-000305,2024-08-11,administracion,parcial,115,80,0,1621.17,2
PER032-000306,2024-08-12,comercial,parcial,23,80,3.5,1511.05,4
PER032-000307,2024-08-13,operaciones,completo,175,160,10.8,3418.11,5
PER032-000308,2024-08-13,administracion,parcial,130,80,11.1,1580.56,2
PER032-000309,2024-08-14,comercial,completo,88,160,0,3912.36,2
PER032-000310,2024-08-15,operaciones,parcial,109,80,6.5,1397.26,5
PER032-000311,2024-08-16,administracion,parcial,162,80,0,1695.94,1
PER032-000312,2024-08-16,comercial,completo,81,160,0,3467.23,5
PER032-000313,2024-08-17,operaciones,completo,91,160,2.6,2977.08,2
PER032-000314,2024-08-18,administracion,completo,142,160,3.0,3354.04,0
PER032-000315,2024-08-19,comercial,completo,166,160,0,3865.1,2
PER032-000316,2024-08-19,operaciones,completo,162,160,19.4,3198.97,1
PER032-000317,2024-08-20,administracion,completo,157,160,11.1,3437.49,0
PER032-000318,2024-08-21,comercial,completo,89,160,0,3912.22,0
PER032-000319,2024-08-22,operaciones,parcial,91,80,0,1352.12,3
PER032-000320,2024-08-22,administracion,parcial,111,80,19.7,1553.54,4
PER032-000321,2024-08-23,comercial,completo,6,160,0,3525.7,5
PER032-000322,2024-08-24,operaciones,completo,72,160,2.4,2382.44,1
PER032-000323,2024-08-24,administracion,parcial,106,80,0,1740.02,4
PER032-000324,2024-08-25,comercial,parcial,26,80,0,1719.47,0
PER032-000325,2024-08-26,operaciones,completo,52,160,4.6,2308.94,5
PER032-000326,2024-08-27,administracion,completo,142,160,9.8,3629.19,2
PER032-000327,2024-08-27,comercial,parcial,159,80,15.1,2010.07,2
PER032-000328,2024-08-28,operaciones,completo,122,160,0,2786.88,2
PER032-000329,2024-08-29,administracion,completo,114,160,5.2,3275.55,1
PER032-000330,2024-08-30,comercial,completo,114,160,4.8,3610.58,0
PER032-000331,2024-08-30,operaciones,completo,63,160,7.5,2614.91,2
PER032-000332,2024-08-31,administracion,completo,90,160,0,3507.88,1
PER032-000333,2024-09-01,comercial,completo,79,160,0,,4
PER032-000334,2024-09-02,operaciones,completo,149,160,2.0,2777.74,0
PER032-000335,2024-09-02,administracion,completo,162,160,3.9,3523.9,3
PER032-000336,2024-09-03,comercial,completo,158,160,6.0,3809.53,3
PER032-000337,2024-09-04,operaciones,parcial,14,80,5.4,1127.34,5
PER032-000338,2024-09-04,administracion,completo,114,160,1.9,3666.77,5
PER032-000339,2024-09-05,comercial,parcial,113,80,0,1817.87,5
PER032-000340,2024-09-06,operaciones,completo,43,160,7.0,2612.57,0
PER032-000341,2024-09-07,administracion,completo,34,160,6.5,3207.08,4
PER032-000342,2024-09-07,comercial,parcial,91,80,2.7,1758.27,1
PER032-000343,2024-09-08,operaciones,completo,73,160,4.3,2613.1,5
PER032-000344,2024-09-09,administracion,completo,86,160,6.5,3427.98,1
PER032-000345,2024-09-10,comercial,parcial,93,80,6.5,1950.33,0
PER032-000346,2024-09-10,operaciones,completo,149,160,7.5,2913.07,0
PER032-000347,2024-09-11,administracion,completo,86,160,16.9,3417.73,1
PER032-000348,2024-09-12,comercial,completo,25,160,0,3212.22,0
PER032-000349,2024-09-13,operaciones,completo,131,160,8.1,3080.33,1
PER032-000350,2024-09-13,administracion,parcial,68,80,7.6,1564.34,2
PER032-000351,2024-09-14,comercial,parcial,86,80,8.9,1706.37,2
PER032-000352,2024-09-15,operaciones,parcial,107,80,3.5,1541.16,2
PER032-000353,2024-09-16,administracion,completo,75,160,5.2,3091.38,4
PER032-000354,2024-09-16,comercial,completo,84,160,10.4,3473.35,3
PER032-000355,2024-09-17,operaciones,parcial,75,80,0,1421.02,0
PER032-000356,2024-09-18,administracion,completo,153,160,14.8,3398.43,3
PER032-000357,2024-09-18,comercial,parcial,49,80,11.0,1890.83,0
PER032-000358,2024-09-19,operaciones,completo,159,160,2.6,2948.77,0
PER032-000359,2024-09-20,administracion,completo,6,160,4.3,2694.3,2
PER032-000360,2024-09-21,comercial,parcial,108,80,0,1784.18,4
PER032-000361,2024-09-21,operaciones,completo,53,160,5.8,2770.73,0
PER032-000362,2024-09-22,administracion,parcial,123,80,4.4,1751.45,3
PER032-000363,2024-09-23,comercial,completo,30,160,0,3264.42,4
PER032-000364,2024-09-24,operaciones,completo,165,160,0,3320.94,0
PER032-000365,2024-09-24,administracion,completo,62,160,18.7,3348.08,4
PER032-000366,2024-09-25,comercial,parcial,49,80,0,1653.73,4
PER032-000367,2024-09-26,operaciones,completo,48,160,10.9,2493.38,0
PER032-000368,2024-09-27,administracion,parcial,130,80,0,1639.79,1
PER032-000369,2024-09-27,comercial,parcial,112,80,3.0,1762.99,3
PER032-000370,2024-09-28,operaciones,completo,101,160,3.5,2982.25,0
PER032-000371,2024-09-29,administracion,parcial,70,80,6.2,1577.34,5
PER032-000372,2024-09-30,comercial,parcial,60,80,20.1,1772.47,5
PER032-000373,2024-09-30,operaciones,completo,3,160,5.6,2427.08,4
PER032-000374,2024-10-01,administracion,completo,11,160,7.5,3002.14,2
PER032-000375,2024-10-02,comercial,completo,145,160,0,4133.36,0
PER032-000376,2024-10-02,operaciones,completo,93,160,4.2,2598.31,3
PER032-000377,2024-10-03,administracion,completo,126,160,17.4,3383.81,3
PER032-000378,2024-10-04,comercial,completo,132,160,6.3,4095.79,5
PER032-000379,2024-10-05,operaciones,parcial,59,80,0,1128.69,5
PER032-000380,2024-10-05,administracion,completo,58,160,0,2965.84,4
PER032-000381,2024-10-06,comercial,completo,89,160,11.5,3501.13,1
PER032-000382,2024-10-07,operaciones,parcial,14,80,3.9,1287.29,0
PER032-000383,2024-10-08,administracion,completo,43,160,0,3214.72,1
PER032-000384,2024-10-08,comercial,completo,114,160,0,4005.17,1
PER032-000385,2024-10-09,operaciones,parcial,131,80,2.9,1455.53,0
PER032-000386,2024-10-10,administracion,parcial,45,80,8.2,1406.09,4
PER032-000387,2024-10-11,comercial,completo,46,160,5.3,3765.55,0
