contacto_id,cliente,fecha_contacto,canal,oferta_pen
K000208,C0055,2024-08-31,telefono,10
K000209,C0056,2024-08-31,telefono,10
K000210,C0057,2024-08-31,telefono,10
K000211,C0062,2024-08-31,telefono,10
K000212,C0069,2024-08-31,telefono,10
K000213,C0072,2024-08-31,telefono,10
K000214,C0075,2024-08-31,telefono,10
K000215,C0077,2024-08-31,telefono,10
K000216,C0081,2024-08-31,telefono,10
K000217,C0082,2024-08-31,telefono,10
K000218,C0086,2024-08-31,telefono,10
K000219,C0093,2024-08-31,telefono,10
K000220,C0099,2024-08-31,telefono,10
K000221,C0100,2024-08-31,telefono,10
K000222,C0104,2024-08-31,telefono,10
K000223,C0106,2024-08-31,telefono,10
K000224,C0113,2024-08-31,telefono,10
K000225,C0116,2024-08-31,telefono,10
K000226,C0001,2024-10-01,telefono,10
K000227,C0004,2024-10-01,telefono,10
K000228,C0010,2024-10-01,telefono,10
K000229,C0020,2024-10-01,telefono,10
K000230,C0022,2024-10-01,telefono,10
K000231,C0033,2024-10-01,telefono,10
K000232,C0042,2024-10-01,telefono,10
K000233,C0045,2024-10-01,telefono,10
K000234,C0054,2024-10-01,telefono,10
K000235,C0067,2024-10-01,telefono,10
K000236,C0074,2024-10-01,telefono,10
K000237,C0083,2024-10-01,telefono,10
K000238,C0085,2024-10-01,telefono,10
K000239,C0087,2024-10-01,telefono,10
K000240,C0088,2024-10-01,telefono,10
K000241,C0089,2024-10-01,telefono,10
K000242,C0097,2024-10-01,telefono,10
K000243,C0104,2024-10-01,telefono,10
K000244,C0105,2024-10-01,telefono,10
K000245,C0001,2024-11-01,telefono,10
K000246,C0009,2024-11-01,telefono,10
K000247,C0010,2024-11-01,telefono,10
K000248,C0012,2024-11-01,telefono,10
K000249,C0014,2024-11-01,telefono,10
K000250,C0016,2024-11-01,telefono,10
K000251,C0029,2024-11-01,telefono,10
K000252,C0035,2024-11-01,telefono,10
K000253,C0045,2024-11-01,telefono,10
K000254,C0048,2024-11-01,telefono,10
K000255,C0050,2024-11-01,telefono,10
K000256,C0054,2024-11-01,telefono,10
K000257,C0058,2024-11-01,telefono,10
K000258,C0060,2024-11-01,telefono,10
K000259,C0069,2024-11-01,telefono,10
K000260,C0090,2024-11-01,telefono,10
K000261,C0093,2024-11-01,telefono,10
K000262,C0102,2024-11-01,telefono,10
K000263,C0105,2024-11-01,telefono,10
K000264,C0120,2024-11-01,telefono,10
K000265,C0009,2024-12-02,telefono,10
K000266,C0011,2024-12-02,telefono,10
K000267,C0017,2024-12-02,telefono,10
K000268,C0018,2024-12-02,telefono,10
K000269,C0025,2024-12-02,telefono,10
K000270,C0026,2024-12-02,telefono,10
K000271,C0029,2024-12-02,telefono,10
K000272,C0032,2024-12-02,telefono,10
K000273,C0034,2024-12-02,telefono,10
K000274,C0037,2024-12-02,telefono,10
K000275,C0038,2024-12-02,telefono,10
K000276,C0040,2024-12-02,telefono,10
K000277,C0052,2024-12-02,telefono,10
K000278,C0054,2024-12-02,telefono,10
K000279,C0057,2024-12-02,telefono,10
K000280,C0064,2024-12-02,telefono,10
K000281,C0075,2024-12-02,telefono,10
K000282,C0077,2024-12-02,telefono,10
K000283,C0082,2024-12-02,telefono,10
K000284,C0089,2024-12-02,telefono,10
K000285,C0092,2024-12-02,telefono,10
K000286,C0096,2024-12-02,telefono,10
K000287,C0118,2024-12-02,telefono,10
K000288,C0007,2025-01-02,telefono,10
K000289,C0012,2025-01-02,telefono,10
K000290,C0020,2025-01-02,telefono,10
K000291,C0025,2025-01-02,telefono,10
K000292,C0026,2025-01-02,telefono,10
K000293,C0028,2025-01-02,telefono,10
K000294,C0034,2025-01-02,telefono,10
K000295,C0035,2025-01-02,telefono,10
K000296,C0037,2025-01-02,telefono,10
K000297,C0038,2025-01-02,telefono,10
K000298,C0039,2025-01-02,telefono,10
K000299,C0042,2025-01-02,telefono,10
K000300,C0051,2025-01-02,telefono,10
K000301,C0060,2025-01-02,telefono,10
K000302,C0061,2025-01-02,telefono,10
K000303,C0074,2025-01-02,telefono,10
K000304,C0076,2025-01-02,telefono,10
K000305,C0079,2025-01-02,telefono,10
K000306,C0082,2025-01-02,telefono,10
K000307,C0083,2025-01-02,telefono,10
K000308,C0084,2025-01-02,telefono,10
K000309,C0090,2025-01-02,telefono,10
K000310,C0097,2025-01-02,telefono,10
K000311,C0103,2025-01-02,telefono,10
K000312,C0107,2025-01-02,telefono,10
K000313,C0113,2025-01-02,telefono,10
K000314,C0117,2025-01-02,telefono,10
K000315,C0120,2025-01-02,telefono,10
K000316,C0002,2025-02-02,telefono,10
K000317,C0004,2025-02-02,telefono,10
K000318,C0005,2025-02-02,telefono,10
K000319,C0006,2025-02-02,telefono,10
K000320,C0012,2025-02-02,telefono,10
K000321,C0013,2025-02-02,telefono,10
K000322,C0015,2025-02-02,telefono,10
K000323,C0020,2025-02-02,telefono,10
K000324,C0021,2025-02-02,telefono,10
K000325,C0023,2025-02-02,telefono,10
K000326,C0033,2025-02-02,telefono,10
K000327,C0036,2025-02-02,telefono,10
K000328,C0039,2025-02-02,telefono,10
K000329,C0040,2025-02-02,telefono,10
K000330,C0045,2025-02-02,telefono,10
K000331,C0046,2025-02-02,telefono,10
K000332,C0049,2025-02-02,telefono,10
K000333,C0059,2025-02-02,telefono,10
K000334,C0060,2025-02-02,telefono,10
K000335,C0061,2025-02-02,telefono,10
K000336,C0066,2025-02-02,telefono,10
K000337,C0077,2025-02-02,telefono,10
K000338,C0078,2025-02-02,telefono,10
K000339,C0079,2025-02-02,telefono,10
K000340,C0083,2025-02-02,telefono,10
K000341,C0084,2025-02-02,telefono,10
K000342,C0091,2025-02-02,telefono,10
K000343,C0096,2025-02-02,telefono,10
K000344,C0114,2025-02-02,telefono,10
K000345,C0119,2025-02-02,telefono,10
K000346,C0120,2025-02-02,telefono,10
K000347,C0003,2025-03-05,telefono,10
K000348,C0006,2025-03-05,telefono,10
K000349,C0011,2025-03-05,telefono,10
K000350,C0015,2025-03-05,telefono,10
K000351,C0021,2025-03-05,telefono,10
K000352,C0028,2025-03-05,telefono,10
K000353,C0029,2025-03-05,telefono,10
K000354,C0036,2025-03-05,telefono,10
K000355,C0039,2025-03-05,telefono,10
K000356,C0041,2025-03-05,telefono,10
K000357,C0042,2025-03-05,telefono,10
K000358,C0056,2025-03-05,telefono,10
K000359,C0062,2025-03-05,telefono,10
K000360,C0065,2025-03-05,telefono,10
K000361,C0073,2025-03-05,telefono,10
K000362,C0084,2025-03-05,telefono,10
K000363,C0085,2025-03-05,telefono,10
K000364,C0086,2025-03-05,telefono,10
K000365,C0087,2025-03-05,telefono,10
K000366,C0091,2025-03-05,telefono,10
K000367,C0094,2025-03-05,telefono,10
K000368,C0104,2025-03-05,telefono,10
K000369,C0112,2025-03-05,telefono,10
K000370,C0019,2025-04-05,telefono,10
K000371,C0022,2025-04-05,telefono,10
K000372,C0024,2025-04-05,telefono,10
K000373,C0031,2025-04-05,telefono,10
K000374,C0033,2025-04-05,telefono,10
K000375,C0035,2025-04-05,telefono,10
K000376,C0043,2025-04-05,telefono,10
K000377,C0053,2025-04-05,telefono,10
K000378,C0067,2025-04-05,telefono,10
K000379,C0069,2025-04-05,telefono,10
K000380,C0078,2025-04-05,telefono,10
K000381,C0079,2025-04-05,telefono,10
K000382,C0087,2025-04-05,telefono,10
K000383,C0089,2025-04-05,telefono,10
K000384,C0094,2025-04-05,telefono,10
K000385,C0096,2025-04-05,telefono,10
K000386,C0100,2025-04-05,telefono,10
K000387,C0105,2025-04-05,telefono,10
K000388,C0114,2025-04-05,telefono,10
K000389,C0002,2025-05-06,telefono,10
K000390,C0005,2025-05-06,telefono,10
K000391,C0007,2025-05-06,telefono,10
K000392,C0009,2025-05-06,telefono,10
K000393,C0013,2025-05-06,telefono,10
K000394,C0015,2025-05-06,telefono,10
K000395,C0018,2025-05-06,telefono,10
K000396,C0019,2025-05-06,telefono,10
K000397,C0025,2025-05-06,telefono,10
K000398,C0026,2025-05-06,telefono,10
K000399,C0027,2025-05-06,telefono,10
K000400,C0029,2025-05-06,telefono,10
K000401,C0039,2025-05-06,telefono,10
K000402,C0044,2025-05-06,telefono,10
K000403,C0045,2025-05-06,telefono,10
K000404,C0047,2025-05-06,telefono,10
K000405,C0050,2025-05-06,telefono,10
K000406,C0058,2025-05-06,telefono,10
K000407,C0060,2025-05-06,telefono,10
K000408,C0062,2025-05-06,telefono,10
K000409,C0063,2025-05-06,telefono,10
K000410,C0065,2025-05-06,telefono,10
K000411,C0074,2025-05-06,telefono,10
K000412,C0075,2025-05-06,telefono,10
K000413,C0078,2025-05-06,telefono,10
K000414,C0086,2025-05-06,telefono,10
K000415,C0087,2025-05-06,telefono,10
K000416,C0089,2025-05-06,telefono,10
K000417,C0107,2025-05-06,telefono,10
K000418,C0117,2025-05-06,telefono,10
K000419,C0118,2025-05-06,telefono,10
K000420,C0001,2025-06-06,telefono,10
K000421,C0005,2025-06-06,telefono,10
K000422,C0009,2025-06-06,telefono,10
K000423,C0010,2025-06-06,telefono,10
K000424,C0016,2025-06-06,telefono,10
K000425,C0026,2025-06-06,telefono,10
K000426,C0030,2025-06-06,telefono,10
K000427,C0041,2025-06-06,telefono,10
K000428,C0045,2025-06-06,telefono,10
K000429,C0055,2025-06-06,telefono,10
K000430,C0061,2025-06-06,telefono,10
K000431,C0064,2025-06-06,telefono,10
K000432,C0068,2025-06-06,telefono,10
K000433,C0073,2025-06-06,telefono,10
K000434,C0078,2025-06-06,telefono,10
K000435,C0097,2025-06-06,telefono,10
K000436,C0105,2025-06-06,telefono,10
K000437,C0108,2025-06-06,telefono,10
K000438,C0118,2025-06-06,telefono,10
K000439,C0001,2025-07-07,telefono,10
K000440,C0003,2025-07-07,telefono,10
K000441,C0009,2025-07-07,telefono,10
K000442,C0011,2025-07-07,telefono,10
K000443,C0018,2025-07-07,telefono,10
K000444,C0022,2025-07-07,telefono,10
K000445,C0025,2025-07-07,telefono,10
K000446,C0037,2025-07-07,telefono,10
K000447,C0038,2025-07-07,telefono,10
K000448,C0040,2025-07-07,telefono,10
K000449,C0045,2025-07-07,telefono,10
K000450,C0046,2025-07-07,telefono,10
K000451,C0049,2025-07-07,telefono,10
K000452,C0053,2025-07-07,telefono,10
K000453,C0056,2025-07-07,telefono,10
K000454,C0059,2025-07-07,telefono,10
K000455,C0060,2025-07-07,telefono,10
K000456,C0061,2025-07-07,telefono,10
K000457,C0068,2025-07-07,telefono,10
K000458,C0071,2025-07-07,telefono,10
K000459,C0075,2025-07-07,telefono,10
K000460,C0079,2025-07-07,telefono,10
K000461,C0082,2025-07-07,telefono,10
K000462,C0083,2025-07-07,telefono,10
K000463,C0086,2025-07-07,telefono,10
K000464,C0091,2025-07-07,telefono,10
K000465,C0106,2025-07-07,telefono,10
K000466,C0114,2025-07-07,telefono,10
K000467,C0115,2025-07-07,telefono,10
K000468,C0001,2025-08-07,telefono,10
K000469,C0002,2025-08-07,telefono,10
K000470,C0005,2025-08-07,telefono,10
K000471,C0021,2025-08-07,telefono,10
K000472,C0024,2025-08-07,telefono,10
K000473,C0027,2025-08-07,telefono,10
K000474,C0030,2025-08-07,telefono,10
K000475,C0038,2025-08-07,telefono,10
K000476,C0042,2025-08-07,telefono,10
K000477,C0052,2025-08-07,telefono,10
K000478,C0063,2025-08-07,telefono,10
K000479,C0068,2025-08-07,telefono,10
K000480,C0070,2025-08-07,telefono,10
K000481,C0076,2025-08-07,telefono,10
K000482,C0084,2025-08-07,telefono,10
K000483,C0088,2025-08-07,telefono,10
K000484,C0095,2025-08-07,telefono,10
K000485,C0100,2025-08-07,telefono,10
K000486,C0104,2025-08-07,telefono,10
K000487,C0106,2025-08-07,telefono,10
K000488,C0108,2025-08-07,telefono,10
K000489,C0111,2025-08-07,telefono,10
K000490,C0112,2025-08-07,telefono,10
K000491,C0113,2025-08-07,telefono,10
K000492,C0115,2025-08-07,telefono,10
K000493,C0118,2025-08-07,telefono,10
K000494,C0002,2025-09-07,telefono,10
K000495,C0011,2025-09-07,telefono,10
K000496,C0013,2025-09-07,telefono,10
K000497,C0014,2025-09-07,telefono,10
K000498,C0016,2025-09-07,telefono,10
K000499,C0018,2025-09-07,telefono,10
K000500,C0021,2025-09-07,telefono,10
K000501,C0026,2025-09-07,telefono,10
K000502,C0027,2025-09-07,telefono,10
K000503,C0049,2025-09-07,telefono,10
K000504,C0059,2025-09-07,telefono,10
K000505,C0060,2025-09-07,telefono,10
K000506,C0062,2025-09-07,telefono,10
K000507,C0075,2025-09-07,telefono,10
K000508,C0077,2025-09-07,telefono,10
K000509,C0081,2025-09-07,telefono,10
K000510,C0082,2025-09-07,telefono,10
K000511,C0104,2025-09-07,telefono,10
K000512,C0106,2025-09-07,telefono,10
K000513,C0112,2025-09-07,telefono,10
K000514,C0118,2025-09-07,telefono,10
K000515,C0119,2025-09-07,telefono,10
K000516,C0005,2025-10-08,telefono,10
K000517,C0014,2025-10-08,telefono,10
K000518,C0021,2025-10-08,telefono,10
K000519,C0025,2025-10-08,telefono,10
K000520,C0029,2025-10-08,telefono,10
K000521,C0030,2025-10-08,telefono,10
K000522,C0034,2025-10-08,telefono,10
K000523,C0039,2025-10-08,telefono,10
K000524,C0042,2025-10-08,telefono,10
K000525,C0045,2025-10-08,telefono,10
K000526,C0046,2025-10-08,telefono,10
K000527,C0048,2025-10-08,telefono,10
K000528,C0064,2025-10-08,telefono,10
K000529,C0069,2025-10-08,telefono,10
K000530,C0074,2025-10-08,telefono,10
K000531,C0083,2025-10-08,telefono,10
K000532,C0090,2025-10-08,telefono,10
K000533,C0094,2025-10-08,telefono,10
K000534,C0095,2025-10-08,telefono,10
K000535,C0097,2025-10-08,telefono,10
K000536,C0101,2025-10-08,telefono,10
K000537,C0102,2025-10-08,telefono,10
K000538,C0103,2025-10-08,telefono,10
K000539,C0107,2025-10-08,telefono,10
K000540,C0003,2025-11-08,telefono,10
K000541,C0018,2025-11-08,telefono,10
K000542,C0020,2025-11-08,telefono,10
K000543,C0023,2025-11-08,telefono,10
K000544,C0030,2025-11-08,telefono,10
K000545,C0032,2025-11-08,telefono,10
K000546,C0034,2025-11-08,telefono,10
K000547,C0043,2025-11-08,telefono,10
K000548,C0044,2025-11-08,telefono,10
K000549,C0045,2025-11-08,telefono,10
K000550,C0049,2025-11-08,telefono,10
K000551,C0051,2025-11-08,telefono,10
K000552,C0062,2025-11-08,telefono,10
K000553,C0065,2025-11-08,telefono,10
K000554,C0066,2025-11-08,telefono,10
K000555,C0068,2025-11-08,telefono,10
K000556,C0074,2025-11-08,telefono,10
K000557,C0078,2025-11-08,telefono,10
K000558,C0082,2025-11-08,telefono,10
K000559,C0083,2025-11-08,telefono,10
K000560,C0085,2025-11-08,telefono,10
K000561,C0086,2025-11-08,telefono,10
K000562,C0087,2025-11-08,telefono,10
K000563,C0088,2025-11-08,telefono,10
K000564,C0090,2025-11-08,telefono,10
K000565,C0100,2025-11-08,telefono,10
K000566,C0110,2025-11-08,telefono,10
K000567,C0113,2025-11-08,telefono,10
K000568,C0117,2025-11-08,telefono,10
K000569,C0119,2025-11-08,telefono,10
K000570,C0012,2025-12-09,telefono,10
K000571,C0013,2025-12-09,telefono,10
K000572,C0032,2025-12-09,telefono,10
K000573,C0034,2025-12-09,telefono,10
K000574,C0039,2025-12-09,telefono,10
K000575,C0040,2025-12-09,telefono,10
K000576,C0042,2025-12-09,telefono,10
K000577,C0044,2025-12-09,telefono,10
K000578,C0064,2025-12-09,telefono,10
K000579,C0066,2025-12-09,telefono,10
K000580,C0068,2025-12-09,telefono,10
K000581,C0071,2025-12-09,telefono,10
K000582,C0073,2025-12-09,telefono,10
K000583,C0074,2025-12-09,telefono,10
K000584,C0076,2025-12-09,telefono,10
K000585,C0083,2025-12-09,telefono,10
K000586,C0087,2025-12-09,telefono,10
K000587,C0089,2025-12-09,telefono,10
K000588,C0094,2025-12-09,telefono,10
K000589,C0095,2025-12-09,telefono,10
K000590,C0096,2025-12-09,telefono,10
K000591,C0100,2025-12-09,telefono,10
K000592,C0101,2025-12-09,telefono,10
K000593,C0102,2025-12-09,telefono,10
K000594,C0108,2025-12-09,telefono,10
K000595,C0115,2025-12-09,telefono,10
