registro_id,fecha,sucursal,genero,dias_prestamo,renovacion,devuelto
BIB036-000152,2024-04-14,S2,infantil,2,0,1
BIB036-000153,2024-04-15,S3,infantil,21,1,1
BIB036-000154,2024-04-15,S1,novela,17,0,1
BIB036-000155,2024-04-16,S2,infantil,2,0,1
BIB036-000156,2024-04-17,S3,novela,9,0,1
BIB036-000157,2024-04-17,S1,novela,2,0,1
BIB036-000158,2024-04-18,S2,ensayo,33,1,1
BIB036-000159,2024-04-19,S3,novela,621,0,0
BIB036-000160,2024-04-19,S1,ensayo,17,0,1
BIB036-000161,2024-04-20,S2,infantil,25,1,1
BIB036-000162,2024-04-21,S3,novela,14,0,1
BIB036-000163,2024-04-21,S1,ensayo,619,0,0
BIB036-000164,2024-04-22,S2,infantil,16,0,1
BIB036-000165,2024-04-23,S3,novela,617,0,0
BIB036-000166,2024-04-24,S1,ensayo,616,0,0
BIB036-000167,2024-04-24,S2,infantil,,0,1
BIB036-000168,2024-04-25,S3,infantil,20,0,1
BIB036-000169,2024-04-26,S1,infantil,22,1,1
BIB036-000170,2024-04-26,S2,novela,4,0,1
BIB036-000171,2024-04-27,S3,ensayo,613,1,0
BIB036-000172,2024-04-28,S1,infantil,17,0,1
BIB036-000173,2024-04-28,S2,infantil,22,1,1
BIB036-000174,2024-04-29,S3,ensayo,12,0,1
BIB036-000175,2024-04-30,S1,novela,9,0,1
BIB036-000176,2024-04-30,S2,ensayo,15,0,1
BIB036-000177,2024-05-01,S3,novela,8,0,1
BIB036-000178,2024-05-02,S1,ensayo,34,1,1
BIB036-000179,2024-05-03,S2,novela,17,1,1
BIB036-000180,2024-05-03,S3,novela,23,0,1
BIB036-000181,2024-05-04,S1,novela,11,0,1
BIB036-000182,2024-05-05,S2,infantil,5,0,1
BIB036-000183,2024-05-05,S3,novela,605,0,0
BIB036-000184,2024-05-06,S1,ensayo,15,0,1
BIB036-000185,2024-05-07,S2,ensayo,19,1,1
BIB036-000186,2024-05-07,S3,novela,603,0,0
BIB036-000187,2024-05-08,S1,ensayo,25,0,1
BIB036-000188,2024-05-09,S2,infantil,11,0,1
BIB036-000189,2024-05-09,S3,infantil,9,0,1
BIB036-000190,2024-05-10,S1,novela,23,0,1
BIB036-000191,2024-05-11,S2,infantil,30,1,1
BIB036-000192,2024-05-12,S3,ensayo,25,1,1
BIB036-000193,2024-05-12,S1,novela,22,0,1
BIB036-000194,2024-05-13,S2,ensayo,4,0,1
BIB036-000195,2024-05-14,S3, NOVELA ,17,1,1
BIB036-000196,2024-05-14,S1,infantil,596,0,0
BIB036-000197,2024-05-15,S2,ensayo,30,1,1
BIB036-000198,2024-05-16,S3,infantil,28,1,1
BIB036-000199,2024-05-16,S1,novela,22,0,1
BIB036-000200,2024-05-17,S2,novela,2,0,1
BIB036-000201,2024-05-18,S3,novela,22,0,1
BIB036-000202,2024-05-18,S1,novela,6,0,1
BIB036-000203,2024-05-19,S2,ensayo,20,0,1
BIB036-000204,2024-05-20,S3,ensayo,11,0,1
BIB036-000205,2024-05-21,S1,ensayo,16,0,1
BIB036-000206,2024-05-21,S2,ensayo,23,0,1
BIB036-000207,2024-05-22,S3,novela,23,1,1
BIB036-000208,2024-05-23,S1,novela,21,0,1
BIB036-000209,2024-05-23,S2,infantil,23,0,1
BIB036-000210,2024-05-24,S3,novela,2,0,1
BIB036-000211,2024-05-25,S1,ensayo,28,1,1
BIB036-000212,2024-05-25,S2,ensayo,5,0,1
BIB036-000213,2024-05-26,S3,ensayo,18,0,1
BIB036-000214,2024-05-27,S1,novela,583,0,0
BIB036-000215,2024-05-27,S2,novela,5,0,1
BIB036-000216,2024-05-28,S3,novela,9,0,1
BIB036-000217,2024-05-29,S1,infantil,18,0,1
BIB036-000218,2024-05-30,S2,novela,580,1,0
BIB036-000219,2024-05-30,S3,ensayo,580,0,0
BIB036-000220,2024-05-31,S1,novela,9,0,1
BIB036-000221,2024-06-01,S2,novela,23,1,1
BIB036-000222,2024-06-01,S3,infantil,25,0,1
BIB036-000223,2024-06-02,S1,novela,20,0,1
BIB036-000224,2024-06-03,S2,novela,2,0,1
BIB036-000225,2024-06-03,S3,novela,8,0,1
BIB036-000226,2024-06-04,S1,ensayo,2,0,1
BIB036-000227,2024-06-05,S2,ensayo,21,1,1
BIB036-000228,2024-06-05,S3,infantil,32,1,1
BIB036-000229,2024-06-06,S1,infantil,22,0,1
BIB036-000230,2024-06-07,S2,novela,572,0,0
BIB036-000231,2024-06-07,S3,ensayo,18,0,1
BIB036-000232,2024-06-08,S1,infantil,21,0,1
BIB036-000233,2024-06-09,S2,infantil,18,1,1
BIB036-000234,2024-06-10,S3,novela,37,1,1
BIB036-000235,2024-06-10,S1,ensayo,569,1,0
BIB036-000236,2024-06-11,S2,novela,11,0,1
BIB036-000237,2024-06-12,S3,ensayo,34,1,1
BIB036-000238,2024-06-12,S1,ensayo,8,0,1
BIB036-000239,2024-06-13,S2,novela,566,0,0
BIB036-000240,2024-06-14,S3,novela,18,0,1
BIB036-000241,2024-06-14,S1,ensayo,21,0,1
BIB036-000242,2024-06-15,S2,novela,564,0,0
BIB036-000243,2024-06-16,S3,infantil,19,0,1
BIB036-000244,2024-06-16,S1,infantil,18,1,1
BIB036-000245,2024-06-17,S2,infantil,19,0,1
BIB036-000246,2024-06-18,S3,infantil,9,0,1
BIB036-000247,2024-06-19,S1,infantil,24,1,1
BIB036-000248,2024-06-19,S2,novela,560,0,0
BIB036-000249,2024-06-20,S3,infantil,559,0,0
BIB036-000250,2024-06-21,S1,novela,,0,1
BIB036-000251,2024-06-21,S2,ensayo,20,0,1
BIB036-000252,2024-06-22,S3,ensayo,557,0,0
BIB036-000253,2024-06-23,S1,infantil,22,1,1
BIB036-000254,2024-06-23,S2,ensayo,556,0,0
BIB036-000255,2024-06-24,S3,infantil,20,0,1
BIB036-000256,2024-06-25,S1,novela,2,0,1
BIB036-000257,2024-06-25,S2,infantil,3,0,1
BIB036-000258,2024-06-26,S3,infantil,553,0,0
BIB036-000259,2024-06-27,S1,ensayo,552,0,0
BIB036-000260,2024-06-28,S2,ensayo,16,0,1
BIB036-000261,2024-06-28,S3,ensayo,6,0,1
BIB036-000262,2024-06-29,S1,novela,17,1,1
BIB036-000263,2024-06-30,S2,ensayo,9,0,1
BIB036-000264,2024-06-30,S3,novela,16,0,1
BIB036-000265,2024-07-01,S1,novela,548,0,0
BIB036-000266,2024-07-02,S2,infantil,11,0,1
BIB036-000267,2024-07-02,S3,ensayo,10,0,1
BIB036-000268,2024-07-03,S1,infantil,8,0,1
BIB036-000269,2024-07-04,S2,ensayo,24,0,1
BIB036-000270,2024-07-04,S3,novela,4,0,1
BIB036-000271,2024-07-05,S1,novela,6,0,1
BIB036-000272,2024-07-06,S2,ensayo,543,0,0
BIB036-000273,2024-07-07,S3,novela,542,0,0
BIB036-000274,2024-07-07,S1,ensayo,11,0,1
BIB036-000275,2024-07-08,S2,infantil,18,0,1
BIB036-000276,2024-07-09,S3,ensayo,30,1,1
BIB036-000277,2024-07-09,S1,ensayo,23,0,1
BIB036-000278,2024-07-10,S2,ensayo,29,1,1
BIB036-000279,2024-07-11,S3,novela,538,0,0
BIB036-000280,2024-07-11,S1,novela,17,0,1
BIB036-000281,2024-07-12,S2,novela,537,0,0
BIB036-000282,2024-07-13,S3,infantil,7,0,1
BIB036-000283,2024-07-13,S1,ensayo,4,0,1
BIB036-000284,2024-07-14,S2,novela,535,0,0
BIB036-000285,2024-07-15,S3,ensayo,19,1,1
BIB036-000286,2024-07-16,S1,ensayo,24,0,1
BIB036-000287,2024-07-16,S2,novela,10,0,1
BIB036-000288,2024-07-17,S3,infantil,532,0,0
BIB036-000289,2024-07-18,S1,ensayo,16,0,1
BIB036-000290,2024-07-18,S2,infantil,13,0,1
BIB036-000291,2024-07-19,S3,novela,29,1,1
BIB036-000292,2024-07-20,S1, NOVELA ,16,0,1
BIB036-000293,2024-07-20,S2,ensayo,12,0,1
BIB036-000294,2024-07-21,S3,ensayo,22,1,1
BIB036-000295,2024-07-22,S1,infantil,14,0,1
BIB036-000296,2024-07-22,S2,infantil,19,1,1
BIB036-000297,2024-07-23,S3,infantil,18,0,1
BIB036-000298,2024-07-24,S1,ensayo,18,0,1
BIB036-000299,2024-07-25,S2,ensayo,29,1,1
BIB036-000300,2024-07-25,S3,novela,30,1,1
BIB036-000301,2024-07-26,S1,ensayo,26,1,1
BIB036-000302,2024-07-27,S2,infantil,4,0,1
BIB036-000303,2024-07-27,S3,infantil,522,0,0
BIB036-000304,2024-07-28,S1,novela,12,0,1
BIB036-000305,2024-07-29,S2,ensayo,12,0,1
BIB036-000306,2024-07-29,S3,novela,520,1,0
BIB036-000307,2024-07-30,S1,ensayo,519,0,0
BIB036-000308,2024-07-31,S2,infantil,3,0,1
BIB036-000309,2024-07-31,S3,infantil,14,0,1
BIB036-000310,2024-08-01,S1,ensayo,32,1,1
BIB036-000311,2024-08-02,S2,infantil,23,0,1
BIB036-000312,2024-08-02,S3,infantil,25,0,1
BIB036-000313,2024-08-03,S1,novela,22,0,1
BIB036-000314,2024-08-04,S2,novela,26,1,1
BIB036-000315,2024-08-05,S3,ensayo,25,1,1
BIB036-000316,2024-08-05,S1,ensayo,4,0,1
BIB036-000317,2024-08-06,S2,novela,33,1,1
BIB036-000318,2024-08-07,S3,ensayo,23,0,1
BIB036-000319,2024-08-07,S1,novela,21,0,1
BIB036-000320,2024-08-08,S2,infantil,20,0,1
BIB036-000321,2024-08-09,S3,novela,25,1,1
BIB036-000322,2024-08-09,S1,infantil,11,0,1
BIB036-000323,2024-08-10,S2,infantil,508,0,0
BIB036-000324,2024-08-11,S3,ensayo,6,0,1
BIB036-000325,2024-08-11,S1,infantil,6,0,1
BIB036-000326,2024-08-12,S2,infantil,20,1,1
BIB036-000327,2024-08-13,S3,infantil,17,0,1
BIB036-000328,2024-08-14,S1,ensayo,12,0,1
BIB036-000329,2024-08-14,S2,novela,504,0,0
BIB036-000330,2024-08-15,S3,infantil,18,0,1
BIB036-000331,2024-08-16,S1,novela,20,0,1
BIB036-000332,2024-08-16,S2,novela,502,0,0
BIB036-000333,2024-08-17,S3,infantil,,0,1
BIB036-000334,2024-08-18,S1,infantil,8,0,1
BIB036-000335,2024-08-18,S2,novela,29,1,1
BIB036-000336,2024-08-19,S3,ensayo,24,0,1
BIB036-000337,2024-08-20,S1,ensayo,14,0,1
BIB036-000338,2024-08-20,S2,ensayo,12,0,1
BIB036-000339,2024-08-21,S3,novela,16,0,1
BIB036-000340,2024-08-22,S1,infantil,12,0,1
BIB036-000341,2024-08-23,S2,ensayo,495,0,0
BIB036-000342,2024-08-23,S3,ensayo,20,0,1
BIB036-000343,2024-08-24,S1,novela,12,0,1
BIB036-000344,2024-08-25,S2,novela,17,0,1
BIB036-000345,2024-08-25,S3,novela,493,0,0
BIB036-000346,2024-08-26,S1,ensayo,2,0,1
BIB036-000347,2024-08-27,S2,infantil,18,0,1
BIB036-000348,2024-08-27,S3,novela,6,0,1
BIB036-000349,2024-08-28,S1,ensayo,9,0,1
BIB036-000350,2024-08-29,S2,infantil,4,0,1
BIB036-000351,2024-08-29,S3,infantil,2,0,1
BIB036-000352,2024-08-30,S1,infantil,13,0,1
BIB036-000353,2024-08-31,S2,novela,487,1,0
BIB036-000354,2024-09-01,S3,novela,22,0,1
BIB036-000355,2024-09-01,S1,ensayo,18,0,1
BIB036-000356,2024-09-02,S2,ensayo,9,0,1
BIB036-000357,2024-09-03,S3,ensayo,484,0,0
BIB036-000358,2024-09-03,S1,ensayo,14,0,1
BIB036-000359,2024-09-04,S2,ensayo,5,0,1
BIB036-000360,2024-09-05,S3,ensayo,9,0,1
BIB036-000361,2024-09-05,S1,ensayo,35,1,1
BIB036-000362,2024-09-06,S2,infantil,10,0,1
BIB036-000363,2024-09-07,S3,ensayo,12,0,1
BIB036-000364,2024-09-07,S1,infantil,26,1,1
BIB036-000365,2024-09-08,S2,ensayo,25,1,1
BIB036-000366,2024-09-09,S3,ensayo,11,0,1
BIB036-000367,2024-09-10,S1,infantil,2,0,1
BIB036-000368,2024-09-10,S2,infantil,33,1,1
BIB036-000369,2024-09-11,S3,novela,25,0,1
BIB036-000370,2024-09-12,S1,ensayo,475,0,0
BIB036-000371,2024-09-12,S2,infantil,475,1,0
BIB036-000372,2024-09-13,S3,novela,10,0,1
BIB036-000373,2024-09-14,S1,novela,11,0,1
BIB036-000374,2024-09-14,S2,infantil,24,0,1
BIB036-000375,2024-09-15,S3,ensayo,24,0,1
BIB036-000376,2024-09-16,S1,novela,7,0,1
BIB036-000377,2024-09-16,S2,infantil,22,0,1
BIB036-000378,2024-09-17,S3,ensayo,20,0,1
BIB036-000379,2024-09-18,S1,ensayo,8,0,1
BIB036-000380,2024-09-18,S2,infantil,469,1,0
BIB036-000381,2024-09-19,S3,ensayo,23,1,1
BIB036-000382,2024-09-20,S1,infantil,24,0,1
BIB036-000383,2024-09-21,S2,infantil,466,1,0
BIB036-000384,2024-09-21,S3,novela,466,0,0
BIB036-000385,2024-09-22,S1,novela,465,1,0
BIB036-000386,2024-09-23,S2,ensayo,40,1,1
BIB036-000387,2024-09-23,S3,infantil,21,0,1
BIB036-000388,2024-09-24,S1,infantil,22,0,1
BIB036-000389,2024-09-25,S2, ENSAYO ,14,0,1
BIB036-000390,2024-02-30,S3,novela,26,1,1
BIB036-000391,2024-09-26,S1,infantil,16,0,1
BIB036-000392,2024-09-27,S2,novela,11,0,1
BIB036-000393,2024-09-27,S3,ensayo,35,1,1
BIB036-000394,2024-09-28,S1,ensayo,14,0,1
BIB036-000395,2024-09-29,S2,infantil,10,0,1
BIB036-000396,2024-09-30,S3,infantil,13,0,1
BIB036-000397,2024-09-30,S1,novela,23,0,1
BIB036-000398,2024-10-01,S2,infantil,4,0,1
BIB036-000399,2024-10-02,S3,novela,21,0,1
BIB036-000400,2024-10-02,S1,infantil,21,0,1
BIB036-000401,2024-10-03,S2,infantil,454,0,0
BIB036-000402,2024-10-04,S3,ensayo,25,0,1
BIB036-000403,2024-10-04,S1,infantil,453,1,0
BIB036-000404,2024-10-05,S2,novela,25,0,1
BIB036-000405,2024-10-06,S3,ensayo,25,0,1
BIB036-000406,2024-10-06,S1,infantil,14,0,1
BIB036-000407,2024-10-07,S2,novela,7,0,1
BIB036-000408,2024-10-08,S3,ensayo,18,0,1
BIB036-000409,2024-10-09,S1,ensayo,25,0,1
BIB036-000410,2024-10-09,S2,infantil,18,0,1
BIB036-000411,2024-10-10,S3,novela,2,0,1
BIB036-000412,2024-10-11,S1,novela,22,0,1
BIB036-000413,2024-10-11,S2,infantil,31,1,1
BIB036-000414,2024-10-12,S3,infantil,19,1,1
BIB036-000415,2024-10-13,S1,novela,444,1,0
BIB036-000416,2024-10-13,S2,ensayo,,0,1
BIB036-000417,2024-10-14,S3,infantil,30,1,1
BIB036-000418,2024-10-15,S1,novela,14,0,1
BIB036-000419,2024-10-15,S2,infantil,442,0,0
BIB036-000420,2024-10-16,S3,novela,441,0,0
BIB036-000421,2024-10-17,S1,infantil,24,0,1
BIB036-000422,2024-10-18,S2,ensayo,8,0,1
BIB036-000423,2024-10-18,S3,ensayo,6,0,1
BIB036-000424,2024-10-19,S1,ensayo,23,0,1
BIB036-000425,2024-10-20,S2,infantil,4,0,1
BIB036-000426,2024-10-20,S3,ensayo,3,0,1
BIB036-000427,2024-10-21,S1,infantil,5,0,1
BIB036-000428,2024-10-22,S2,novela,8,0,1
BIB036-000429,2024-10-22,S3,ensayo,15,0,1
BIB036-000430,2024-10-23,S1,ensayo,25,0,1
BIB036-000431,2024-10-24,S2,infantil,6,0,1
BIB036-000432,2024-10-24,S3,infantil,-999,0,1
BIB036-000433,2024-10-25,S1,novela,24,0,1
BIB036-000434,2024-10-26,S2,novela,10,0,1
BIB036-000435,2024-10-27,S3,ensayo,430,1,0
BIB036-000436,2024-10-27,S1,infantil,11,0,1
BIB036-000437,2024-10-28,S2,ensayo,23,1,1
BIB036-000438,2024-10-29,S3,ensayo,16,0,1
BIB036-000439,2024-10-29,S1,infantil,2,0,1
BIB036-000440,2024-10-30,S2,infantil,7,0,1
BIB036-000441,2024-10-31,S3,infantil,40,1,1
BIB036-000442,2024-10-31,S1,infantil,5,0,1
BIB036-000443,2024-11-01,S2,ensayo,28,1,1
BIB036-000444,2024-11-02,S3,novela,22,0,1
BIB036-000445,2024-11-02,S1,ensayo,14,0,1
BIB036-000446,2024-11-03,S2,novela,6,0,1
BIB036-000447,2024-11-04,S3,ensayo,21,0,1
BIB036-000448,2024-11-05,S1,novela,5,0,1
BIB036-000449,2024-11-05,S2,novela,6,0,1
BIB036-000450,2024-11-06,S3,novela,31,1,1
BIB036-000451,2024-11-07,S1,infantil,419,0,0
BIB036-000452,2024-11-07,S2,novela,419,0,0
BIB036-000453,2024-11-08,S3,novela,23,0,1
BIB036-000454,2024-11-09,S1,ensayo,11,0,1
BIB036-000455,2024-11-09,S2,novela,19,0,1
BIB036-000456,2024-11-10,S3,novela,3,0,1
BIB036-000457,2024-11-11,S1,ensayo,25,1,1
BIB036-000458,2024-11-11,S2,ensayo,22,1,1
BIB036-000459,2024-11-12,S3,infantil,18,0,1
BIB036-000460,2024-11-13,S1,novela,19,0,1
BIB036-000461,2024-11-13,S2,novela,23,1,1
BIB036-000462,2024-11-14,S3,ensayo,4,0,1
BIB036-000463,2024-11-15,S1,infantil,411,0,0
BIB036-000464,2024-11-16,S2,novela,410,0,0
BIB036-000465,2024-11-16,S3,infantil,14,0,1
BIB036-000466,2024-11-17,S1,ensayo,8,0,1
BIB036-000467,2024-11-18,S2,novela,19,0,1
BIB036-000468,2024-11-18,S3,novela,6,0,1
BIB036-000469,2024-11-19,S1,infantil,6,0,1
BIB036-000470,2024-11-20,S2,ensayo,23,0,1
BIB036-000471,2024-11-20,S3,novela,14,0,1
BIB036-000472,2024-11-21,S1,infantil,15,0,1
BIB036-000473,2024-11-22,S2,novela,12,0,1
BIB036-000474,2024-11-22,S3,novela,15,0,1
BIB036-000475,2024-11-23,S1,novela,29,1,1
BIB036-000476,2024-11-24,S2,novela,12,0,1
BIB036-000477,2024-11-25,S3,ensayo,15,0,1
BIB036-000478,2024-11-25,S1,novela,6,0,1
BIB036-000479,2024-11-26,S2,novela,12,0,1
BIB036-000480,2024-11-27,S3,novela,29,1,1
BIB036-000481,2024-11-27,S1,ensayo,40,1,1
BIB036-000482,2024-11-28,S2,ensayo,19,0,1
BIB036-000483,2024-11-29,S3,ensayo,7,0,1
BIB036-000484,2024-11-29,S1,ensayo,27,1,1
BIB036-000485,2024-11-30,S2,infantil,12,0,1
BIB036-000486,2024-12-01,S3, INFANTIL ,7,0,1
BIB036-000487,2024-12-01,S1,infantil,22,0,1
BIB036-000488,2024-12-02,S2,infantil,19,0,1
BIB036-000489,2024-12-03,S3,ensayo,393,1,0
BIB036-000490,2024-12-04,S1,novela,22,1,1
BIB036-000491,2024-12-04,S2,infantil,22,0,1
BIB036-000492,2024-12-05,S3,infantil,13,0,1
BIB036-000493,2024-12-06,S1,ensayo,15,0,1
BIB036-000494,2024-12-06,S2,infantil,20,0,1
BIB036-000495,2024-12-07,S3,novela,37,1,1
BIB036-000496,2024-12-08,S1,infantil,388,0,0
BIB036-000497,2024-12-08,S2,ensayo,25,0,1
