registro_id,fecha,proveedor,categoria,importe,moneda,vencimiento,pago
FIN055-000131,2024-03-11,P11,servicio,1322.23,USD,2024-03-26,2024-03-15
FIN055-000132,2024-03-11,P06,alquiler,659.58,PEN,2024-04-25,2024-05-29
FIN055-000133,2024-03-12,P11,servicio,2214.25,PEN,2024-04-11,2024-04-11
FIN055-000134,2024-03-13,P05,servicio,2018.44,USD,2024-03-28,2024-04-14
FIN055-000135,2024-03-13,P11,alquiler,262.23,USD,2024-04-27,2024-04-20
FIN055-000136,2024-03-14,P02,alquiler,380.01,PEN,2024-03-29,2024-03-27
FIN055-000137,2024-03-14,P02,alquiler,269.51,PEN,2024-04-28,2024-04-30
FIN055-000138,2024-03-15,P07,alquiler,356.19,USD,2024-03-30,2024-04-22
FIN055-000139,2024-03-15,P03,servicio,580.36,PEN,2024-04-29,2024-05-25
FIN055-000140,2024-03-16,P03,alquiler,176.33,PEN,2024-04-15,2024-04-03
FIN055-000141,2024-03-16,P09,material,1180.06,PEN,2024-03-31,2024-04-02
FIN055-000142,2024-03-17,P10,servicio,2431.21,PEN,2024-04-01,2024-04-05
FIN055-000143,2024-03-17,P09,alquiler,161.82,USD,2024-04-01,
FIN055-000144,2024-03-18,P12,alquiler,2310.03,PEN,2024-05-02,
FIN055-000145,2024-03-18,P01,servicio,2265.87,PEN,2024-04-17,2024-04-22
FIN055-000146,2024-03-19,P05,alquiler,916.77,USD,2024-04-03,2024-04-10
FIN055-000147,2024-03-20,P04,material,672.92,PEN,2024-04-04,2024-03-27
FIN055-000148,2024-03-20,P05,servicio,209.99,PEN,2024-04-19,2024-05-03
FIN055-000149,2024-03-21,P12,servicio,2148.25,USD,2024-04-20,2024-04-29
FIN055-000150,2024-03-21,P03,material,220.97,PEN,2024-04-05,2024-04-28
FIN055-000151,2024-03-22,P09,alquiler,356.99,PEN,2024-05-06,
FIN055-000152,2024-03-22,P03,alquiler,1082.6,USD,2024-04-21,2024-04-16
FIN055-000153,2024-03-23,P05,servicio,1037.98,USD,2024-04-07,2024-05-09
FIN055-000154,2024-03-23,P07,material,880.87,PEN,2024-04-07,2024-04-28
FIN055-000155,2024-03-24,P03,material,132.48,USD,2024-04-23,2024-04-29
FIN055-000156,2024-03-24,P09,alquiler,318.82,PEN,2024-04-23,2024-04-22
FIN055-000157,2024-03-25,P03,material,1611.57,USD,2024-04-09,
FIN055-000158,2024-03-26,P02,servicio,1579.22,PEN,2024-04-25,2024-04-16
FIN055-000159,2024-03-26,P09,material,543.44,PEN,2024-04-10,2024-04-05
FIN055-000160,2024-03-27,P08,alquiler,715.12,PEN,2024-05-11,2024-06-14
FIN055-000161,2024-03-27,P08,alquiler,768.42,PEN,2024-05-11,2024-05-19
FIN055-000162,2024-03-28,P07,servicio,703.49,PEN,2024-05-12,2024-06-11
FIN055-000163,2024-03-28,P09,material,489.1,USD,2024-05-12,2024-06-12
FIN055-000164,2024-03-29,P11,servicio,971.93,PEN,2024-05-13,2024-05-17
FIN055-000165,2024-03-29,P07,material,366.75,USD,2024-04-13,
FIN055-000166,2024-03-30,P07,alquiler,489.82,PEN,2024-04-14,
FIN055-000167,2024-03-30,P05,material,,PEN,2024-05-14,2024-05-02
FIN055-000168,2024-03-31,P10,material,543.9,PEN,2024-04-30,2024-06-03
FIN055-000169,2024-03-31,P08,alquiler,1954.5,USD,2024-04-15,
FIN055-000170,2024-04-01,P12,alquiler,2493.8,PEN,2024-04-16,2024-04-04
FIN055-000171,2024-04-02,P12,alquiler,786.02,USD,2024-04-17,2024-05-04
FIN055-000172,2024-04-02,P01,servicio,1067.88,PEN,2024-05-02,2024-04-22
FIN055-000173,2024-04-03,P11,servicio,110.24,USD,2024-05-18,2024-05-26
FIN055-000174,2024-04-03,P09,servicio,116.67,USD,2024-04-18,2024-05-23
FIN055-000175,2024-04-04,P04,alquiler,1593.53,USD,2024-05-19,2024-06-13
FIN055-000176,2024-04-04,P10,material,392.63,USD,2024-05-04,
FIN055-000177,2024-04-05,P03,servicio,4152.11,USD,2024-05-05,2024-05-28
FIN055-000178,2024-04-05,P03,servicio,3364.59,PEN,2024-05-05,2024-05-20
FIN055-000179,2024-04-06,P06,servicio,300.78,PEN,2024-05-06,
FIN055-000180,2024-04-06,P04,alquiler,732.09,PEN,2024-04-21,2024-05-20
FIN055-000181,2024-04-07,P06,servicio,296.59,PEN,2024-05-22,
FIN055-000182,2024-04-08,P04,material,834.39,USD,2024-04-23,2024-04-28
FIN055-000183,2024-04-08,P03,servicio,1310.36,PEN,2024-05-23,2024-06-20
FIN055-000184,2024-04-09,P07,servicio,2892.12,USD,2024-05-09,2024-06-06
FIN055-000185,2024-04-09,P07,servicio,373.55,USD,2024-04-24,2024-04-26
FIN055-000186,2024-04-10,P09,alquiler,108.83,PEN,2024-04-25,2024-04-13
FIN055-000187,2024-04-10,P12,servicio,550.26,USD,2024-05-10,2024-05-19
FIN055-000188,2024-04-11,P03,servicio,923.82,PEN,2024-05-11,2024-05-24
FIN055-000189,2024-04-11,P09,material,2107.7,PEN,2024-05-11,2024-06-02
FIN055-000190,2024-04-12,P05,alquiler,1342.29,USD,2024-04-27,2024-05-24
FIN055-000191,2024-04-12,P02,alquiler,409.78,PEN,2024-05-27,
FIN055-000192,2024-04-13,P04,material,233.42,USD,2024-04-28,2024-05-26
FIN055-000193,2024-04-13,P12,material,2784.96,USD,2024-04-28,2024-04-30
FIN055-000194,2024-04-14,P05,alquiler,513.33,PEN,2024-05-29,2024-06-22
FIN055-000195,2024-04-15,P10, ALQUILER ,512.56,PEN,2024-05-15,2024-05-18
FIN055-000196,2024-04-15,P07,alquiler,354.2,PEN,2024-05-15,2024-05-26
FIN055-000197,2024-04-16,P08,servicio,3017.52,PEN,2024-05-16,2024-06-02
FIN055-000198,2024-04-16,P04,servicio,485.02,USD,2024-05-16,2024-05-21
FIN055-000199,2024-04-17,P06,material,953.77,PEN,2024-06-01,
FIN055-000200,2024-04-17,P11,material,1071.06,PEN,2024-05-02,2024-05-10
FIN055-000201,2024-04-18,P07,alquiler,584.52,PEN,2024-05-18,2024-05-25
FIN055-000202,2024-04-18,P03,alquiler,1161.09,PEN,2024-05-18,2024-05-16
FIN055-000203,2024-04-19,P09,material,1338.45,PEN,2024-05-19,2024-06-03
FIN055-000204,2024-04-19,P07,material,1766.78,PEN,2024-05-19,
FIN055-000205,2024-04-20,P09,alquiler,3306.28,PEN,2024-05-05,2024-05-29
FIN055-000206,2024-04-21,P06,material,1621.4,USD,2024-05-21,2024-06-13
FIN055-000207,2024-04-21,P11,alquiler,146.62,PEN,2024-06-05,
FIN055-000208,2024-04-22,P11,material,371.05,USD,2024-05-07,2024-06-04
FIN055-000209,2024-04-22,P08,material,1739.34,PEN,2024-05-07,2024-04-26
FIN055-000210,2024-04-23,P07,alquiler,122.56,PEN,2024-05-08,2024-06-05
FIN055-000211,2024-04-23,P05,servicio,527.24,USD,2024-05-08,
FIN055-000212,2024-04-24,P11,servicio,"395,55",PEN,2024-05-24,2024-06-13
FIN055-000213,2024-04-24,P09,alquiler,597.95,PEN,2024-05-24,2024-05-15
FIN055-000214,2024-04-25,P04,material,5919.36,PEN,2024-05-25,2024-06-23
FIN055-000215,2024-04-25,P02,servicio,453.17,PEN,2024-05-10,
FIN055-000216,2024-04-26,P11,servicio,126.43,USD,2024-05-26,
FIN055-000217,2024-04-26,P04,servicio,712.41,PEN,2024-05-26,2024-06-12
FIN055-000218,2024-04-27,P08,servicio,1923.65,USD,2024-05-27,2024-06-23
FIN055-000219,2024-04-28,P08,alquiler,435.63,PEN,2024-06-12,2024-06-27
FIN055-000220,2024-04-28,P07,alquiler,1745.58,PEN,2024-05-13,2024-06-08
FIN055-000221,2024-04-29,P11,alquiler,1290.08,PEN,2024-05-29,2024-06-22
FIN055-000222,2024-04-29,P06,material,1550.72,PEN,2024-05-14,2024-05-19
FIN055-000223,2024-04-30,P06,alquiler,880.71,PEN,2024-05-15,2024-06-19
FIN055-000224,2024-04-30,P07,material,972.88,PEN,2024-05-30,2024-06-19
FIN055-000225,2024-05-01,P10,servicio,377.84,PEN,2024-05-31,2024-05-27
FIN055-000226,2024-05-01,P02,material,1722.76,PEN,2024-05-16,2024-06-11
FIN055-000227,2024-05-02,P08,alquiler,553.17,PEN,2024-06-01,
FIN055-000228,2024-05-02,P03,servicio,176.88,USD,2024-06-16,2024-06-12
FIN055-000229,2024-05-03,P03,material,510.37,PEN,2024-06-17,
FIN055-000230,2024-05-03,P10,material,194.05,USD,2024-05-18,2024-06-01
FIN055-000231,2024-05-04,P05,servicio,458.25,PEN,2024-05-19,
FIN055-000232,2024-05-05,P05,alquiler,15793.01,PEN,2024-06-04,2024-06-15
FIN055-000233,2024-05-05,P08,servicio,374.42,PEN,2024-06-04,2024-06-23
FIN055-000234,2024-05-06,P11,material,2704.53,PEN,2024-05-21,2024-05-23
FIN055-000235,2024-05-06,P10,servicio,139.74,PEN,2024-05-21,
FIN055-000236,2024-05-07,P02,alquiler,75.13,PEN,2024-06-06,2024-06-16
FIN055-000237,2024-05-07,P05,material,378.87,USD,2024-06-21,2024-07-15
FIN055-000238,2024-05-08,P03,servicio,720.81,USD,2024-06-22,
FIN055-000239,2024-05-08,P06,alquiler,716.04,PEN,2024-06-22,2024-06-29
FIN055-000240,2024-05-09,P09,alquiler,177.0,PEN,2024-05-24,2024-06-08
FIN055-000241,2024-05-09,P12,servicio,925.99,USD,2024-06-08,2024-06-15
FIN055-000242,2024-05-10,P03,material,2699.03,PEN,2024-06-24,2024-07-04
FIN055-000243,2024-05-11,P02,material,550.47,PEN,2024-05-26,2024-05-29
FIN055-000244,2024-05-11,P04,material,368.47,USD,2024-05-26,2024-05-20
FIN055-000245,2024-05-12,P12,material,1218.58,PEN,2024-05-27,2024-06-29
FIN055-000246,2024-05-12,P12,servicio,519.85,PEN,2024-05-27,2024-05-16
FIN055-000247,2024-05-13,P08,servicio,532.33,USD,2024-06-12,2024-06-11
FIN055-000248,2024-05-13,P03,alquiler,3746.42,PEN,2024-06-12,2024-06-22
FIN055-000249,2024-05-14,P10,servicio,584.21,PEN,2024-06-13,2024-06-24
FIN055-000250,2024-05-14,P05,alquiler,,PEN,2024-06-28,
FIN055-000251,2024-05-15,P07,alquiler,134.88,PEN,2024-06-29,
FIN055-000252,2024-05-15,P06,material,310.87,USD,2024-05-30,2024-06-11
FIN055-000253,2024-05-16,P11,material,567.62,USD,2024-06-30,
FIN055-000254,2024-05-16,P08,material,1186.04,PEN,2024-06-15,2024-06-25
FIN055-000255,2024-05-17,P02,material,271.76,PEN,2024-06-01,2024-06-16
FIN055-000256,2024-05-18,P07,alquiler,1032.13,USD,2024-06-17,2024-07-03
FIN055-000257,2024-05-18,P01,material,288.25,PEN,2024-06-02,2024-07-06
FIN055-000258,2024-05-19,P10,material,262.11,PEN,2024-06-03,2024-07-07
FIN055-000259,2024-05-19,P10,material,451.79,PEN,2024-07-03,2024-07-06
FIN055-000260,2024-05-20,P09,material,646.41,PEN,2024-07-04,2024-06-27
FIN055-000261,2024-05-20,P01,material,309.17,USD,2024-06-04,
FIN055-000262,2024-05-21,P03,servicio,541.86,USD,2024-06-20,2024-06-25
FIN055-000263,2024-05-21,P11,material,400.94,PEN,2024-06-05,2024-05-31
FIN055-000264,2024-05-22,P05,servicio,1144.98,USD,2024-06-21,
FIN055-000265,2024-05-22,P01,material,2045.9,PEN,2024-06-06,2024-06-08
FIN055-000266,2024-05-23,P07,material,149.9,PEN,2024-06-22,2024-07-15
FIN055-000267,2024-05-24,P11,servicio,2757.77,PEN,2024-06-23,
FIN055-000268,2024-05-24,P07,servicio,1334.32,USD,2024-06-23,
FIN055-000269,2024-05-25,P05,material,381.56,PEN,2024-06-09,
FIN055-000270,2024-05-25,P09,servicio,3762.63,PEN,2024-07-09,2024-08-09
FIN055-000271,2024-05-26,P12,material,461.76,PEN,2024-06-25,2024-06-28
FIN055-000272,2024-05-26,P02,servicio,1874.01,USD,2024-07-10,2024-07-17
FIN055-000273,2024-05-27,P03,material,363.91,USD,2024-07-11,2024-08-04
FIN055-000274,2024-05-27,P09,material,687.05,PEN,2024-07-11,2024-07-15
FIN055-000275,2024-05-28,P05,alquiler,208.62,USD,2024-06-27,2024-06-19
FIN055-000276,2024-05-28,P02,servicio,405.27,PEN,2024-07-12,2024-08-01
FIN055-000277,2024-05-29,P01,material,633.79,USD,2024-06-13,2024-06-10
FIN055-000278,2024-05-29,P09,alquiler,978.19,PEN,2024-06-13,2024-07-09
FIN055-000279,2024-05-30,P06,material,287.03,PEN,2024-06-14,2024-07-19
FIN055-000280,2024-05-31,P05,alquiler,2677.18,USD,2024-06-30,2024-07-14
FIN055-000281,2024-05-31,P08,alquiler,207.91,PEN,2024-07-15,2024-07-13
FIN055-000282,2024-06-01,P10,alquiler,44.01,USD,2024-06-16,
FIN055-000283,2024-06-01,P04,alquiler,289.76,PEN,2024-07-01,2024-07-01
FIN055-000284,2024-06-02,P02,servicio,234.53,PEN,2024-07-17,2024-08-19
FIN055-000285,2024-06-02,P02,alquiler,475.38,USD,2024-06-17,2024-06-28
FIN055-000286,2024-06-03,P11,material,4650.74,PEN,2024-07-18,2024-07-13
FIN055-000287,2024-06-03,P04,material,626.21,USD,2024-07-03,2024-08-03
FIN055-000288,2024-06-04,P06,alquiler,1002.75,USD,2024-06-19,2024-06-24
FIN055-000289,2024-06-04,P09,material,96.21,PEN,2024-06-19,2024-06-22
FIN055-000290,2024-06-05,P06,servicio,1279.38,PEN,2024-07-20,
FIN055-000291,2024-06-06,P08,alquiler,624.9,PEN,2024-07-06,
FIN055-000292,2024-06-06,P10, ALQUILER ,611.31,PEN,2024-07-06,2024-06-28
FIN055-000293,2024-06-07,P03,alquiler,2000.85,PEN,2024-07-22,2024-07-29
FIN055-000294,2024-06-07,P06,alquiler,146.63,USD,2024-07-07,2024-07-10
FIN055-000295,2024-06-08,P03,servicio,1714.29,PEN,2024-07-23,2024-07-16
FIN055-000296,2024-06-08,P07,material,1716.1,PEN,2024-07-23,2024-08-09
FIN055-000297,2024-06-09,P03,servicio,500.06,USD,2024-07-24,2024-08-18
FIN055-000298,2024-06-09,P08,alquiler,476.13,PEN,2024-07-09,2024-07-24
FIN055-000299,2024-06-10,P12,alquiler,394.15,USD,2024-07-10,2024-07-23
FIN055-000300,2024-06-10,P12,material,1381.02,USD,2024-06-25,2024-06-22
FIN055-000301,2024-06-11,P08,material,754.61,PEN,2024-06-26,2024-07-08
FIN055-000302,2024-06-11,P07,material,1161.63,USD,2024-06-26,2024-07-30
FIN055-000303,2024-06-12,P12,servicio,720.18,PEN,2024-07-12,2024-08-06
FIN055-000304,2024-06-13,P11,alquiler,115.56,USD,2024-07-28,2024-08-27
FIN055-000305,2024-06-13,P01,alquiler,444.46,PEN,2024-06-28,2024-06-26
FIN055-000306,2024-06-14,P02,servicio,1108.99,PEN,2024-07-14,2024-08-11
FIN055-000307,2024-06-14,P12,servicio,1055.06,PEN,2024-06-29,
FIN055-000308,2024-06-15,P01,alquiler,1294.19,PEN,2024-06-30,2024-06-29
FIN055-000309,2024-06-15,P02,alquiler,3949.65,PEN,2024-07-15,2024-08-09
FIN055-000310,2024-06-16,P09,material,1877.13,PEN,2024-07-31,2024-08-08
FIN055-000311,2024-06-16,P04,material,326.11,PEN,2024-07-31,2024-09-03
FIN055-000312,2024-06-17,P01,material,923.97,USD,2024-07-02,2024-06-23
FIN055-000313,2024-06-17,P09,alquiler,312.01,PEN,2024-07-17,2024-08-15
FIN055-000314,2024-06-18,P06,material,3676.97,PEN,2024-07-03,2024-07-05
FIN055-000315,2024-06-19,P02,material,1711.22,PEN,2024-07-04,2024-07-26
FIN055-000316,2024-06-19,P02,servicio,320.57,PEN,2024-07-04,2024-07-17
FIN055-000317,2024-06-20,P10,alquiler,419.36,USD,2024-07-20,2024-07-15
FIN055-000318,2024-06-20,P04,material,149.08,PEN,2024-07-05,2024-07-31
FIN055-000319,2024-06-21,P01,material,1353.01,USD,2024-08-05,2024-08-09
FIN055-000320,2024-06-21,P06,servicio,2177.14,PEN,2024-07-06,2024-07-13
FIN055-000321,2024-06-22,P07,servicio,512.37,PEN,2024-07-07,2024-08-10
FIN055-000322,2024-06-22,P06,alquiler,282.4,USD,2024-07-22,2024-07-11
FIN055-000323,2024-06-23,P10,alquiler,978.54,PEN,2024-07-23,2024-08-05
FIN055-000324,2024-06-23,P11,servicio,1155.06,PEN,2024-08-07,
FIN055-000325,2024-06-24,P01,material,1189.9,PEN,2024-08-08,2024-08-31
FIN055-000326,2024-06-24,P06,alquiler,1452.21,PEN,2024-08-08,2024-09-03
FIN055-000327,2024-06-25,P01,material,729.05,USD,2024-08-09,2024-09-07
