usuario,alta,pais
U0167,2025-04-15,CO
U0168,2025-04-17,PE
U0169,2025-04-19,CL
U0170,2025-05-01,CO
U0171,2025-05-03,PE
U0172,2025-05-05,CL
U0173,2025-05-07,CO
U0174,2025-05-08,PE
U0175,2025-05-10,CL
U0176,2025-05-12,CO
U0177,2025-05-14,PE
U0178,2025-05-16,CL
U0179,2025-05-18,CO
U0180,2025-05-30,PE
U0181,2025-06-01,CL
U0182,2025-06-02,CO
U0183,2025-06-04,PE
U0184,2025-06-06,CL
U0185,2025-06-08,CO
U0186,2025-06-10,PE
U0187,2025-06-12,CL
U0188,2025-06-14,CO
U0189,2025-06-16,PE
U0190,2025-06-27,CL
U0191,2025-06-29,CO
U0192,2025-07-01,PE
U0193,2025-07-03,CL
U0194,2025-07-05,CO
U0195,2025-07-07,PE
U0196,2025-07-09,CL
U0197,2025-07-11,CO
U0198,2025-07-12,PE
U0199,2025-07-14,CL
U0200,2025-07-26,CO
U0201,2025-07-28,PE
U0202,2025-07-30,CL
U0203,2025-08-01,CO
U0204,2025-08-03,PE
U0205,2025-08-05,CL
U0206,2025-08-06,CO
U0207,2025-08-08,PE
U0208,2025-08-10,CL
U0209,2025-08-12,CO
U0210,2025-08-24,PE
U0211,2025-08-26,CL
U0212,2025-08-28,CO
U0213,2025-08-30,PE
U0214,2025-09-01,CL
U0215,2025-09-02,CO
U0216,2025-09-04,PE
U0217,2025-09-06,CL
U0218,2025-09-08,CO
U0219,2025-09-10,PE
U0220,2025-09-22,CL
U0221,2025-09-24,CO
U0222,2025-09-26,PE
U0223,2025-09-27,CL
U0224,2025-09-29,CO
U0225,2025-10-01,PE
U0226,2025-10-03,CL
U0227,2025-10-05,CO
U0228,2025-10-07,PE
U0229,2025-10-09,CL
U0230,2025-10-21,CO
U0231,2025-10-22,PE
U0232,2025-10-24,CL
U0233,2025-10-26,CO
U0234,2025-10-28,PE
U0235,2025-10-30,CL
U0236,2025-11-01,CO
U0237,2025-11-03,PE
U0238,2025-11-05,CL
U0239,2025-11-06,CO
U0240,2025-11-18,PE
U0241,2025-11-20,CL
U0242,2025-11-22,CO
U0243,2025-11-24,PE
U0244,2025-11-26,CL
U0245,2025-11-28,CO
U0246,2025-11-30,PE
U0247,2025-12-01,CL
U0248,2025-12-03,CO
U0249,2025-12-05,PE
U0250,2025-12-17,CL
U0251,2025-12-19,CO
U0252,2025-12-21,PE
U0253,2025-12-23,CL
U0254,2025-12-25,CO
