registro_id,fecha,muestra,replica,instrumento,concentracion,limite,bajo_limite,unidad
LAB018-000093,2024-01-04,Q00016,3,A,9.098,2,0,mg/L
LAB018-000094,2024-01-04,Q00016,1,B,6.878,3,0,mg/L
LAB018-000095,2024-01-04,Q00016,2,B,8.419,3,0,mg/L
LAB018-000096,2024-01-04,Q00016,3,B,7.397,3,0,mg/L
LAB018-000097,2024-01-05,Q00017,1,A,,2,1,mg/L
LAB018-000098,2024-01-05,Q00017,2,A,3.0,2,0, MG/L 
LAB018-000099,2024-01-05,Q00017,3,A,,2,1,mg/L
LAB018-000100,2024-01-05,Q00017,1,B,,3,1,mg/L
LAB018-000101,2024-01-05,Q00017,2,B,,3,1,mg/L
LAB018-000102,2024-01-05,Q00017,3,B,3.654,3,0,mg/L
LAB018-000103,2024-01-05,Q00018,1,A,,2,1,mg/L
LAB018-000104,2024-01-05,Q00018,2,A,,2,1,mg/L
LAB018-000105,2024-01-05,Q00018,3,A,,2,1,mg/L
LAB018-000106,2024-01-05,Q00018,1,B,3.698,3,0,mg/L
LAB018-000107,2024-01-05,Q00018,2,B,,3,1,mg/L
LAB018-000108,2024-01-05,Q00018,3,B,,3,1,mg/L
LAB018-000109,2024-01-05,Q00019,1,A,13.894,2,0,mg/L
LAB018-000110,2024-01-05,Q00019,2,A,14.067,2,0,mg/L
LAB018-000111,2024-01-05,Q00019,3,A,14.742,2,0,mg/L
LAB018-000112,2024-01-05,Q00019,1,B,14.02,3,0,mg/L
LAB018-000113,2024-01-05,Q00019,2,B,13.501,3,0,mg/L
LAB018-000114,2024-01-05,Q00019,3,B,14.615,3,0,mg/L
LAB018-000115,2024-01-05,Q00020,1,A,21.353,2,0,mg/L
LAB018-000116,2024-01-05,Q00020,2,A,20.824,2,0,mg/L
LAB018-000117,2024-01-05,Q00020,3,A,20.4,2,0,mg/L
LAB018-000118,2024-01-05,Q00020,1,B,22.357,3,0,mg/L
LAB018-000119,2024-01-05,Q00020,2,B,22.047,3,0,mg/L
LAB018-000120,2024-01-05,Q00020,3,B,22.125,3,0,mg/L
LAB018-000121,2024-01-06,Q00021,1,A,6.738,2,0,mg/L
LAB018-000122,2024-01-06,Q00021,2,A,7.236,2,0,mg/L
LAB018-000123,2024-01-06,Q00021,3,A,7.622,2,0,mg/L
LAB018-000124,2024-01-06,Q00021,1,B,6.941,3,0,mg/L
LAB018-000125,2024-01-06,Q00021,2,B,7.765,3,0,mg/L
LAB018-000126,2024-01-06,Q00021,3,B,7.409,3,0,mg/L
LAB018-000127,2024-01-06,Q00022,1,A,5.859,2,0,mg/L
LAB018-000128,2024-01-06,Q00022,2,A,5.105,2,0,mg/L
LAB018-000129,2024-01-06,Q00022,3,A,6.421,2,0,mg/L
LAB018-000130,2024-01-06,Q00022,1,B,6.423,3,0,mg/L
LAB018-000131,2024-01-06,Q00022,2,B,6.722,3,0,mg/L
LAB018-000132,2024-01-06,Q00022,3,B,6.911,3,0,mg/L
LAB018-000104,2024-01-05,Q00018,2,A,,2,1,mg/L
