registro_id,fecha,edificio,temperatura_c,ocupacion,kwh,superficie_m2,tarifa
ENE066-000182,2024-03-01,B2,26.4,81,345.32,1200,0.62
ENE066-000183,2024-03-01,B3,28.8,111,662.1,1800,0.62
ENE066-000184,2024-03-02,B1,26.9,10,153.26,600,0.62
ENE066-000185,2024-03-02,B2,28.0,16,298.06,1200,0.62
ENE066-000186,2024-03-02,B3,29.4,25,558.64,1800,0.62
ENE066-000187,2024-03-03,B1,30.1,13,229.58,600,0.62
ENE066-000188,2024-03-03,B2,24.8,15,215.37,1200,0.62
ENE066-000189,2024-03-03,B3,27.2,19,418.16,1800,0.62
ENE066-000190,2024-03-04,B1,26.7,42,183.29,600,0.62
ENE066-000191,2024-03-04,B2,29.1,84,468.89,1200,0.62
ENE066-000192,2024-03-04,B3,26.2,114,492.46,1800,0.62
ENE066-000193,2024-03-05,B1,25.8,50,172.71,600,0.62
ENE066-000194,2024-03-05,B2,28.2,82,412.64,1200,0.62
ENE066-000195,2024-03-05,B3,27.7,105,566.87,1800,0.62
ENE066-000196,2024-03-06,B1,27.9,63,237.82,600,0.62
ENE066-000197,2024-03-06,B2,26.8,82,358.15,1200,0.62
ENE066-000198,2024-03-06,B3,26.3,106,494.27,1800,0.62
ENE066-000199,2024-03-07,B1,26.8,71,230.3,600,0.62
ENE066-000200,2024-03-07,B2,28.3,81,428.31,1200,0.62
ENE066-000201,2024-03-07,B3,27.5,100,549.31,1800,0.62
ENE066-000202,2024-03-08,B1,26.3,46,190.54,600,0.62
ENE066-000203,2024-03-08,B2,26.7,80,360.05,1200,0.62
ENE066-000204,2024-03-08,B3,24.9,128,454.94,1800,0.62
ENE066-000205,2024-03-09,B1,26.5,15,138.29,600,0.62
ENE066-000206,2024-03-09,B2,26.6,13,259.34,1200,0.62
ENE066-000207,2024-03-09,B3,30.1,21,628.97,1800,0.62
ENE066-000208,2024-03-10,B1,26.3,7,120.59,600,0.62
ENE066-000209,2024-03-10,B2,24.5,12,182.9,1200,0.62
ENE066-000210,2024-03-10,B3,27.2,22,417.2,1800,0.62
ENE066-000211,2024-03-11,B1,28.2,32,202.73,600,0.62
ENE066-000212,2024-03-11,B2,27.9,79,"400,63",1200,0.62
ENE066-000213,2024-03-11,B3,26.7,98,504.71,1800,0.62
ENE066-000214,2024-03-12,B1,29.0,48,255.0,600,0.62
ENE066-000215,2024-03-12,B2,26.3,55,308.13,1200,0.62
ENE066-000216,2024-03-12,B3,29.1,98,641.6,1800,0.62
ENE066-000217,2024-03-13,B1,26.8,54,204.43,600,0.62
ENE066-000218,2024-03-13,B2,26.3,92,357.63,1200,0.62
ENE066-000219,2024-03-13,B3,27.1,115,545.71,1800,0.62
ENE066-000220,2024-03-14,B1,27.4,40,199.18,600,0.62
ENE066-000221,2024-03-14,B2,27.1,50,340.84,1200,0.62
ENE066-000222,2024-03-14,B3,24.4,109,393.44,1800,0.62
ENE066-000223,2024-03-15,B1,28.1,54,226.89,600,0.62
ENE066-000224,2024-03-15,B2,24.0,74,276.79,1200,0.62
ENE066-000225,2024-03-15,B3,27.6,107,554.85,1800,0.62
ENE066-000226,2024-03-16,B1,28.3,6,164.74,600,0.62
ENE066-000227,2024-03-16,B2,30.2,15,431.81,1200,0.62
ENE066-000228,2024-03-16,B3,28.5,19,518.03,1800,0.62
ENE066-000229,2024-03-17,B1,27.9,10,170.75,600,0.62
ENE066-000231,2024-03-17,B3,28.9,19,518.31,1800,0.62
ENE066-000232,2024-03-18,B1,27.4,57,224.09,600,0.62
ENE066-000233,2024-03-18,B2,26.5,72,339.41,1200,0.62
ENE066-000234,2024-03-18,B3,30.7,96,791.26,1800,0.62
ENE066-000235,2024-03-19,B1,27.4,33,198.87,600,0.62
ENE066-000236,2024-03-19,B2,28.4,76,418.82,1200,0.62
ENE066-000237,2024-03-19,B3,28.2,89,586.12,1800,0.62
ENE066-000238,2024-03-20,B1,26.7,36,173.29,600,0.62
ENE066-000239,2024-03-20,B2,25.6,119,387.84,1200,0.62
ENE066-000240,2024-03-20,B3,28.7,98,629.76,1800,0.62
ENE066-000241,2024-03-21,B1,28.9,25,207.66,600,0.62
ENE066-000242,2024-03-21,B2,26.5,56,329.16,1200,0.62
ENE066-000243,2024-03-21,B3,29.2,114,687.91,1800,0.62
ENE066-000244,2024-03-22,B1,30.0,38,258.72,600,0.62
ENE066-000245,2024-03-22,B2,28.6,73,428.87,1200,0.62
ENE066-000246,2024-03-22,B3,27.2,118,556.46,1800,0.62
ENE066-000247,2024-03-23,B1,28.1,12,150.6,600,0.62
ENE066-000248,2024-03-23,B2,27.1,13,277.63,1200,0.62
ENE066-000249,2024-03-23,B3,30.3,20,633.89,1800,0.62
ENE066-000250,2024-03-24,B1,28.9,6,,600,0.62
ENE066-000251,2024-03-24,B2,27.7,16,287.53,1200,0.62
ENE066-000252,2024-03-24,B3,30.3,24,623.33,1800,0.62
ENE066-000253,2024-03-25,B1,28.5,47,220.65,600,0.62
ENE066-000254,2024-03-25,B2,27.5,59,354.59,1200,0.62
ENE066-000255,2024-03-25,B3,29.1,85,639.14,1800,0.62
ENE066-000256,2024-03-26,B1,28.9,27,206.4,600,0.62
ENE066-000257,2024-03-26,B2,29.1,72,452.18,1200,0.62
ENE066-000258,2024-03-26,B3,28.6,113,652.4,1800,0.62
ENE066-000259,2024-03-27,B1,28.3,49,223.33,600,0.62
ENE066-000260,2024-03-27,B2,29.0,70,446.2,1200,0.62
ENE066-000261,2024-03-27,B3,30.4,84,724.71,1800,0.62
ENE066-000262,2024-03-28,B1,23.8,31,120.19,600,0.62
ENE066-000263,2024-03-28,B2,26.5,80,358.28,1200,0.62
ENE066-000264,2024-03-28,B3,29.5,101,696.22,1800,0.62
ENE066-000265,2024-03-29,B1,29.4,44,246.91,600,0.62
ENE066-000266,2024-03-29,B2,28.2,84,425.18,1200,0.62
ENE066-000267,2024-03-29,B3,27.5,111,563.38,1800,0.62
ENE066-000268,2024-03-30,B1,27.0,8,143.89,600,0.62
ENE066-000269,2024-03-30,B2,27.1,15,288.6,1200,0.62
ENE066-000270,2024-03-30,B3,27.1,21,412.97,1800,0.62
ENE066-000271,2024-03-31,B1,27.2,7,138.23,600,0.62
ENE066-000272,2024-03-31,B2,27.2,17,267.57,1200,0.62
ENE066-000273,2024-03-31,B3,25.6,19,333.14,1800,0.62
ENE066-000274,2024-04-01,B1,26.6,23,148.93,600,0.62
ENE066-000275,2024-04-01,B2,27.4,85,394.65,1200,0.62
ENE066-000276,2024-04-01,B3,27.4,98,545.77,1800,0.62
ENE066-000277,2024-04-02,B1,28.5,46,213.62,600,0.62
ENE066-000278,2024-04-02,B2,28.8,70,434.34,1200,0.62
ENE066-000279,2024-04-02,B3,26.8,113,524.14,1800,0.62
ENE066-000280,2024-04-03,B1,25.9,55,181.93,600,0.62
ENE066-000281,2024-04-03,B2,29.4,83,488.66,1200,0.62
ENE066-000282,2024-04-03,B3,28.7,108,642.66,1800,0.62
ENE066-000284,2024-04-04,B2,28.9,69,425.38,1200,0.62
ENE066-000285,2024-04-04,B3,28.3,79,571.69,1800,0.62
ENE066-000286,2024-04-05,B1,29.2,76,298.42,600,0.62
ENE066-000287,2024-04-05,B2,30.1,69,510.79,1200,0.62
ENE066-000288,2024-04-05,B3,27.9,110,584.83,1800,0.62
ENE066-000289,2024-04-06,B1,27.0,10,134.34,600,0.62
ENE066-000290,2024-04-06,B2,26.9,12,258.46,1200,0.62
ENE066-000291,2024-04-06,B3,26.1,19,367.57,1800,0.62
ENE066-000292,2024-04-07,B1,26.2,8,108.94,600,0.62
ENE066-000293,2024-04-07,B2,26.9,16,264.95,1200,0.62
ENE066-000294,2024-04-07,B3,30.8,23,677.03,1800,0.62
ENE066-000295,2024-04-08,B1,27.2,51,206.9,600,0.62
ENE066-000296,2024-04-08,B2,28.7,78,440.82,1200,0.62
ENE066-000297,2024-04-08,B3,30.2,98,744.9,1800,0.62
ENE066-000298,2024-04-09,B1,27.9,52,218.42,600,0.62
ENE066-000299,2024-04-09,B2,27.4,87,411.2,1200,0.62
ENE066-000300,2024-04-09,B3,27.5,111,564.42,1800,0.62
ENE066-000301,2024-04-10,B1,25.2,54,189.16,600,0.62
ENE066-000302,2024-04-10,B2,24.9,80,298.89,1200,0.62
ENE066-000303,2024-04-10,B3,24.8,96,412.13,1800,0.62
ENE066-000304,2024-04-11,B1,31.8,32,287.38,600,0.62
ENE066-000305,2024-04-11,B2,28.7,65,439.53,1200,0.62
ENE066-000306,2024-04-11,B3,27.6,106,584.53,1800,0.62
ENE066-000307,2024-04-12,B1,28.1,31,197.14,600,0.62
ENE066-000308,2024-04-12,B2,29.1,77,452.27,1200,0.62
ENE066-000309,2024-04-12,B3,27.7,119,596.67,1800,0.62
ENE066-000310,2024-04-13,B1,28.4,8,183.89,600,0.62
ENE066-000311,2024-04-13,B2,29.2,18,362.67,1200,0.62
ENE066-000312,2024-04-13,B3,25.1,20,322.99,1800,0.62
ENE066-000313,2024-04-14,B1,26.9,10,135.45,600,0.62
ENE066-000314,2024-04-14,B2,26.1,14,235.45,1200,0.62
ENE066-000315,2024-04-14,B3,28.7,21,526.8,1800,0.62
ENE066-000316,2024-04-15,B1,27.6,52,231.0,600,0.62
ENE066-000317,2024-04-15,B2,29.4,65,459.58,1200,0.62
ENE066-000318,2024-04-15,B3,27.9,97,571.08,1800,0.62
ENE066-000319,2024-04-16,B1,30.3,42,269.68,600,0.62
ENE066-000320,2024-04-16,B2,28.8,82,439.51,1200,0.62
ENE066-000321,2024-04-16,B3,24.9,122,443.44,1800,0.62
ENE066-000322,2024-04-17,B1,26.1,47,191.72,600,0.62
ENE066-000323,2024-04-17,B2,28.4,72,411.61,1200,0.62
ENE066-000324,2024-04-17,B3,25.8,105,468.63,1800,0.62
ENE066-000325,2024-04-18,B1,27.3,44,203.64,600,0.62
ENE066-000326,2024-04-18,B2,28.9,73,446.24,1200,0.62
ENE066-000327,2024-04-18,B3,30.2,125,783.45,1800,0.62
ENE066-000328,2024-04-19,B1,29.8,42,253.86,600,0.62
ENE066-000329,2024-04-19,B2,26.9,74,353.32,1200,0.62
ENE066-000330,2024-04-19,B3,27.8,103,575.07,1800,0.62
ENE066-000331,2024-04-20,B1,27.1,8,138.83,600,0.62
ENE066-000332,2024-04-20,B2,27.2,14,289.5,1200,0.62
ENE066-000333,2024-04-20,B3,25.6,17,,1800,0.62
ENE066-000334,2024-04-21,B1,25.0,8,101.25,600,0.62
ENE066-000335,2024-04-21,B2,27.6,10,287.86,1200,0.62
ENE066-000337,2024-04-22,B1,28.3,63,252.34,600,0.62
ENE066-000338,2024-04-22,B2,26.5,76,344.06,1200,0.62
ENE066-000339,2024-04-22,B3,28.1,93,574.4,1800,0.62
ENE066-000340,2024-04-23,B1,27.3,34,178.47,600,0.62
ENE066-000341,2024-04-23,B2,27.3,47,319.34,1200,0.62
ENE066-000342,2024-04-23,B3,28.7,112,656.6,1800,0.62
ENE066-000343,2024-04-24,B1,26.0,49,197.56,600,0.62
ENE066-000344,2024-04-24,B2,26.2,52,309.12,1200,0.62
ENE066-000345,2024-04-24,B3,28.0,135,648.89,1800,0.62
ENE066-000346,2024-04-25,B1,27.5,26,185.39,600,0.62
ENE066-000347,2024-04-25,B2,25.2,78,323.69,1200,0.62
ENE066-000348,2024-04-25,B3,28.4,109,631.53,1800,0.62
ENE066-000349,2024-04-26,B1,29.1,48,241.2,600,0.62
ENE066-000350,2024-04-26,B2,30.8,83,557.59,1200,0.62
ENE066-000351,2024-04-26,B3,29.7,110,713.11,1800,0.62
ENE066-000352,2024-04-27,B1,26.0,9,112.68,600,0.62
ENE066-000353,2024-04-27,B2,29.7,13,401.7,1200,0.62
ENE066-000354,2024-04-27,B3,27.1,20,422.46,1800,0.62
ENE066-000355,2024-04-28,B1,26.8,10,128.44,600,0.62
ENE066-000356,2024-04-28,B2,28.9,14,344.9,1200,0.62
ENE066-000357,2024-04-28,B3,23.9,24,274.44,1800,0.62
ENE066-000358,2024-04-29,B1,27.5,48,204.34,600,0.62
ENE066-000359,2024-04-29,B2,25.8,86,334.61,1200,0.62
ENE066-000360,2024-04-29,B3,24.8,123,447.0,1800,0.62
ENE066-000361,2024-04-30,B1,27.0,49,205.74,600,0.62
ENE066-000362,2024-04-30,B2,26.0,79,334.55,1200,0.62
ENE066-000363,2024-04-30,B3,25.4,114,456.5,1800,0.62
ENE066-000364,2024-05-01,B1,25.9,47,164.38,600,0.62
ENE066-000365,2024-05-01,B2,24.7,68,279.14,1200,0.62
ENE066-000366,2024-05-01,B3,26.4,102,496.46,1800,0.62
ENE066-000367,2024-05-02,B1,25.9,31,153.44,600,0.62
ENE066-000368,2024-05-02,B2,24.6,78,307.54,1200,0.62
ENE066-000369,2024-05-02,B3,27.2,116,565.14,1800,0.62
ENE066-000370,2024-05-03,B1,27.1,52,209.51,600,0.62
ENE066-000371,2024-05-03,B2,29.5,83,493.19,1200,0.62
ENE066-000372,2024-05-03,B3,21.7,112,326.88,1800,0.62
ENE066-000373,2024-05-04,B1,23.9,7,91.98,600,0.62
ENE066-000374,2024-05-04,B2,23.4,14,180.99,1200,0.62
ENE066-000375,2024-05-04,B3,26.2,18,372.93,1800,0.62
ENE066-000376,2024-05-05,B1,26.7,8,143.46,600,0.62
ENE066-000377,2024-05-05,B2,27.0,19,270.82,1200,0.62
ENE066-000378,2024-05-05,B3,25.0,21,312.88,1800,0.62
ENE066-000379,2024-05-06,B1,25.8,44,162.91,600,0.62
ENE066-000380,2024-05-06,B2,26.9,61,332.41,1200,0.62
ENE066-000381,2024-05-06,B3,26.2,104,489.4,1800,0.62
ENE066-000382,2024-05-07,B1,25.6,54,174.7,600,0.62
ENE066-000383,2024-05-07,B2,26.9,87,391.54,1200,0.62
ENE066-000384,2024-05-07,B3,23.8,89,368.47,1800,0.62
ENE066-000385,2024-05-08,B1,25.0,49,160.95,600,0.62
ENE066-000386,2024-05-08,B2,27.8,72,385.53,1200,0.62
ENE066-000387,2024-05-08,B3,25.4,117,464.41,1800,0.62
ENE066-000388,2024-05-09,B1,26.6,27,174.96,600,0.62
ENE066-000390,2024-02-30,B3,25.4,102,451.58,1800,0.62
ENE066-000391,2024-05-10,B1,26.0,31,159.17,600,0.62
ENE066-000392,2024-05-10,B2,25.9,64,320.88,1200,0.62
ENE066-000393,2024-05-10,B3,26.3,105,493.57,1800,0.62
ENE066-000394,2024-05-11,B1,27.3,9,163.73,600,0.62
ENE066-000395,2024-05-11,B2,26.1,15,225.38,1200,0.62
ENE066-000396,2024-05-11,B3,27.5,22,446.33,1800,0.62
ENE066-000397,2024-05-12,B1,27.5,9,139.76,600,0.62
ENE066-000398,2024-05-12,B2,21.8,19,153.98,1200,0.62
ENE066-000399,2024-05-12,B3,23.9,18,273.83,1800,0.62
ENE066-000400,2024-05-13,B1,26.7,62,215.99,600,0.62
ENE066-000401,2024-05-13,B2,26.9,71,345.55,1200,0.62
ENE066-000402,2024-05-13,B3,24.7,104,418.55,1800,0.62
ENE066-000403,2024-05-14,B1,27.4,55,222.21,600,0.62
ENE066-000404,2024-05-14,B2,24.4,64,252.26,1200,0.62
ENE066-000405,2024-05-14,B3,26.1,100,472.68,1800,0.62
ENE066-000406,2024-05-15,B1,24.3,55,170.21,600,0.62
ENE066-000407,2024-05-15,B2,25.2,84,311.17,1200,0.62
ENE066-000408,2024-05-15,B3,24.1,113,407.73,1800,0.62
ENE066-000409,2024-05-16,B1,28.1,41,207.97,600,0.62
