registro_id,fecha_reserva,fecha_llegada,hotel,canal,noches,tarifa,cancelada,pais
TUR068-000029,2024-01-10,2024-05-13,H2,directo,12,166.72,0,ES
TUR068-000030,2024-01-11,2024-05-15,H3,agencia,6,201.63,0,CL
TUR068-000031,2024-01-11,2024-05-27,H1,plataforma,6,118.14,0,CL
TUR068-000032,2024-01-11,2024-02-15,H2,plataforma,12,154.4,1,ES
TUR068-000033,2024-01-12,2024-05-05,H3,plataforma,12,194.62,0,ES
TUR068-000034,2024-01-12,2024-04-20,H1,directo,10,113.22,0,PE
TUR068-000035,2024-01-12,2024-06-06,H2,directo,7,161.46,0,CO
TUR068-000036,2024-01-13,2024-02-19,H3,directo,2,209.32,0,PE
TUR068-000037,2024-01-13,2024-02-09,H1,directo,6,110.6,1,CO
TUR068-000038,2024-01-13,2024-06-05,H2,directo,12,153.81,0,PE
TUR068-000039,2024-01-14,2024-05-09,H3,agencia,7,207.9,0,PE
TUR068-000040,2024-01-14,2024-06-08,H1,directo,7,105.05,1,CO
TUR068-000041,2024-01-14,2024-04-29,H2,directo,10,148.77,1,CO
TUR068-000042,2024-01-15,2024-05-22,H3,directo,12,197.3,0,CL
TUR068-000043,2024-01-15,2024-02-24,H1,directo,2,117.42,0,CL
TUR068-000044,2024-01-15,2024-05-09,H2,agencia,7,171.95,1,ES
TUR068-000045,2024-01-16,2024-02-04,H3,agencia,5,193.19,0,CL
TUR068-000046,2024-01-16,2024-05-26,H1,directo,7,123.99,0,CL
TUR068-000047,2024-01-17,2024-05-06,H2,plataforma,4,156.53,0,ES
TUR068-000048,2024-01-17,2024-05-03,H3,directo,11,199.55,1,ES
TUR068-000049,2024-01-17,2024-05-06,H1,directo,11,107.86,0,CL
TUR068-000050,2024-01-18,2024-05-16,H2,directo,9,166.25,1,CL
TUR068-000051,2024-01-18,2024-01-26,H3,plataforma,10,206.39,0,PE
TUR068-000052,2024-01-18,2024-04-17,H1,directo,10,104.75,1,CL
TUR068-000053,2024-01-19,2024-04-25,H2,directo,4,171.59,1,PE
TUR068-000054,2024-01-19,2024-05-12,H3,directo,3,213.03,0,PE
TUR068-000055,2024-01-19,2024-04-18,H1,agencia,9,122.14,0,PE
TUR068-000056,2024-01-20,2024-03-29,H2,agencia,1,157.12,0,CO
TUR068-000057,2024-01-20,2024-03-08,H3,directo,2,195.14,0,CL
TUR068-000058,2024-01-20,2024-03-23,H1,directo,4,118.64,0,PE
TUR068-000059,2024-01-21,2024-03-31,H2,directo,6,155.16,0,CL
TUR068-000060,2024-01-21,2024-05-03,H3,agencia,4,205.04,0,CO
TUR068-000061,2024-01-21,2024-02-26,H1,agencia,9,105.65,0,PE
TUR068-000062,2024-01-22,2024-02-21,H2,plataforma,12,172.49,0,PE
TUR068-000063,2024-01-22,2024-05-18,H3,agencia,5,207.9,0,PE
TUR068-000064,2024-01-22,2024-03-23,H1,plataforma,7,116.84,0,CO
TUR068-000065,2024-01-23,2024-04-30,H2,plataforma,9,175.11,0,PE
TUR068-000066,2024-01-23,2024-05-12,H3,agencia,12,211.4,0,CL
TUR068-000067,2024-01-23,2024-03-29,H1,plataforma,4,112.18,1,CO
TUR068-000068,2024-01-24,2024-03-31,H2,directo,12,168.41,0,PE
TUR068-000069,2024-01-24,2024-03-17,H3,plataforma,3,201.12,1,ES
TUR068-000070,2024-01-25,2024-06-01,H1,plataforma,10,122.02,1,PE
TUR068-000071,2024-01-25,2024-05-29,H2,plataforma,9,166.64,0,ES
TUR068-000072,2024-01-25,2024-04-11,H3,agencia,8,212.29,1,CL
TUR068-000073,2024-01-26,2024-05-03,H1,agencia,4,113.55,0,PE
TUR068-000074,2024-01-26,2024-04-08,H2,plataforma,12,153.07,0,CO
TUR068-000075,2024-01-26,2024-06-12,H3,directo,4,208.33,1,CO
TUR068-000076,2024-01-27,2024-04-19,H1,plataforma,3,116.61,0,CL
TUR068-000077,2024-01-27,2024-02-02,H2,directo,12,156.94,0,PE
TUR068-000078,2024-01-27,2024-05-09,H3,plataforma,11,211.6,0,PE
TUR068-000079,2024-01-28,2024-03-19,H1,plataforma,4,116.5,0,CL
TUR068-000080,2024-01-28,2024-03-16,H2,plataforma,12,159.09,0,CL
TUR068-000081,2024-01-28,2024-04-05,H3,directo,11,208.25,0,ES
TUR068-000082,2024-01-29,2024-02-03,H1,directo,7,127.82,0,CO
TUR068-000083,2024-01-29,2024-03-12,H2,plataforma,11,172.02,1,CO
TUR068-000084,2024-01-29,2024-02-02,H3,plataforma,8,,0,CL
TUR068-000085,2024-01-30,2024-05-28,H1,directo,11,124.8,0,CO
TUR068-000086,2024-01-30,2024-06-02,H2,directo,1,168.61,1,CO
TUR068-000087,2024-01-30,2024-02-05,H3,plataforma,1,213.37,0,CL
TUR068-000088,2024-01-31,2024-02-12,H1,plataforma,9,122.88,0,CO
TUR068-000089,2024-01-31,2024-06-10,H2,plataforma,1,160.77,1,CL
TUR068-000090,2024-01-31,2024-02-21,H3,directo,10,209.48,1,PE
TUR068-000091,2024-02-01,2024-02-26,H1,agencia,8,118.91,0,PE
TUR068-000092,2024-02-01,2024-05-04,H2,agencia,12,164.85,0,ES
TUR068-000093,2024-02-02,2024-03-21,H3,agencia,8,207.4,0,PE
TUR068-000094,2024-02-02,2024-03-18,H1,directo,10,124.83,0,PE
TUR068-000095,2024-02-02,2024-03-26,H2,directo,12,180.01,0,CO
TUR068-000096,2024-02-03,2024-02-28,H3,plataforma,10,202.31,0,CL
TUR068-000097,2024-02-03,2024-06-01,H1,agencia,4,128.8,1,CO
TUR068-000098,2024-02-03,2024-06-11,H2, DIRECTO ,6,164.19,0,CL
TUR068-000099,2024-02-04,2024-04-03,H3,directo,9,223.24,0,PE
TUR068-000100,2024-02-04,2024-04-22,H1,directo,1,133.75,0,ES
TUR068-000101,2024-02-04,2024-03-18,H2,directo,10,171.21,0,PE
TUR068-000102,2024-02-05,2024-02-14,H3,directo,12,223.16,0,CO
TUR068-000103,2024-02-05,2024-06-12,H1,plataforma,3,129.39,0,CO
TUR068-000104,2024-02-05,2024-07-01,H2,directo,2,174.38,0,ES
TUR068-000105,2024-02-06,2024-04-12,H3,plataforma,4,221.65,1,PE
TUR068-000106,2024-02-06,2024-05-26,H1,plataforma,9,132.63,0,ES
TUR068-000107,2024-02-06,2024-02-19,H2,agencia,8,159.39,0,ES
TUR068-000108,2024-02-07,2024-05-03,H3,agencia,2,216.4,0,ES
TUR068-000109,2024-02-07,2024-05-25,H1,directo,8,132.0,0,CO
TUR068-000110,2024-02-07,2024-03-02,H2,directo,6,182.42,0,CO
TUR068-000111,2024-02-08,2024-07-01,H3,directo,12,210.09,0,CL
TUR068-000112,2024-02-08,2024-05-05,H1,plataforma,4,135.41,0,CL
TUR068-000113,2024-02-08,2024-06-25,H2,plataforma,11,183.22,0,PE
TUR068-000114,2024-02-09,2024-04-22,H3,directo,10,207.29,0,CO
TUR068-000115,2024-02-09,2024-03-23,H1,directo,7,131.41,0,CO
TUR068-000116,2024-02-10,2024-03-18,H2,directo,6,174.06,0,ES
TUR068-000117,2024-02-10,2024-04-14,H3,plataforma,4,216.11,0,CO
TUR068-000118,2024-02-10,2024-04-07,H1,agencia,9,121.44,0,CO
TUR068-000119,2024-02-11,2024-07-10,H2,directo,4,180.04,0,CL
TUR068-000120,2024-02-11,2024-03-06,H3,plataforma,7,226.33,0,CL
TUR068-000121,2024-02-11,2024-06-05,H1,directo,5,134.72,0,CL
TUR068-000122,2024-02-12,2024-05-10,H2,agencia,10,171.76,0,ES
TUR068-000123,2024-02-12,2024-03-20,H3,plataforma,6,227.82,0,CO
TUR068-000124,2024-02-12,2024-04-17,H1,plataforma,10,125.58,0,ES
TUR068-000125,2024-02-13,2024-03-11,H2,agencia,11,165.15,0,PE
TUR068-000126,2024-02-13,2024-07-12,H3,directo,4,229.42,0,CL
TUR068-000127,2024-02-13,2024-05-17,H1,plataforma,11,138.77,0,CL
TUR068-000128,2024-02-14,2024-06-30,H2,plataforma,8,162.38,0,PE
TUR068-000129,2024-02-14,2024-03-10,H3,plataforma,8,217.25,1,CO
TUR068-000130,2024-02-14,2024-05-24,H1,plataforma,5,119.97,1,PE
TUR068-000131,2024-02-15,2024-04-17,H2,agencia,12,167.69,0,PE
TUR068-000132,2024-02-15,2024-02-28,H3,agencia,8,229.88,0,PE
TUR068-000133,2024-02-15,2024-02-22,H1,plataforma,12,128.36,1,PE
TUR068-000134,2024-02-16,2024-06-05,H2,agencia,2,165.54,0,ES
TUR068-000135,2024-02-16,2024-06-21,H3,directo,4,217.39,0,ES
TUR068-000136,2024-02-16,2024-06-21,H1,directo,10,140.03,0,CO
TUR068-000137,2024-02-17,2024-06-28,H2,directo,4,170.37,0,PE
TUR068-000138,2024-02-17,2024-06-25,H3,directo,8,218.49,0,CL
TUR068-000139,2024-02-18,2024-05-05,H1,plataforma,2,117.49,0,CO
TUR068-000140,2024-02-18,2024-06-09,H2,directo,5,181.18,1,PE
TUR068-000141,2024-02-18,2024-02-28,H3,plataforma,11,212.13,1,CL
TUR068-000142,2024-02-19,2024-07-17,H1,directo,3,135.47,1,CO
TUR068-000143,2024-02-19,2024-06-02,H2,directo,3,179.39,0,ES
TUR068-000144,2024-02-19,2024-03-21,H3,agencia,1,224.21,0,CL
TUR068-000145,2024-02-20,2024-06-15,H1,directo,4,120.94,1,ES
TUR068-000146,2024-02-20,2024-07-01,H2,plataforma,5,172.66,1,CO
TUR068-000147,2024-02-20,2024-03-26,H3,directo,8,220.16,0,CL
TUR068-000148,2024-02-21,2024-03-05,H1,agencia,3,126.79,0,CO
TUR068-000149,2024-02-21,2024-04-30,H2,agencia,1,184.21,0,PE
TUR068-000150,2024-02-21,2024-04-05,H3,directo,6,225.46,1,CO
TUR068-000151,2024-02-22,2024-02-27,H1,agencia,3,120.54,0,CO
TUR068-000152,2024-02-22,2024-03-17,H2,agencia,6,184.97,0,ES
TUR068-000153,2024-02-22,2024-03-10,H3,plataforma,12,220.6,0,CO
TUR068-000154,2024-02-23,2024-04-29,H1,directo,2,120.01,0,ES
TUR068-000155,2024-02-23,2024-02-26,H2,directo,2,164.36,0,PE
TUR068-000156,2024-02-23,2024-07-18,H3,directo,10,231.36,0,CO
TUR068-000157,2024-02-24,2024-02-28,H1,plataforma,1,135.77,0,ES
TUR068-000158,2024-02-24,2024-05-25,H2,plataforma,9,165.11,0,CO
TUR068-000159,2024-02-24,2024-06-08,H3,directo,6,222.5,0,CL
TUR068-000160,2024-02-25,2024-03-22,H1,directo,2,135.79,0,CO
TUR068-000161,2024-02-25,2024-04-17,H2,agencia,4,174.33,0,CL
TUR068-000162,2024-02-26,2024-05-30,H3,agencia,7,220.07,0,CO
TUR068-000163,2024-02-26,2024-06-27,H1,directo,11,122.38,0,PE
TUR068-000164,2024-02-26,2024-03-17,H2,directo,4,188.42,0,CL
TUR068-000165,2024-02-27,2024-06-27,H3,plataforma,2,234.81,0,PE
TUR068-000166,2024-02-27,2024-05-06,H1,directo,9,142.13,0,PE
TUR068-000167,2024-02-27,2024-02-29,H2,plataforma,10,,0,PE
TUR068-000168,2024-02-28,2024-07-14,H3,directo,7,226.41,1,CL
TUR068-000169,2024-02-28,2024-03-13,H1,plataforma,4,137.05,1,CO
TUR068-000170,2024-02-28,2024-03-29,H2,directo,11,181.61,0,CL
TUR068-000171,2024-02-29,2024-06-19,H3,plataforma,8,227.21,0,CL
TUR068-000172,2024-02-29,2024-05-05,H1,agencia,2,132.95,0,CL
TUR068-000173,2024-02-29,2024-06-17,H2,agencia,7,171.53,0,PE
TUR068-000174,2024-03-01,2024-04-03,H3,plataforma,12,235.32,0,PE
TUR068-000175,2024-03-01,2024-07-06,H1,agencia,3,121.1,1,PE
TUR068-000176,2024-03-01,2024-05-18,H2,agencia,4,187.11,0,CO
TUR068-000177,2024-03-02,2024-06-11,H3,plataforma,12,226.45,0,ES
TUR068-000178,2024-03-02,2024-06-08,H1,directo,6,133.48,0,PE
TUR068-000179,2024-03-02,2024-04-07,H2,directo,10,167.44,1,PE
TUR068-000180,2024-03-03,2024-03-27,H3,directo,7,214.35,0,CL
TUR068-000181,2024-03-03,2024-07-30,H1,directo,3,134.05,1,CO
TUR068-000182,2024-03-04,2024-04-27,H2,agencia,6,174.39,0,CL
TUR068-000183,2024-03-04,2024-06-04,H3,plataforma,8,215.33,0,CO
TUR068-000184,2024-03-04,2024-06-04,H1,directo,2,133.49,0,ES
TUR068-000185,2024-03-05,2024-05-30,H2,agencia,1,181.66,0,PE
TUR068-000186,2024-03-05,2024-07-21,H3,agencia,5,234.57,0,PE
TUR068-000187,2024-03-05,2024-03-25,H1,directo,11,141.59,0,ES
TUR068-000188,2024-03-06,2024-05-23,H2,plataforma,11,190.13,1,PE
TUR068-000189,2024-03-06,2024-04-06,H3,directo,12,233.61,1,PE
TUR068-000190,2024-03-06,2024-08-03,H1,plataforma,9,136.15,0,CO
TUR068-000191,2024-03-07,2024-07-13,H2,plataforma,4,181.31,0,PE
TUR068-000192,2024-03-07,2024-04-10,H3,agencia,6,229.95,0,ES
TUR068-000193,2024-03-07,2024-06-22,H1,directo,2,145.93,0,CL
TUR068-000194,2024-03-08,2024-06-09,H2,plataforma,1,188.54,0,ES
TUR068-000195,2024-03-08,2024-04-22,H3, AGENCIA ,9,233.31,1,CL
TUR068-000196,2024-03-08,2024-04-13,H1,plataforma,9,126.46,1,CL
TUR068-000197,2024-03-09,2024-04-20,H2,directo,7,189.61,0,PE
TUR068-000198,2024-03-09,2024-06-11,H3,plataforma,6,213.03,0,CL
TUR068-000199,2024-03-09,2024-06-26,H1,plataforma,12,132.27,0,CL
TUR068-000200,2024-03-10,2024-03-31,H2,plataforma,11,179.05,1,CL
TUR068-000201,2024-03-10,2024-05-16,H3,agencia,7,214.84,0,CL
TUR068-000202,2024-03-10,2024-04-27,H1,plataforma,10,130.93,0,ES
TUR068-000203,2024-03-11,2024-06-14,H2,agencia,9,181.56,0,ES
TUR068-000204,2024-03-11,2024-07-21,H3,directo,5,229.37,1,CO
TUR068-000205,2024-03-12,2024-05-18,H1,directo,8,125.65,0,CO
TUR068-000206,2024-03-12,2024-06-19,H2,agencia,1,175.11,0,CL
TUR068-000207,2024-03-12,2024-04-23,H3,agencia,8,213.78,0,PE
TUR068-000208,2024-03-13,2024-05-07,H1,plataforma,8,147.87,0,CO
TUR068-000209,2024-03-13,2024-04-29,H2,agencia,1,190.68,1,CL
TUR068-000210,2024-03-13,2024-05-22,H3,plataforma,5,215.35,0,CL
TUR068-000211,2024-03-14,2024-07-04,H1,agencia,6,133.08,0,PE
TUR068-000212,2024-03-14,2024-07-02,H2,plataforma,8,"173,56",1,CL
TUR068-000213,2024-03-14,2024-04-03,H3,agencia,8,226.77,0,CL
TUR068-000214,2024-03-15,2024-07-06,H1,directo,6,148.52,0,CO
TUR068-000215,2024-03-15,2024-07-01,H2,agencia,11,191.5,0,PE
TUR068-000216,2024-03-15,2024-08-08,H3,directo,10,236.3,0,CL
TUR068-000217,2024-03-16,2024-06-07,H1,agencia,3,139.12,1,CL
TUR068-000218,2024-03-16,2024-04-12,H2,agencia,9,190.82,0,ES
TUR068-000219,2024-03-16,2024-07-06,H3,directo,8,217.26,1,PE
TUR068-000220,2024-03-17,2024-06-02,H1,directo,12,129.43,0,PE
TUR068-000221,2024-03-17,2024-08-07,H2,directo,6,184.22,0,PE
TUR068-000222,2024-03-17,2024-06-27,H3,agencia,1,238.02,0,CO
TUR068-000223,2024-03-18,2024-08-09,H1,agencia,5,133.73,0,PE
TUR068-000224,2024-03-18,2024-07-06,H2,agencia,2,172.35,0,CL
TUR068-000225,2024-03-18,2024-06-21,H3,plataforma,12,228.44,1,CO
TUR068-000226,2024-03-19,2024-06-14,H1,agencia,3,145.13,0,PE
TUR068-000227,2024-03-19,2024-05-24,H2,plataforma,10,182.5,0,PE
TUR068-000228,2024-03-20,2024-05-19,H3,directo,6,217.52,0,CO
TUR068-000229,2024-03-20,2024-04-02,H1,directo,3,145.02,0,CO
TUR068-000230,2024-03-20,2024-05-14,H2,plataforma,6,189.87,0,PE
TUR068-000231,2024-03-21,2024-06-18,H3,agencia,1,229.42,0,CO
TUR068-000232,2024-03-21,2024-07-29,H1,directo,7,135.0,0,ES
TUR068-000233,2024-03-21,2024-05-15,H2,directo,3,182.21,0,ES
TUR068-000234,2024-03-22,2024-04-05,H3,plataforma,12,219.94,0,ES
TUR068-000235,2024-03-22,2024-05-21,H1,plataforma,5,124.85,0,CO
TUR068-000236,2024-03-22,2024-07-06,H2,directo,9,186.06,0,ES
TUR068-000237,2024-03-23,2024-06-21,H3,directo,12,222.54,0,CO
TUR068-000238,2024-03-23,2024-06-01,H1,plataforma,10,128.39,0,CL
TUR068-000239,2024-03-23,2024-07-21,H2,plataforma,4,177.5,0,CO
TUR068-000240,2024-03-24,2024-06-28,H3,directo,8,238.09,0,CL
TUR068-000241,2024-03-24,2024-07-30,H1,directo,3,144.2,0,CO
TUR068-000242,2024-03-24,2024-05-09,H2,agencia,1,184.19,1,CL
TUR068-000243,2024-03-25,2024-08-10,H3,directo,9,229.62,0,ES
TUR068-000244,2024-03-25,2024-06-09,H1,plataforma,10,126.39,0,PE
TUR068-000245,2024-03-25,2024-06-26,H2,directo,2,182.77,0,CO
TUR068-000246,2024-03-26,2024-05-01,H3,agencia,5,218.92,0,ES
TUR068-000247,2024-03-26,2024-07-10,H1,plataforma,5,127.18,1,CO
TUR068-000248,2024-03-26,2024-05-04,H2,plataforma,10,190.62,0,CO
TUR068-000249,2024-03-27,2024-07-07,H3,plataforma,10,239.26,0,CL
TUR068-000250,2024-03-27,2024-08-03,H1,plataforma,7,,1,PE
TUR068-000251,2024-03-28,2024-07-24,H2,plataforma,11,182.99,1,PE
TUR068-000252,2024-03-28,2024-06-21,H3,directo,7,224.71,0,CL
TUR068-000253,2024-03-28,2024-08-25,H1,directo,6,149.11,1,PE
TUR068-000254,2024-03-29,2024-04-02,H2,directo,9,171.77,0,PE
TUR068-000255,2024-03-29,2024-06-03,H3,agencia,1,227.56,0,PE
TUR068-000256,2024-03-29,2024-04-19,H1,agencia,10,145.77,0,CL
TUR068-000257,2024-03-30,2024-04-24,H2,agencia,4,191.0,0,CO
TUR068-000258,2024-03-30,2024-05-23,H3,plataforma,9,236.71,1,ES
TUR068-000259,2024-03-30,2024-08-12,H1,plataforma,5,141.32,1,CO
TUR068-000260,2024-03-31,2024-05-23,H2,agencia,12,187.34,0,CL
TUR068-000261,2024-03-31,2024-04-27,H3,directo,4,215.2,0,CL
TUR068-000262,2024-03-31,2024-04-27,H1,agencia,8,140.02,0,PE
TUR068-000263,2024-04-01,2024-05-11,H2,agencia,6,175.12,0,CO
TUR068-000264,2024-04-01,2024-07-29,H3,agencia,12,237.51,0,ES
TUR068-000265,2024-04-01,2024-07-27,H1,agencia,1,148.51,0,CL
TUR068-000266,2024-04-02,2024-06-19,H2,plataforma,5,189.2,1,ES
TUR068-000267,2024-04-02,2024-04-14,H3,agencia,12,221.29,0,ES
TUR068-000268,2024-04-02,2024-05-20,H1,agencia,7,149.46,0,CL
TUR068-000269,2024-04-03,2024-08-24,H2,directo,5,172.04,1,ES
TUR068-000270,2024-04-03,2024-06-15,H3,plataforma,4,230.19,0,CO
TUR068-000271,2024-04-03,2024-06-06,H1,agencia,1,130.83,0,ES
TUR068-000272,2024-04-04,2024-06-21,H2,agencia,6,181.97,1,ES
TUR068-000273,2024-04-04,2024-05-07,H3,agencia,4,221.61,1,ES
TUR068-000274,2024-04-05,2024-08-03,H1,plataforma,7,133.82,0,CO
TUR068-000275,2024-04-05,2024-08-24,H2,agencia,5,179.45,0,CL
TUR068-000276,2024-04-05,2024-05-29,H3,agencia,1,226.03,0,CL
TUR068-000277,2024-04-06,2024-04-17,H1,directo,8,141.61,0,CL
TUR068-000278,2024-04-06,2024-07-25,H2,directo,1,190.02,0,PE
TUR068-000279,2024-04-06,2024-04-19,H3,agencia,8,224.44,0,CO
TUR068-000280,2024-04-07,2024-06-19,H1,directo,7,148.39,1,PE
TUR068-000281,2024-04-07,2024-08-15,H2,plataforma,6,190.03,0,PE
TUR068-000282,2024-04-07,2024-04-11,H3,directo,10,216.64,0,ES
TUR068-000283,2024-04-08,2024-05-11,H1,plataforma,3,140.67,0,CO
TUR068-000284,2024-04-08,2024-08-12,H2,directo,4,178.28,0,PE
TUR068-000285,2024-04-08,2024-07-27,H3,directo,9,237.63,0,PE
TUR068-000286,2024-04-09,2024-07-24,H1,directo,9,141.02,0,CO
TUR068-000287,2024-04-09,2024-07-28,H2,directo,4,178.25,0,CL
TUR068-000288,2024-04-09,2024-07-27,H3,plataforma,8,222.04,0,CO
TUR068-000289,2024-04-10,2024-04-28,H1,plataforma,8,141.36,0,PE
TUR068-000290,2024-04-10,2024-05-02,H2,plataforma,1,193.57,0,CO
TUR068-000291,2024-04-10,2024-06-27,H3,agencia,4,216.96,0,PE
TUR068-000292,2024-04-11,2024-05-04,H1, PLATAFORMA ,11,146.63,0,ES
TUR068-000293,2024-04-11,2024-08-05,H2,agencia,10,181.51,0,CL
TUR068-000294,2024-04-11,2024-08-19,H3,agencia,9,220.8,0,CL
TUR068-000295,2024-04-12,2024-06-17,H1,plataforma,10,147.26,0,PE
TUR068-000296,2024-04-12,2024-04-20,H2,plataforma,2,182.42,0,ES
TUR068-000297,2024-04-13,2024-05-06,H3,plataforma,9,220.48,0,ES
TUR068-000298,2024-04-13,2024-08-09,H1,directo,3,130.91,0,CL
TUR068-000299,2024-04-13,2024-07-02,H2,directo,4,182.41,0,CL
TUR068-000300,2024-04-14,2024-06-09,H3,directo,1,233.7,0,ES
TUR068-000301,2024-04-14,2024-09-11,H1,plataforma,3,130.51,0,PE
TUR068-000302,2024-04-14,2024-04-28,H2,directo,8,192.07,0,PE
TUR068-000303,2024-04-15,2024-08-15,H3,plataforma,11,218.92,0,PE
TUR068-000304,2024-04-15,2024-05-15,H1,agencia,11,135.47,0,ES
TUR068-000305,2024-04-15,2024-05-23,H2,agencia,8,170.53,0,PE
TUR068-000306,2024-04-16,2024-08-13,H3,plataforma,7,216.65,0,ES
TUR068-000307,2024-04-16,2024-09-08,H1,plataforma,4,126.32,0,ES
TUR068-000308,2024-04-16,2024-09-13,H2,agencia,9,174.44,0,PE
TUR068-000309,2024-04-17,2024-08-06,H3,directo,8,229.46,0,CO
TUR068-000310,2024-04-17,2024-07-31,H1,directo,11,129.77,0,PE
TUR068-000311,2024-04-17,2024-08-10,H2,plataforma,1,179.43,0,CL
TUR068-000312,2024-04-18,2024-07-12,H3,agencia,12,229.7,1,ES
TUR068-000313,2024-04-18,2024-07-14,H1,plataforma,8,129.55,1,ES
TUR068-000314,2024-04-18,2024-04-19,H2,directo,5,176.24,0,CL
TUR068-000315,2024-04-19,2024-09-02,H3,plataforma,3,217.55,0,CL
TUR068-000316,2024-04-19,2024-08-19,H1,agencia,12,124.93,0,PE
TUR068-000317,2024-04-19,2024-08-25,H2,plataforma,3,188.71,0,CL
TUR068-000318,2024-04-20,2024-05-13,H3,directo,6,226.25,0,PE
TUR068-000319,2024-04-20,2024-04-29,H1,plataforma,1,144.34,0,CL
TUR068-000320,2024-04-21,2024-09-18,H2,agencia,3,191.87,0,PE
TUR068-000321,2024-04-21,2024-08-12,H3,plataforma,9,237.92,0,ES
TUR068-000322,2024-04-21,2024-07-11,H1,plataforma,2,143.45,1,CL
TUR068-000323,2024-04-22,2024-08-29,H2,plataforma,11,181.48,1,CL
TUR068-000324,2024-04-22,2024-04-28,H3,plataforma,6,216.11,0,PE
TUR068-000325,2024-04-22,2024-06-14,H1,directo,4,143.95,0,CO
TUR068-000326,2024-04-23,2024-08-16,H2,plataforma,11,191.9,0,CO
TUR068-000327,2024-04-23,2024-04-27,H3,plataforma,12,236.73,0,PE
TUR068-000328,2024-04-23,2024-08-12,H1,directo,11,127.5,0,CL
TUR068-000329,2024-04-24,2024-09-20,H2,directo,2,170.22,1,PE
TUR068-000330,2024-04-24,2024-08-09,H3,agencia,12,229.88,0,ES
TUR068-000331,2024-04-24,2024-06-20,H1,agencia,3,128.87,0,CL
TUR068-000332,2024-04-25,2024-07-18,H2,directo,4,186.13,0,ES
TUR068-000333,2024-04-25,2024-06-08,H3,agencia,7,,0,PE
TUR068-000334,2024-04-25,2024-09-16,H1,plataforma,3,138.89,1,CO
TUR068-000335,2024-04-26,2024-08-16,H2,plataforma,7,190.9,1,CL
TUR068-000336,2024-04-26,2024-05-01,H3,plataforma,12,220.94,0,PE
TUR068-000337,2024-04-26,2024-08-17,H1,directo,8,135.05,0,CL
TUR068-000338,2024-04-27,2024-09-06,H2,directo,12,185.55,1,CO
TUR068-000339,2024-04-27,2024-05-23,H3,directo,11,213.77,0,CO
TUR068-000340,2024-04-28,2024-07-05,H1,directo,10,130.06,0,CO
TUR068-000341,2024-04-28,2024-08-16,H2,agencia,8,190.48,0,ES
TUR068-000342,2024-04-28,2024-09-04,H3,plataforma,1,225.6,1,ES
TUR068-000343,2024-04-29,2024-06-23,H1,directo,6,139.77,1,CO
TUR068-000344,2024-04-29,2024-07-07,H2,agencia,9,175.02,0,CO
TUR068-000345,2024-04-29,2024-08-17,H3,directo,6,212.4,1,CO
TUR068-000346,2024-04-30,2024-06-19,H1,directo,10,136.06,0,CL
TUR068-000347,2024-04-30,2024-06-07,H2,directo,10,190.14,0,ES
TUR068-000348,2024-04-30,2024-08-28,H3,agencia,11,230.12,0,PE
