registro_id,fecha,tienda,producto,unidades,precio,descuento,estado
CAJ022-000076,2024-03-06,T1,P04,1,21.13,0,completada
CAJ022-000077,2024-03-07,T2,P04,9,20.16,0.15,completada
CAJ022-000078,2024-03-08,T3,P06,7,28.38,0.15,completada
CAJ022-000079,2024-03-09,T1,P10,4,45.96,0.1,completada
CAJ022-000080,2024-03-10,T2,P03,9,17.96,0.1,completada
CAJ022-000081,2024-03-11,T3,P07,4,33.51,0.05,completada
CAJ022-000082,2024-03-12,T1,P02,1,12.04,0.1,completada
CAJ022-000083,2024-03-12,T2,P10,3,45.03,0.05,completada
CAJ022-000084,2024-03-13,T3,P02,4,,0,completada
CAJ022-000085,2024-03-14,T1,P02,1,12.6,0.05,completada
CAJ022-000086,2024-03-15,T2,P07,4,33.9,0.05,completada
CAJ022-000087,2024-03-16,T3,P09,8,41.85,0.2,completada
CAJ022-000088,2024-03-17,T1,P09,5,41.98,0.15,completada
CAJ022-000089,2024-03-18,T2,P01,8,8.57,0.15,completada
CAJ022-000090,2024-03-19,T3,P07,7,33.62,0.15,completada
CAJ022-000091,2024-03-19,T1,P12,9,53.89,0.1,completada
CAJ022-000092,2024-03-20,T2,P11,9,49.86,0.2,completada
CAJ022-000093,2024-03-21,T3,P07,2,33.63,0,completada
CAJ022-000094,2024-03-22,T1,P01,3,9.36,0.1,completada
CAJ022-000095,2024-03-23,T2,P04,7,20.89,0.15,completada
CAJ022-000096,2024-03-24,T3,P09,4,40.09,0.1,completada
CAJ022-000097,2024-03-25,T1,P10,5,45.7,0.15,completada
CAJ022-000098,2024-03-26, T2 ,P11,5,48.73,0.2,completada
CAJ022-000099,2024-03-26,T3,P10,3,44.44,0.1,completada
CAJ022-000100,2024-03-27,T1,P12,3,53.98,0,completada
CAJ022-000101,2024-03-28,T2,P10,6,45.26,0.1,completada
CAJ022-000102,2024-03-29,T3,P04,3,21.0,0.1,completada
CAJ022-000103,2024-03-30,T1,P04,7,21.05,0.2,completada
CAJ022-000104,2024-03-31,T2,P05,8,24.17,0.2,completada
CAJ022-000105,2024-04-01,T3,P12,7,52.29,0.2,completada
CAJ022-000106,2024-04-02,T1,P06,2,29.55,0.05,completada
CAJ022-000107,2024-04-03,T2,P07,3,32.97,0,completada
CAJ022-000108,2024-04-03,T3,P02,8,13.32,0.15,completada
CAJ022-000109,2024-04-04,T1,P12,8,53.91,0.1,completada
CAJ022-000110,2024-04-05,T2,P12,2,53.73,0.05,completada
CAJ022-000111,2024-04-06,T3,P11,6,48.91,0.2,completada
CAJ022-000112,2024-04-07,T1,P01,4,9.2,0,completada
CAJ022-000113,2024-04-08,T2,P08,8,37.16,0.1,completada
CAJ022-000114,2024-04-09,T3,P08,7,36.67,0.1,completada
CAJ022-000115,2024-04-10,T1,P03,4,16.16,0,completada
CAJ022-000116,2024-04-10,T2,P11,4,48.85,0.05,completada
CAJ022-000117,2024-04-11,T3,P03,3,17.06,0,completada
CAJ022-000118,2024-04-12,T1,P05,4,24.83,0.05,completada
CAJ022-000119,2024-04-13,T2,P05,2,24.4,0.05,completada
CAJ022-000120,2024-04-14,T3,P07,6,32.92,0.15,completada
CAJ022-000121,2024-04-15,T1,P07,6,32.81,0.2,completada
CAJ022-000122,2024-04-16,T2,P01,5,9.22,0.15,completada
CAJ022-000123,2024-04-17,T3,P07,9,33.68,0.1,completada
CAJ022-000124,2024-04-17,T1,P06,4,29.39,0.1,completada
CAJ022-000125,2024-04-18,T2,P07,6,32.39,0.1,completada
CAJ022-000126,2024-04-19,T3,P01,8,9.41,0.15,completada
CAJ022-000127,2024-04-20,T1,P08,9,36.88,0.2,completada
CAJ022-000128,2024-04-21,T2,P06,8,28.14,0.1,completada
CAJ022-000129,2024-04-22,T3,P06,8,28.21,0.1,completada
CAJ022-000130,2024-04-23,T1,P08,2,37.04,0.05,completada
CAJ022-000131,2024-04-24,T2,P01,7,8.34,0.2,completada
CAJ022-000132,2024-04-24,T3,P07,6,33.21,0.2,completada
CAJ022-000133,2024-04-25,T1,P05,1,24.24,0.1,completada
CAJ022-000134,2024-04-26,T2,P02,5,12.94,0.2,completada
CAJ022-000135,2024-04-27,T3,P10,9,45.86,0.15,completada
CAJ022-000136,2024-04-28,T1,P03,2,16.58,0.05,completada
CAJ022-000137,2024-04-29,T2,P01,3,9.26,0.1,completada
CAJ022-000138,2024-04-30,T3,P06,3,28.52,0.1,completada
CAJ022-000139,2024-05-01,T1,P08,5,36.62,0.2,completada
CAJ022-000140,2024-05-01,T2,P06,4,28.7,0,completada
CAJ022-000141,2024-05-02,T3,P11,6,49.96,0.15,completada
CAJ022-000142,2024-05-03,T1,P10,8,45.05,0.15,completada
CAJ022-000143,2024-05-04,T2,P10,3,44.11,0.1,completada
CAJ022-000144,2024-05-05,T3,P08,1,37.01,0.05,completada
CAJ022-000145,2024-05-06,T1,P02,6,12.21,0.1,completada
CAJ022-000146,2024-05-07,T2,P02,1,12.98,0,completada
CAJ022-000147,2024-05-08,T3,P09,5,41.22,0.1,completada
CAJ022-000148,2024-05-08,T1,P02,2,13.65,0.05,completada
CAJ022-000149,2024-05-09,T2,P09,3,40.81,0.1,completada
CAJ022-000150,2024-05-10,T3,P09,2,40.87,0.1,completada
CAJ022-000151,2024-05-11,T1,P02,5,13.23,0.15,anulada
CAJ022-000152,2024-05-12,T2,P11,7,48.84,0.2,completada
CAJ022-000153,2024-05-13,T3,P11,1,49.06,0.05,completada
CAJ022-000154,2024-05-14,T1,P03,1,17.59,0.05,completada
CAJ022-000155,2024-05-15,T2,P12,3,53.41,0.05,completada
CAJ022-000156,2024-05-15,T3,P02,5,13.06,0.1,completada
CAJ022-000157,2024-05-16,T1,P05,2,24.58,0.05,completada
CAJ022-000158,2024-05-17,T2,P02,7,12.84,0.2,completada
CAJ022-000159,2024-05-18,T3,P07,3,32.22,0,completada
CAJ022-000160,2024-05-19,T1,P07,5,33.55,0.2,completada
CAJ022-000161,2024-05-20,T2,P03,9,16.58,0.2,completada
CAJ022-000162,2024-05-21,T3,P09,2,40.68,0.1,completada
CAJ022-000163,2024-05-22,T1,P02,8,12.58,0.15,completada
CAJ022-000164,2024-05-23,T2,P10,2,45.27,0.1,completada
CAJ022-000165,2024-05-23,T3,P07,4,33.93,0.05,completada
CAJ022-000166,2024-05-24,T1,P07,9,33.6,0.15,completada
CAJ022-000167,2024-05-25,T2,P04,6,,0.2,completada
CAJ022-000168,2024-05-26,T3,P11,3,48.11,0,completada
CAJ022-000169,2024-05-27,T1,P10,5,45.12,0.15,completada
CAJ022-000170,2024-05-28,T2,P04,8,21.25,0.2,completada
CAJ022-000171,2024-05-29,T3,P11,7,48.42,0.1,completada
CAJ022-000172,2024-05-30,T1,P05,6,25.49,0.1,completada
CAJ022-000173,2024-05-30,T2,P04,8,20.25,0.15,completada
CAJ022-000174,2024-05-31,T3,P01,8,9.5,0.1,completada
CAJ022-000175,2024-06-01,T1,P10,4,45.28,0.05,completada
CAJ022-000176,2024-06-02,T2,P02,9,13.93,0.2,completada
CAJ022-000177,2024-06-03,T3,P06,2,29.54,0,completada
CAJ022-000178,2024-06-04,T1,P03,9,16.99,0.15,completada
CAJ022-000179,2024-06-05,T2,P04,3,20.64,0,completada
CAJ022-000180,2024-06-06,T3,P08,4,36.29,0,completada
CAJ022-000181,2024-06-06,T1,P12,9,53.43,0.1,completada
CAJ022-000182,2024-06-07,T2,P11,3,49.97,0.1,completada
CAJ022-000183,2024-06-08,T3,P03,4,16.64,0.1,completada
CAJ022-000184,2024-06-09,T1,P06,4,29.73,0.1,completada
CAJ022-000185,2024-06-10,T2,P12,6,53.58,0.15,completada
CAJ022-000186,2024-06-11,T3,P10,1,44.75,0.05,completada
CAJ022-000187,2024-06-12,T1,P12,4,53.31,0.05,completada
CAJ022-000188,2024-06-13,T2,P07,2,32.19,0,completada
CAJ022-000189,2024-06-13,T3,P07,5,32.48,0.1,completada
CAJ022-000190,2024-06-14,T1,P07,2,32.2,0.1,completada
CAJ022-000191,2024-06-15,T2,P04,9,20.03,0.15,completada
CAJ022-000192,2024-06-16,T3,P08,9,37.29,0.15,completada
CAJ022-000193,2024-06-17,T1,P01,2,9.67,0.05,completada
CAJ022-000194,2024-06-18,T2,P02,3,13.69,0,completada
CAJ022-000195,2024-06-19, T3 ,P10,3,45.96,0,completada
CAJ022-000196,2024-06-20,T1,P08,3,36.91,0.1,completada
CAJ022-000197,2024-06-20,T2,P07,7,32.09,0.2,completada
CAJ022-000198,2024-06-21,T3,P06,9,29.44,0.15,completada
CAJ022-000199,2024-06-22,T1,P08,9,37.9,0.2,completada
CAJ022-000200,2024-06-23,T2,P04,4,20.73,0,completada
CAJ022-000201,2024-06-24,T3,P12,8,52.98,0.2,completada
CAJ022-000202,2024-06-25,T1,P05,4,25.25,0.05,completada
CAJ022-000203,2024-06-26,T2,P03,3,16.91,0.05,completada
CAJ022-000204,2024-06-27,T3,P03,6,17.68,0.1,completada
CAJ022-000205,2024-06-27,T1,P10,7,45.8,0.15,completada
CAJ022-000206,2024-06-28,T2,P06,7,29.78,0.1,completada
CAJ022-000207,2024-06-29,T3,P06,2,28.35,0.1,completada
CAJ022-000208,2024-06-30,T1,P10,9,45.94,0.15,anulada
CAJ022-000209,2024-07-01,T2,P09,3,41.9,0,completada
CAJ022-000210,2024-07-02,T3,P09,3,40.92,0,anulada
CAJ022-000211,2024-07-03,T1,P05,4,25.6,0.05,completada
CAJ022-000212,2024-07-04,T2,P11,1,"48,82",0.05,completada
CAJ022-000213,2024-07-05,T3,P12,9,52.31,0.2,completada
CAJ022-000214,2024-07-05,T1,P10,6,45.33,0.2,completada
CAJ022-000215,2024-07-06,T2,P05,3,24.89,0,completada
CAJ022-000216,2024-07-07,T3,P07,6,33.23,0.1,completada
CAJ022-000217,2024-07-08,T1,P12,2,53.32,0.05,completada
CAJ022-000218,2024-07-09,T2,P10,1,44.12,0.05,completada
CAJ022-000219,2024-07-10,T3,P10,9,44.09,0.15,completada
CAJ022-000220,2024-07-11,T1,P10,4,45.21,0.1,anulada
CAJ022-000221,2024-07-12,T2,P06,3,29.24,0.1,completada
CAJ022-000222,2024-07-12,T3,P03,9,17.19,0.1,completada
CAJ022-000223,2024-07-13,T1,P09,1,40.6,0,completada
CAJ022-000224,2024-07-14,T2,P03,9,16.31,0.1,anulada
CAJ022-000225,2024-07-15,T3,P08,7,37.59,0.2,completada
CAJ022-000226,2024-07-16,T1,P07,4,32.77,0.1,completada
CAJ022-000227,2024-07-17,T2,P08,2,36.44,0.05,completada
CAJ022-000228,2024-07-18,T3,P04,6,20.46,0.15,completada
CAJ022-000229,2024-07-19,T1,P05,9,25.26,0.15,completada
CAJ022-000230,2024-07-19,T2,P12,4,52.73,0,completada
CAJ022-000231,2024-07-20,T3,P09,7,40.77,0.1,completada
CAJ022-000232,2024-07-21,T1,P09,6,41.35,0.2,completada
CAJ022-000233,2024-07-22,T2,P08,7,37.48,0.15,completada
CAJ022-000234,2024-07-23,T3,P04,1,20.33,0,completada
CAJ022-000235,2024-07-24,T1,P04,2,20.52,0.05,completada
CAJ022-000236,2024-07-25,T2,P02,3,12.98,0,anulada
CAJ022-000237,2024-07-26,T3,P04,7,20.45,0.1,completada
CAJ022-000238,2024-07-26,T1,P02,8,13.32,0.15,completada
CAJ022-000239,2024-07-27,T2,P09,4,41.97,0,completada
CAJ022-000240,2024-07-28,T3,P11,8,49.4,0.2,completada
CAJ022-000241,2024-07-29,T1,P04,9,21.95,0.15,completada
CAJ022-000242,2024-07-30,T2,P01,6,9.7,0.1,completada
CAJ022-000243,2024-07-31,T3,P03,7,17.87,0.15,completada
CAJ022-000244,2024-08-01,T1,P02,9,12.53,0.15,anulada
CAJ022-000245,2024-08-02,T2,P02,9,13.82,0.2,completada
CAJ022-000246,2024-08-02,T3,P01,5,9.37,0.1,completada
CAJ022-000247,2024-08-03,T1,P06,1,28.54,0.05,completada
CAJ022-000248,2024-08-04,T2,P11,5,49.1,0.15,completada
CAJ022-000249,2024-08-05,T3,P09,3,40.2,0.1,completada
CAJ022-000250,2024-08-06,T1,P04,3,,0.1,completada
CAJ022-000251,2024-08-07,T2,P01,5,9.11,0.1,completada
CAJ022-000252,2024-08-08,T3,P10,7,45.58,0.15,completada
CAJ022-000253,2024-08-09,T1,P04,1,21.17,0.05,completada
CAJ022-000254,2024-08-09,T2,P04,6,20.38,0.1,completada
CAJ022-000255,2024-08-10,T3,P12,9,52.77,0.15,completada
CAJ022-000256,2024-08-11,T1,P10,8,45.01,0.1,completada
CAJ022-000257,2024-08-12,T2,P03,4,17.07,0.1,anulada
CAJ022-000258,2024-08-13,T3,P01,9,8.44,0.2,completada
CAJ022-000259,2024-08-14,T1,P02,6,13.65,0.15,completada
CAJ022-000260,2024-08-15,T2,P08,5,37.38,0.15,completada
CAJ022-000261,2024-08-16,T3,P02,1,12.5,0.1,anulada
CAJ022-000262,2024-08-17,T1,P05,7,25.37,0.15,completada
CAJ022-000263,2024-08-17,T2,P10,8,45.79,0.15,completada
CAJ022-000264,2024-08-18,T3,P01,6,8.34,0.15,completada
CAJ022-000265,2024-08-19,T1,P02,7,13.01,0.15,completada
CAJ022-000266,2024-08-20,T2,P01,8,8.74,0.2,completada
CAJ022-000267,2024-08-21,T3,P04,6,20.15,0.2,completada
CAJ022-000268,2024-08-22,T1,P08,3,37.53,0.1,completada
CAJ022-000269,2024-08-23,T2,P01,2,8.41,0.1,completada
CAJ022-000270,2024-08-24,T3,P04,5,20.96,0.1,completada
CAJ022-000271,2024-08-24,T1,P05,9,24.59,0.15,anulada
CAJ022-000272,2024-08-25,T2,P02,7,13.88,0.15,anulada
CAJ022-000273,2024-08-26,T3,P10,2,45.21,0.05,completada
CAJ022-000274,2024-08-27,T1,P12,4,52.35,0.05,completada
CAJ022-000275,2024-08-28,T2,P09,7,41.52,0.1,completada
CAJ022-000276,2024-08-29,T3,P01,9,9.32,0.2,completada
CAJ022-000277,2024-08-30,T1,P07,3,33.86,0.05,completada
CAJ022-000278,2024-08-31,T2,P09,3,41.43,0.05,completada
CAJ022-000279,2024-08-31,T3,P01,6,8.43,0.1,completada
CAJ022-000280,2024-09-01,T1,P02,9,13.58,0.1,completada
CAJ022-000281,2024-09-02,T2,P12,9,52.66,0.1,completada
CAJ022-000282,2024-09-03,T3,P12,1,52.54,0.05,completada
CAJ022-000283,2024-09-04,T1,P04,2,20.57,0.1,completada
CAJ022-000284,2024-09-05,T2,P09,3,40.23,0.1,completada
CAJ022-000285,2024-09-06,T3,P04,7,20.94,0.2,completada
CAJ022-000286,2024-09-07,T1,P11,1,48.78,0.1,anulada
CAJ022-000287,2024-09-07,T2,P04,5,20.23,0.1,completada
CAJ022-000288,2024-09-08,T3,P12,3,52.12,0.05,completada
CAJ022-000289,2024-09-09,T1,P01,8,9.46,0.15,completada
CAJ022-000290,2024-09-10,T2,P10,2,45.33,0.1,completada
CAJ022-000291,2024-09-11,T3,P07,7,33.96,0.2,completada
CAJ022-000292,2024-09-12, T1 ,P02,6,12.8,0.2,completada
CAJ022-000293,2024-09-13,T2,P09,7,40.89,0.15,completada
CAJ022-000294,2024-09-14,T3,P03,8,17.32,0.2,completada
CAJ022-000295,2024-09-14,T1,P02,5,12.1,0.2,completada
CAJ022-000296,2024-09-15,T2,P12,9,53.42,0.15,completada
CAJ022-000297,2024-09-16,T3,P10,2,44.86,0.1,completada
CAJ022-000298,2024-09-17,T1,P04,5,20.1,0.15,completada
CAJ022-000299,2024-09-18,T2,P05,7,26.0,0.15,completada
CAJ022-000300,2024-09-19,T3,P05,4,24.37,0,anulada
CAJ022-000301,2024-09-20,T1,P07,7,32.61,0.1,completada
CAJ022-000302,2024-09-21,T2,P08,7,36.58,0.15,completada
CAJ022-000303,2024-09-21,T3,P03,6,17.5,0.15,completada
CAJ022-000304,2024-09-22,T1,P08,6,37.99,0.15,completada
CAJ022-000305,2024-09-23,T2,P12,8,52.75,0.2,completada
CAJ022-000306,2024-09-24,T3,P08,7,37.17,0.15,anulada
CAJ022-000307,2024-09-25,T1,P07,1,32.39,0.1,anulada
CAJ022-000308,2024-09-26,T2,P10,4,46.0,0,completada
CAJ022-000309,2024-09-27,T3,P02,2,13.45,0,completada
CAJ022-000310,2024-09-28,T1,P03,4,17.01,0.05,completada
CAJ022-000311,2024-09-28,T2,P09,9,41.24,0.1,completada
CAJ022-000312,2024-09-29,T3,P01,3,9.84,0,completada
CAJ022-000313,2024-09-30,T1,P09,9,41.54,0.15,completada
CAJ022-000314,2024-10-01,T2,P07,7,33.26,0.2,completada
CAJ022-000315,2024-10-02,T3,P04,5,20.67,0.2,completada
CAJ022-000316,2024-10-03,T1,P08,7,36.55,0.15,completada
CAJ022-000317,2024-10-04,T2,P06,5,29.39,0.15,completada
CAJ022-000318,2024-10-05,T3,P05,8,24.87,0.1,anulada
CAJ022-000319,2024-10-06,T1,P10,9,44.6,0.2,completada
CAJ022-000320,2024-10-06,T2,P11,9,48.6,0.15,completada
CAJ022-000321,2024-10-07,T3,P11,1,48.71,0.1,completada
CAJ022-000322,2024-10-08,T1,P07,1,32.21,0.1,completada
CAJ022-000323,2024-10-09,T2,P04,3,21.49,0,anulada
CAJ022-000324,2024-10-10,T3,P10,4,44.42,0,completada
CAJ022-000325,2024-10-11,T1,P05,5,24.53,0.15,completada
CAJ022-000326,2024-10-12,T2,P11,5,49.49,0.2,completada
CAJ022-000327,2024-10-13,T3,P09,6,40.34,0.15,completada
CAJ022-000328,2024-10-13,T1,P12,4,53.17,0.05,completada
CAJ022-000329,2024-10-14,T2,P02,8,12.85,0.2,completada
CAJ022-000330,2024-10-15,T3,P09,7,40.17,0.2,completada
CAJ022-000331,2024-10-16,T1,P02,7,12.88,0.1,completada
CAJ022-000332,2024-10-17,T2,P07,3,32.25,0.1,completada
CAJ022-000333,2024-10-18,T3,P07,4,,0.05,completada
CAJ022-000334,2024-10-19,T1,P09,4,40.68,0.05,anulada
CAJ022-000335,2024-10-20,T2,P04,6,20.8,0.2,completada
CAJ022-000336,2024-10-20,T3,P08,6,37.38,0.1,completada
CAJ022-000337,2024-10-21,T1,P06,4,28.98,0.1,completada
CAJ022-000338,2024-10-22,T2,P08,3,37.99,0.1,completada
CAJ022-000339,2024-10-23,T3,P05,3,25.93,0,completada
CAJ022-000340,2024-10-24,T1,P07,6,33.13,0.2,completada
CAJ022-000341,2024-10-25,T2,P08,4,36.54,0.05,completada
CAJ022-000342,2024-10-26,T3,P09,7,41.59,0.1,anulada
CAJ022-000343,2024-10-27,T1,P05,3,24.67,0.05,completada
CAJ022-000344,2024-10-27,T2,P10,1,44.85,0.05,completada
CAJ022-000345,2024-10-28,T3,P05,1,25.61,0,completada
CAJ022-000346,2024-10-29,T1,P11,9,48.09,0.1,completada
CAJ022-000347,2024-10-30,T2,P11,1,49.84,0.1,completada
CAJ022-000348,2024-10-31,T3,P01,2,8.2,0.05,completada
CAJ022-000349,2024-11-01,T1,P08,2,37.55,0.1,completada
CAJ022-000350,2024-11-02,T2,P12,6,53.33,0.15,completada
CAJ022-000351,2024-11-03,T3,P03,1,16.26,0,completada
CAJ022-000352,2024-11-03,T1,P05,6,24.11,0.15,completada
CAJ022-000353,2024-11-04,T2,P01,2,8.94,0,completada
CAJ022-000354,2024-11-05,T3,P09,2,41.52,0.1,completada
CAJ022-000355,2024-11-06,T1,P05,2,25.4,0.05,anulada
CAJ022-000356,2024-11-07,T2,P02,9,13.15,0.1,completada
CAJ022-000357,2024-11-08,T3,P04,2,20.3,0.05,completada
CAJ022-000358,2024-11-09,T1,P06,5,28.76,0.2,completada
CAJ022-000359,2024-11-10,T2,P08,5,37.86,0.15,completada
CAJ022-000360,2024-11-10,T3,P11,2,49.87,0.1,completada
CAJ022-000361,2024-11-11,T1,P04,5,21.47,0.1,completada
CAJ022-000362,2024-11-12,T2,P01,8,8.28,0.1,completada
CAJ022-000363,2024-11-13,T3,P01,6,9.95,0.15,completada
CAJ022-000364,2024-11-14,T1,P12,1,53.36,0,completada
CAJ022-000365,2024-11-15,T2,P06,9,29.27,0.1,completada
CAJ022-000366,2024-11-16,T3,P07,5,32.74,0.2,completada
CAJ022-000367,2024-11-17,T1,P09,6,41.34,0.15,completada
CAJ022-000368,2024-11-18,T2,P09,3,41.79,0.05,completada
CAJ022-000369,2024-11-18,T3,P03,4,16.36,0.1,completada
CAJ022-000370,2024-11-19,T1,P06,3,29.27,0,completada
CAJ022-000371,2024-11-20,T2,P12,5,52.13,0.15,completada
CAJ022-000372,2024-11-21,T3,P07,7,32.92,0.15,completada
CAJ022-000373,2024-11-22,T1,P10,3,44.58,0,completada
CAJ022-000374,2024-11-23,T2,P06,9,28.22,0.1,completada
CAJ022-000375,2024-11-24,T3,P09,2,41.87,0.1,anulada
CAJ022-000376,2024-11-25,T1,P10,4,44.32,0,completada
CAJ022-000377,2024-11-25,T2,P02,4,12.45,0,completada
CAJ022-000378,2024-11-26,T3,P03,9,16.4,0.2,completada
CAJ022-000379,2024-11-27,T1,P06,2,29.81,0.05,completada
CAJ022-000380,2024-11-28,T2,P10,6,45.64,0.1,completada
CAJ022-000381,2024-11-29,T3,P01,7,9.25,0.15,completada
CAJ022-000382,2024-11-30,T1,P01,1,8.75,0,completada
CAJ022-000383,2024-12-01,T2,P10,7,44.53,0.2,completada
CAJ022-000384,2024-12-02,T3,P01,4,8.17,0.05,completada
CAJ022-000385,2024-12-02,T1,P01,6,8.78,0.1,completada
CAJ022-000386,2024-12-03,T2,P07,6,33.46,0.15,completada
CAJ022-000387,2024-12-04,T3,P08,2,36.61,0.05,completada
CAJ022-000388,2024-12-05,T1,P02,3,12.22,0.05,completada
CAJ022-000389,2024-12-06, T2 ,P10,6,45.65,0.2,completada
CAJ022-000390,2024-12-07,T3,P09,2,40.31,0.05,completada
CAJ022-000391,2024-12-08,T1,P11,5,49.62,0.15,completada
CAJ022-000392,2024-12-09,T2,P03,7,17.78,0.15,completada
CAJ022-000393,2024-12-09,T3,P07,6,32.9,0.1,anulada
CAJ022-000394,2024-12-10,T1,P12,9,52.44,0.1,completada
CAJ022-000395,2024-12-11,T2,P07,7,33.08,0.2,completada
CAJ022-000396,2024-12-12,T3,P11,7,48.2,0.1,completada
CAJ022-000397,2024-12-13,T1,P05,6,25.96,0.2,completada
CAJ022-000398,2024-12-14,T2,P04,9,21.5,0.1,completada
CAJ022-000399,2024-12-15,T3,P10,2,45.12,0,completada
CAJ022-000400,2024-12-16,T1,P11,1,48.6,0.05,completada
