usuario,alta,pais
U0451,2025-07-01,CL
U0452,2025-07-01,CO
U0453,2025-07-01,PE
U0454,2025-07-01,CL
U0455,2025-07-02,CO
U0456,2025-07-02,PE
U0457,2025-07-02,CL
U0458,2025-07-02,CO
U0459,2025-07-02,PE
U0460,2025-07-13,CL
U0461,2025-07-13,CO
U0462,2025-07-13,PE
U0463,2025-07-13,CL
U0464,2025-07-14,CO
U0465,2025-07-14,PE
U0466,2025-07-14,CL
U0467,2025-07-14,CO
U0468,2025-07-14,PE
U0469,2025-07-15,CL
U0470,2025-07-25,CO
U0471,2025-07-25,PE
U0472,2025-07-25,CL
U0473,2025-07-26,CO
U0474,2025-07-26,PE
U0475,2025-07-26,CL
U0476,2025-07-26,CO
U0477,2025-07-26,PE
U0478,2025-07-27,CL
U0479,2025-07-27,CO
U0480,2025-08-06,PE
U0481,2025-08-06,CL
U0482,2025-08-07,CO
U0483,2025-08-07,PE
U0484,2025-08-07,CL
U0485,2025-08-07,CO
U0486,2025-08-07,PE
U0487,2025-08-08,CL
U0488,2025-08-08,CO
U0489,2025-08-08,PE
U0490,2025-08-18,CL
U0491,2025-08-18,CO
U0492,2025-08-19,PE
U0493,2025-08-19,CL
U0494,2025-08-19,CO
U0495,2025-08-19,PE
U0496,2025-08-20,CL
U0497,2025-08-20,CO
U0498,2025-08-20,PE
U0499,2025-08-20,CL
U0500,2025-08-30,CO
U0501,2025-08-31,PE
U0502,2025-08-31,CL
U0503,2025-08-31,CO
U0504,2025-08-31,PE
U0505,2025-09-01,CL
U0506,2025-09-01,CO
U0507,2025-09-01,PE
U0508,2025-09-01,CL
U0509,2025-09-01,CO
U0510,2025-09-12,PE
U0511,2025-09-12,CL
U0512,2025-09-12,CO
U0513,2025-09-12,PE
U0514,2025-09-13,CL
U0515,2025-09-13,CO
U0516,2025-09-13,PE
U0517,2025-09-13,CL
U0518,2025-09-13,CO
U0519,2025-09-14,PE
U0520,2025-09-24,CL
U0521,2025-09-24,CO
U0522,2025-09-24,PE
U0523,2025-09-24,CL
U0524,2025-09-25,CO
U0525,2025-09-25,PE
U0526,2025-09-25,CL
U0527,2025-09-25,CO
U0528,2025-09-26,PE
U0529,2025-09-26,CL
U0530,2025-10-06,CO
U0531,2025-10-06,PE
U0532,2025-10-06,CL
U0533,2025-10-07,CO
U0534,2025-10-07,PE
U0535,2025-10-07,CL
U0536,2025-10-07,CO
U0537,2025-10-08,PE
U0538,2025-10-08,CL
U0539,2025-10-08,CO
U0540,2025-10-18,PE
U0541,2025-10-18,CL
U0542,2025-10-19,CO
U0543,2025-10-19,PE
U0544,2025-10-19,CL
U0545,2025-10-19,CO
U0546,2025-10-19,PE
U0547,2025-10-20,CL
U0548,2025-10-20,CO
U0549,2025-10-20,PE
U0550,2025-10-30,CL
U0551,2025-10-31,CO
U0552,2025-10-31,PE
U0553,2025-10-31,CL
U0554,2025-10-31,CO
U0555,2025-10-31,PE
U0556,2025-11-01,CL
U0557,2025-11-01,CO
U0558,2025-11-01,PE
U0559,2025-11-01,CL
U0560,2025-11-12,CO
U0561,2025-11-12,PE
U0562,2025-11-12,CL
U0563,2025-11-12,CO
U0564,2025-11-12,PE
U0565,2025-11-13,CL
U0566,2025-11-13,CO
U0567,2025-11-13,PE
U0568,2025-11-13,CL
U0569,2025-11-14,CO
U0570,2025-11-24,PE
U0571,2025-11-24,CL
U0572,2025-11-24,CO
U0573,2025-11-24,PE
U0574,2025-11-25,CL
U0575,2025-11-25,CO
U0576,2025-11-25,PE
U0577,2025-11-25,CL
U0578,2025-11-25,CO
U0579,2025-11-26,PE
U0580,2025-12-06,CL
U0581,2025-12-06,CO
U0582,2025-12-06,PE
U0583,2025-12-07,CL
U0584,2025-12-07,CO
U0585,2025-12-07,PE
U0586,2025-12-07,CL
U0587,2025-12-07,CO
U0588,2025-12-08,PE
U0589,2025-12-08,CL
U0590,2025-12-18,CO
U0591,2025-12-18,PE
U0592,2025-12-19,CL
U0593,2025-12-19,CO
U0594,2025-12-19,PE
U0595,2025-12-19,CL
U0596,2025-12-19,CO
U0597,2025-12-20,PE
U0598,2025-12-20,CL
U0599,2025-12-20,CO
U0600,2025-12-30,PE
