registro_id,fecha,distrito,kg,reciclable_kg,habitantes,km,cobertura_pct
RES017-000105,2024-02-04,sur,498.1,129.6,3600,17.3,80
RES017-000106,2024-02-05,norte,426.8,63.6,2400,20.6,100
RES017-000107,2024-02-05,centro,742.4,166.3,6000,19.2,60
RES017-000108,2024-02-05,sur,778.3,170.0,3600,14.9,100
RES017-000109,2024-02-06,norte,348.7,54.3,2400,29.1,80
RES017-000110,2024-02-06,centro,1086.0,249.7,6000,24.6,100
RES017-000111,2024-02-06,sur,523.6,127.4,3600,15.0,80
RES017-000112,2024-02-07,norte,374.1,70.1,2400,24.8,80
RES017-000113,2024-02-07,centro,1012.6,194.3,6000,17.8,100
RES017-000114,2024-02-07,sur,668.6,136.0,3600,22.6,100
RES017-000115,2024-02-08,norte,488.3,93.4,2400,13.9,100
RES017-000116,2024-02-08,centro,888.1,201.3,6000,24.1,80
RES017-000117,2024-02-08,sur,696.7,162.8,3600,12.3,100
RES017-000118,2024-02-09,norte,236.5,38.6,2400,23.0,60
RES017-000119,2024-02-09,centro,830.1,159.0,6000,16.0,80
RES017-000120,2024-02-09,sur,431.1,98.8,3600,23.2,80
RES017-000121,2024-02-10,norte,484.0,64.7,2400,16.7,100
RES017-000122,2024-02-10,centro,1127.9,249.7,6000,15.6,100
RES017-000123,2024-02-10,sur,610.6,129.1,3600,15.4,100
RES017-000124,2024-02-11,norte,370.7,67.4,2400,16.2,100
RES017-000125,2024-02-11,centro,1074.3,239.0,6000,9.9,100
RES017-000126,2024-02-11,sur,654.2,131.5,3600,10.5,100
RES017-000121,2024-02-10,norte,484.0,64.7,2400,16.7,100
