registro_id,fecha,muestra,replica,instrumento,concentracion,limite,bajo_limite,unidad
LAB058-000099,2024-01-05,Q00017,3,A,,2,1,mg/L
LAB058-000100,2024-01-05,Q00017,1,B,3.327,3,0,mg/L
LAB058-000101,2024-01-05,Q00017,2,B,,3,1,mg/L
LAB058-000102,2024-01-05,Q00017,3,B,,3,1,mg/L
LAB058-000103,2024-01-05,Q00018,1,A,,2,1,mg/L
LAB058-000104,2024-01-05,Q00018,2,A,,2,1,mg/L
LAB058-000105,2024-01-05,Q00018,3,A,,2,1,mg/L
LAB058-000106,2024-01-05,Q00018,1,B,,3,1,mg/L
LAB058-000107,2024-01-05,Q00018,2,B,,3,1,mg/L
LAB058-000108,2024-01-05,Q00018,3,B,,3,1,mg/L
LAB058-000109,2024-01-05,Q00019,1,A,14.292,2,0,mg/L
LAB058-000110,2024-01-05,Q00019,2,A,14.693,2,0,mg/L
LAB058-000111,2024-01-05,Q00019,3,A,13.381,2,0,mg/L
LAB058-000112,2024-01-05,Q00019,1,B,13.141,3,0,mg/L
LAB058-000113,2024-01-05,Q00019,2,B,14.156,3,0,mg/L
LAB058-000114,2024-01-05,Q00019,3,B,13.593,3,0,mg/L
LAB058-000115,2024-01-05,Q00020,1,A,21.474,2,0,mg/L
LAB058-000116,2024-01-05,Q00020,2,A,19.85,2,0,mg/L
LAB058-000117,2024-01-05,Q00020,3,A,21.052,2,0,mg/L
LAB058-000118,2024-01-05,Q00020,1,B,22.043,3,0,mg/L
LAB058-000119,2024-01-05,Q00020,2,B,22.012,3,0,mg/L
LAB058-000120,2024-01-05,Q00020,3,B,20.899,3,0,mg/L
LAB058-000121,2024-01-06,Q00021,1,A,6.006,2,0,mg/L
LAB058-000122,2024-01-06,Q00021,2,A,6.883,2,0,mg/L
LAB058-000123,2024-01-06,Q00021,3,A,7.097,2,0,mg/L
LAB058-000124,2024-01-06,Q00021,1,B,6.936,3,0,mg/L
LAB058-000125,2024-01-06,Q00021,2,B,6.607,3,0,mg/L
LAB058-000126,2024-01-06,Q00021,3,B,8.084,3,0,mg/L
LAB058-000127,2024-01-06,Q00022,1,A,6.623,2,0,mg/L
LAB058-000128,2024-01-06,Q00022,2,A,6.538,2,0,mg/L
LAB058-000129,2024-01-06,Q00022,3,A,6.794,2,0,mg/L
LAB058-000130,2024-01-06,Q00022,1,B,7.565,3,0,mg/L
LAB058-000131,2024-01-06,Q00022,2,B,6.812,3,0,mg/L
LAB058-000132,2024-01-06,Q00022,3,B,7.014,3,0,mg/L
LAB058-000133,2024-01-06,Q00023,1,A,8.356,2,0,mg/L
LAB058-000134,2024-01-06,Q00023,2,A,8.159,2,0,mg/L
LAB058-000135,2024-01-06,Q00023,3,A,7.066,2,0,mg/L
LAB058-000136,2024-01-06,Q00023,1,B,8.382,3,0,mg/L
LAB058-000137,2024-01-06,Q00023,2,B,8.731,3,0,mg/L
LAB058-000138,2024-01-06,Q00023,3,B,8.501,3,0,mg/L
LAB058-000139,2024-01-06,Q00024,1,A,7.221,2,0,mg/L
LAB058-000140,2024-01-06,Q00024,2,A,6.747,2,0,mg/L
LAB058-000141,2024-01-06,Q00024,3,A,7.529,2,0,mg/L
LAB058-000142,2024-01-06,Q00024,1,B,9.258,3,0,mg/L
LAB058-000143,2024-01-06,Q00024,2,B,8.722,3,0,mg/L
LAB058-000144,2024-01-06,Q00024,3,B,7.267,3,0,mg/L
LAB058-000145,2024-01-07,Q00025,1,A,5.455,2,0,mg/L
LAB058-000146,2024-01-07,Q00025,2,A,5.328,2,0,mg/L
LAB058-000147,2024-01-07,Q00025,3,A,5.736,2,0,mg/L
LAB058-000148,2024-01-07,Q00025,1,B,5.931,3,0,mg/L
LAB058-000149,2024-01-07,Q00025,2,B,5.964,3,0,mg/L
LAB058-000150,2024-01-07,Q00025,3,B,6.566,3,0,mg/L
LAB058-000151,2024-01-07,Q00026,1,A,3.857,2,0,mg/L
LAB058-000152,2024-01-07,Q00026,2,A,4.183,2,0,mg/L
LAB058-000153,2024-01-07,Q00026,3,A,4.03,2,0,mg/L
LAB058-000154,2024-01-07,Q00026,1,B,4.748,3,0,mg/L
LAB058-000155,2024-01-07,Q00026,2,B,5.336,3,0,mg/L
LAB058-000156,2024-01-07,Q00026,3,B,5.133,3,0,mg/L
LAB058-000157,2024-01-07,Q00027,1,A,2.851,2,0,mg/L
LAB058-000158,2024-01-07,Q00027,2,A,2.808,2,0,mg/L
LAB058-000159,2024-01-07,Q00027,3,A,4.056,2,0,mg/L
LAB058-000160,2024-01-07,Q00027,1,B,3.695,3,0,mg/L
LAB058-000161,2024-01-07,Q00027,2,B,3.402,3,0,mg/L
LAB058-000162,2024-01-07,Q00027,3,B,3.258,3,0,mg/L
LAB058-000163,2024-01-07,Q00028,1,A,12.323,2,0,mg/L
LAB058-000164,2024-01-07,Q00028,2,A,13.514,2,0,mg/L
LAB058-000165,2024-01-07,Q00028,3,A,13.152,2,0,mg/L
LAB058-000166,2024-01-07,Q00028,1,B,14.506,3,0,mg/L
LAB058-000167,2024-01-07,Q00028,2,B,,3,0,mg/L
LAB058-000168,2024-01-07,Q00028,3,B,13.617,3,0,mg/L
LAB058-000169,2024-01-08,Q00029,1,A,4.595,2,0,mg/L
LAB058-000170,2024-01-08,Q00029,2,A,5.0,2,0,mg/L
LAB058-000171,2024-01-08,Q00029,3,A,3.91,2,0,mg/L
LAB058-000172,2024-01-08,Q00029,1,B,5.364,3,0,mg/L
LAB058-000173,2024-01-08,Q00029,2,B,4.344,3,0,mg/L
LAB058-000174,2024-01-08,Q00029,3,B,5.591,3,0,mg/L
LAB058-000175,2024-01-08,Q00030,1,A,2.567,2,0,mg/L
LAB058-000176,2024-01-08,Q00030,2,A,3.107,2,0,mg/L
LAB058-000177,2024-01-08,Q00030,3,A,3.266,2,0,mg/L
LAB058-000178,2024-01-08,Q00030,1,B,4.441,3,0,mg/L
LAB058-000179,2024-01-08,Q00030,2,B,4.209,3,0,mg/L
LAB058-000180,2024-01-08,Q00030,3,B,3.993,3,0,mg/L
LAB058-000181,2024-01-08,Q00031,1,A,2.146,2,0,mg/L
LAB058-000182,2024-01-08,Q00031,2,A,4.258,2,0,mg/L
LAB058-000183,2024-01-08,Q00031,3,A,3.535,2,0,mg/L
LAB058-000184,2024-01-08,Q00031,1,B,4.189,3,0,mg/L
LAB058-000185,2024-01-08,Q00031,2,B,,3,1,mg/L
LAB058-000186,2024-01-08,Q00031,3,B,4.798,3,0,mg/L
LAB058-000187,2024-01-08,Q00032,1,A,30.871,2,0,mg/L
LAB058-000188,2024-01-08,Q00032,2,A,31.516,2,0,mg/L
LAB058-000189,2024-01-08,Q00032,3,A,31.113,2,0,mg/L
LAB058-000190,2024-01-08,Q00032,1,B,32.575,3,0,mg/L
LAB058-000191,2024-01-08,Q00032,2,B,32.948,3,0,mg/L
LAB058-000192,2024-01-08,Q00032,3,B,32.016,3,0,mg/L
LAB058-000193,2024-01-09,Q00033,1,A,11.449,2,0,mg/L
LAB058-000194,2024-01-09,Q00033,2,A,12.489,2,0,mg/L
LAB058-000195,2024-01-09,Q00033,3,A,11.29,2,0, MG/L 
LAB058-000196,2024-01-09,Q00033,1,B,11.975,3,0,mg/L
LAB058-000197,2024-01-09,Q00033,2,B,12.116,3,0,mg/L
LAB058-000198,2024-01-09,Q00033,3,B,13.214,3,0,mg/L
LAB058-000199,2024-01-09,Q00034,1,A,2.816,2,0,mg/L
LAB058-000200,2024-01-09,Q00034,2,A,2.864,2,0,mg/L
LAB058-000201,2024-01-09,Q00034,3,A,2.842,2,0,mg/L
LAB058-000202,2024-01-09,Q00034,1,B,4.565,3,0,mg/L
LAB058-000203,2024-01-09,Q00034,2,B,4.848,3,0,mg/L
LAB058-000204,2024-01-09,Q00034,3,B,,3,1,mg/L
LAB058-000205,2024-01-09,Q00035,1,A,12.347,2,0,mg/L
LAB058-000206,2024-01-09,Q00035,2,A,12.201,2,0,mg/L
LAB058-000207,2024-01-09,Q00035,3,A,12.801,2,0,mg/L
LAB058-000208,2024-01-09,Q00035,1,B,12.541,3,0,mg/L
LAB058-000209,2024-01-09,Q00035,2,B,12.841,3,0,mg/L
LAB058-000210,2024-01-09,Q00035,3,B,14.198,3,0,mg/L
LAB058-000211,2024-01-09,Q00036,1,A,44.217,2,0,mg/L
LAB058-000212,2024-01-09,Q00036,2,A,"43,903",2,0,mg/L
LAB058-000213,2024-01-09,Q00036,3,A,44.619,2,0,mg/L
LAB058-000214,2024-01-09,Q00036,1,B,44.374,3,0,mg/L
LAB058-000215,2024-01-09,Q00036,2,B,43.814,3,0,mg/L
LAB058-000216,2024-01-09,Q00036,3,B,44.432,3,0,mg/L
LAB058-000217,2024-01-10,Q00037,1,A,8.785,2,0,mg/L
LAB058-000218,2024-01-10,Q00037,2,A,8.324,2,0,mg/L
LAB058-000219,2024-01-10,Q00037,3,A,8.357,2,0,mg/L
LAB058-000220,2024-01-10,Q00037,1,B,10.594,3,0,mg/L
LAB058-000221,2024-01-10,Q00037,2,B,9.224,3,0,mg/L
LAB058-000222,2024-01-10,Q00037,3,B,8.526,3,0,mg/L
LAB058-000223,2024-01-10,Q00038,1,A,3.479,2,0,mg/L
LAB058-000224,2024-01-10,Q00038,2,A,5.05,2,0,mg/L
LAB058-000225,2024-01-10,Q00038,3,A,3.948,2,0,mg/L
LAB058-000226,2024-01-10,Q00038,1,B,5.308,3,0,mg/L
LAB058-000227,2024-01-10,Q00038,2,B,5.263,3,0,mg/L
LAB058-000228,2024-01-10,Q00038,3,B,4.908,3,0,mg/L
LAB058-000229,2024-01-10,Q00039,1,A,10.451,2,0,mg/L
LAB058-000230,2024-01-10,Q00039,2,A,8.447,2,0,mg/L
LAB058-000231,2024-01-10,Q00039,3,A,9.652,2,0,mg/L
LAB058-000232,2024-01-10,Q00039,1,B,10.262,3,0,mg/L
LAB058-000233,2024-01-10,Q00039,2,B,9.268,3,0,mg/L
LAB058-000234,2024-01-10,Q00039,3,B,8.996,3,0,mg/L
LAB058-000235,2024-01-10,Q00040,1,A,23.606,2,0,mg/L
LAB058-000236,2024-01-10,Q00040,2,A,23.004,2,0,mg/L
LAB058-000237,2024-01-10,Q00040,3,A,23.145,2,0,mg/L
LAB058-000238,2024-01-10,Q00040,1,B,23.297,3,0,mg/L
LAB058-000239,2024-01-10,Q00040,2,B,24.288,3,0,mg/L
LAB058-000240,2024-01-10,Q00040,3,B,22.606,3,0,mg/L
LAB058-000241,2024-01-11,Q00041,1,A,3.359,2,0,mg/L
LAB058-000242,2024-01-11,Q00041,2,A,3.987,2,0,mg/L
LAB058-000243,2024-01-11,Q00041,3,A,4.227,2,0,mg/L
LAB058-000244,2024-01-11,Q00041,1,B,,3,1,mg/L
LAB058-000245,2024-01-11,Q00041,2,B,4.639,3,0,mg/L
LAB058-000246,2024-01-11,Q00041,3,B,5.092,3,0,mg/L
LAB058-000247,2024-01-11,Q00042,1,A,8.237,2,0,mg/L
LAB058-000248,2024-01-11,Q00042,2,A,8.735,2,0,mg/L
LAB058-000249,2024-01-11,Q00042,3,A,8.169,2,0,mg/L
LAB058-000250,2024-01-11,Q00042,1,B,,3,0,mg/L
LAB058-000251,2024-01-11,Q00042,2,B,10.231,3,0,mg/L
LAB058-000252,2024-01-11,Q00042,3,B,10.006,3,0,mg/L
LAB058-000253,2024-01-11,Q00043,1,A,,2,1,mg/L
LAB058-000254,2024-01-11,Q00043,2,A,,2,1,mg/L
LAB058-000255,2024-01-11,Q00043,3,A,,2,1,mg/L
LAB058-000256,2024-01-11,Q00043,1,B,,3,1,mg/L
LAB058-000257,2024-01-11,Q00043,2,B,,3,1,mg/L
LAB058-000258,2024-01-11,Q00043,3,B,,3,1,mg/L
LAB058-000259,2024-01-11,Q00044,1,A,2.242,2,0,mg/L
LAB058-000260,2024-01-11,Q00044,2,A,,2,1,mg/L
LAB058-000261,2024-01-11,Q00044,3,A,,2,1,mg/L
LAB058-000262,2024-01-11,Q00044,1,B,,3,1,mg/L
LAB058-000263,2024-01-11,Q00044,2,B,,3,1,mg/L
LAB058-000264,2024-01-11,Q00044,3,B,,3,1,mg/L
LAB058-000265,2024-01-12,Q00045,1,A,2.769,2,0,mg/L
LAB058-000266,2024-01-12,Q00045,2,A,4.476,2,0,mg/L
LAB058-000267,2024-01-12,Q00045,3,A,2.108,2,0,mg/L
LAB058-000268,2024-01-12,Q00045,1,B,4.376,3,0,mg/L
LAB058-000269,2024-01-12,Q00045,2,B,3.151,3,0,mg/L
LAB058-000270,2024-01-12,Q00045,3,B,3.646,3,0,mg/L
LAB058-000271,2024-01-12,Q00046,1,A,17.922,2,0,mg/L
LAB058-000272,2024-01-12,Q00046,2,A,18.036,2,0,mg/L
LAB058-000273,2024-01-12,Q00046,3,A,18.4,2,0,mg/L
LAB058-000274,2024-01-12,Q00046,1,B,18.133,3,0,mg/L
LAB058-000275,2024-01-12,Q00046,2,B,18.13,3,0,mg/L
LAB058-000276,2024-01-12,Q00046,3,B,18.88,3,0,mg/L
LAB058-000277,2024-01-12,Q00047,1,A,18.147,2,0,mg/L
LAB058-000278,2024-01-12,Q00047,2,A,16.962,2,0,mg/L
LAB058-000279,2024-01-12,Q00047,3,A,17.69,2,0,mg/L
LAB058-000280,2024-01-12,Q00047,1,B,18.637,3,0,mg/L
LAB058-000281,2024-01-12,Q00047,2,B,18.192,3,0,mg/L
LAB058-000282,2024-01-12,Q00047,3,B,18.141,3,0,mg/L
LAB058-000283,2024-01-12,Q00048,1,A,6.854,2,0,mg/L
LAB058-000284,2024-01-12,Q00048,2,A,7.114,2,0,mg/L
LAB058-000285,2024-01-12,Q00048,3,A,6.643,2,0,mg/L
LAB058-000286,2024-01-12,Q00048,1,B,7.676,3,0,mg/L
LAB058-000287,2024-01-12,Q00048,2,B,7.544,3,0,mg/L
LAB058-000288,2024-01-12,Q00048,3,B,8.175,3,0,mg/L
LAB058-000289,2024-01-13,Q00049,1,A,21.959,2,0,mg/L
LAB058-000290,2024-01-13,Q00049,2,A,21.684,2,0,mg/L
LAB058-000291,2024-01-13,Q00049,3,A,22.398,2,0,mg/L
LAB058-000292,2024-01-13,Q00049,1,B,22.637,3,0, MG/L 
LAB058-000293,2024-01-13,Q00049,2,B,23.082,3,0,mg/L
LAB058-000294,2024-01-13,Q00049,3,B,22.644,3,0,mg/L
LAB058-000295,2024-01-13,Q00050,1,A,14.82,2,0,mg/L
LAB058-000296,2024-01-13,Q00050,2,A,13.027,2,0,mg/L
LAB058-000297,2024-01-13,Q00050,3,A,13.85,2,0,mg/L
LAB058-000298,2024-01-13,Q00050,1,B,14.974,3,0,mg/L
LAB058-000299,2024-01-13,Q00050,2,B,13.732,3,0,mg/L
LAB058-000300,2024-01-13,Q00050,3,B,14.692,3,0,mg/L
LAB058-000301,2024-01-13,Q00051,1,A,7.354,2,0,mg/L
LAB058-000302,2024-01-13,Q00051,2,A,7.283,2,0,mg/L
LAB058-000303,2024-01-13,Q00051,3,A,7.211,2,0,mg/L
LAB058-000304,2024-01-13,Q00051,1,B,8.444,3,0,mg/L
LAB058-000305,2024-01-13,Q00051,2,B,7.572,3,0,mg/L
LAB058-000306,2024-01-13,Q00051,3,B,7.255,3,0,mg/L
LAB058-000307,2024-01-13,Q00052,1,A,4.263,2,0,mg/L
LAB058-000308,2024-01-13,Q00052,2,A,4.151,2,0,mg/L
LAB058-000309,2024-01-13,Q00052,3,A,4.045,2,0,mg/L
LAB058-000310,2024-01-13,Q00052,1,B,3.803,3,0,mg/L
LAB058-000311,2024-01-13,Q00052,2,B,4.007,3,0,mg/L
LAB058-000312,2024-01-13,Q00052,3,B,3.877,3,0,mg/L
LAB058-000313,2024-01-14,Q00053,1,A,5.491,2,0,mg/L
LAB058-000314,2024-01-14,Q00053,2,A,4.632,2,0,mg/L
LAB058-000315,2024-01-14,Q00053,3,A,4.818,2,0,mg/L
LAB058-000316,2024-01-14,Q00053,1,B,5.901,3,0,mg/L
LAB058-000317,2024-01-14,Q00053,2,B,6.251,3,0,mg/L
LAB058-000318,2024-01-14,Q00053,3,B,5.887,3,0,mg/L
LAB058-000319,2024-01-14,Q00054,1,A,2.51,2,0,mg/L
LAB058-000320,2024-01-14,Q00054,2,A,3.714,2,0,mg/L
LAB058-000321,2024-01-14,Q00054,3,A,3.169,2,0,mg/L
LAB058-000322,2024-01-14,Q00054,1,B,3.583,3,0,mg/L
LAB058-000323,2024-01-14,Q00054,2,B,4.719,3,0,mg/L
LAB058-000324,2024-01-14,Q00054,3,B,4.48,3,0,mg/L
LAB058-000325,2024-01-14,Q00055,1,A,28.949,2,0,mg/L
LAB058-000326,2024-01-14,Q00055,2,A,30.61,2,0,mg/L
LAB058-000327,2024-01-14,Q00055,3,A,30.568,2,0,mg/L
LAB058-000328,2024-01-14,Q00055,1,B,30.597,3,0,mg/L
LAB058-000329,2024-01-14,Q00055,2,B,31.731,3,0,mg/L
LAB058-000330,2024-01-14,Q00055,3,B,30.558,3,0,mg/L
LAB058-000331,2024-01-14,Q00056,1,A,8.536,2,0,mg/L
LAB058-000332,2024-01-14,Q00056,2,A,9.564,2,0,mg/L
LAB058-000333,2024-01-14,Q00056,3,A,,2,0,mg/L
LAB058-000334,2024-01-14,Q00056,1,B,11.118,3,0,mg/L
LAB058-000335,2024-01-14,Q00056,2,B,10.819,3,0,mg/L
LAB058-000336,2024-01-14,Q00056,3,B,11.836,3,0,mg/L
LAB058-000337,2024-01-15,Q00057,1,A,3.697,2,0,mg/L
LAB058-000338,2024-01-15,Q00057,2,A,4.063,2,0,mg/L
LAB058-000339,2024-01-15,Q00057,3,A,3.245,2,0,mg/L
LAB058-000340,2024-01-15,Q00057,1,B,5.129,3,0,mg/L
LAB058-000341,2024-01-15,Q00057,2,B,3.826,3,0,mg/L
LAB058-000342,2024-01-15,Q00057,3,B,5.02,3,0,mg/L
LAB058-000343,2024-01-15,Q00058,1,A,9.318,2,0,mg/L
LAB058-000344,2024-01-15,Q00058,2,A,9.41,2,0,mg/L
LAB058-000345,2024-01-15,Q00058,3,A,8.21,2,0,mg/L
LAB058-000346,2024-01-15,Q00058,1,B,9.285,3,0,mg/L
LAB058-000347,2024-01-15,Q00058,2,B,9.839,3,0,mg/L
LAB058-000348,2024-01-15,Q00058,3,B,8.598,3,0,mg/L
LAB058-000349,2024-01-15,Q00059,1,A,5.221,2,0,mg/L
LAB058-000350,2024-01-15,Q00059,2,A,5.103,2,0,mg/L
LAB058-000351,2024-01-15,Q00059,3,A,5.01,2,0,mg/L
LAB058-000352,2024-01-15,Q00059,1,B,6.656,3,0,mg/L
LAB058-000353,2024-01-15,Q00059,2,B,6.726,3,0,mg/L
LAB058-000354,2024-01-15,Q00059,3,B,6.246,3,0,mg/L
LAB058-000355,2024-01-15,Q00060,1,A,6.189,2,0,mg/L
LAB058-000356,2024-01-15,Q00060,2,A,5.365,2,0,mg/L
LAB058-000357,2024-01-15,Q00060,3,A,4.279,2,0,mg/L
LAB058-000358,2024-01-15,Q00060,1,B,4.53,3,0,mg/L
LAB058-000359,2024-01-15,Q00060,2,B,5.909,3,0,mg/L
LAB058-000360,2024-01-15,Q00060,3,B,5.441,3,0,mg/L
LAB058-000361,2024-01-16,Q00061,1,A,18.49,2,0,mg/L
LAB058-000362,2024-01-16,Q00061,2,A,19.082,2,0,mg/L
LAB058-000363,2024-01-16,Q00061,3,A,17.498,2,0,mg/L
LAB058-000364,2024-01-16,Q00061,1,B,18.056,3,0,mg/L
LAB058-000365,2024-01-16,Q00061,2,B,17.397,3,0,mg/L
LAB058-000366,2024-01-16,Q00061,3,B,18.788,3,0,mg/L
LAB058-000367,2024-01-16,Q00062,1,A,,2,1,mg/L
LAB058-000368,2024-01-16,Q00062,2,A,,2,1,mg/L
LAB058-000369,2024-01-16,Q00062,3,A,,2,1,mg/L
LAB058-000370,2024-01-16,Q00062,1,B,,3,1,mg/L
LAB058-000371,2024-01-16,Q00062,2,B,,3,1,mg/L
LAB058-000372,2024-01-16,Q00062,3,B,,3,1,mg/L
LAB058-000373,2024-01-16,Q00063,1,A,6.687,2,0,mg/L
LAB058-000374,2024-01-16,Q00063,2,A,6.674,2,0,mg/L
LAB058-000375,2024-01-16,Q00063,3,A,6.869,2,0,mg/L
LAB058-000376,2024-01-16,Q00063,1,B,7.903,3,0,mg/L
LAB058-000377,2024-01-16,Q00063,2,B,8.468,3,0,mg/L
LAB058-000378,2024-01-16,Q00063,3,B,8.282,3,0,mg/L
LAB058-000379,2024-01-16,Q00064,1,A,2.937,2,0,mg/L
