pedido_id,producto,almacen,fecha_pedido,unidades_pedidas,demora_dias
OC0271,P07,A1,2025-06-24,48,7
OC0272,P08,A2,2025-06-26,60,8
OC0273,P09,A3,2025-06-28,24,9
OC0274,P10,A1,2025-06-30,36,10
OC0275,P11,A2,2025-07-02,48,11
OC0276,P12,A3,2025-07-04,60,12
OC0277,P01,A1,2025-07-06,24,13
OC0278,P02,A2,2025-07-08,36,14
OC0279,P03,A3,2025-07-10,48,15
OC0280,P04,A1,2025-07-12,60,16
OC0281,P05,A2,2025-07-14,24,3
OC0282,P06,A3,2025-07-16,36,4
OC0283,P07,A1,2025-07-18,48,5
OC0284,P08,A2,2025-07-20,60,6
OC0285,P09,A3,2025-07-22,24,7
OC0286,P10,A1,2025-07-24,36,8
OC0287,P11,A2,2025-07-26,48,9
OC0288,P12,A3,2025-07-28,60,10
OC0289,P01,A1,2025-07-30,24,11
OC0290,P02,A2,2025-08-01,36,12
OC0291,P03,A3,2025-08-03,48,13
OC0292,P04,A1,2025-08-05,60,14
OC0293,P05,A2,2025-08-07,24,15
OC0294,P06,A3,2025-08-09,36,16
OC0295,P07,A1,2025-08-11,48,3
OC0296,P08,A2,2025-08-13,60,4
OC0297,P09,A3,2025-08-15,24,5
OC0298,P10,A1,2025-08-17,36,6
OC0299,P11,A2,2025-08-19,48,7
OC0300,P12,A3,2025-08-21,60,8
