registro_id,grupo_asignado,fecha_asignacion
EXP060-000106,A,2024-02-24
EXP060-000107,A,2024-02-25
EXP060-000108,A,2024-02-25
EXP060-000109,A,2024-02-26
EXP060-000110,A,2024-02-26
EXP060-000111,A,2024-02-27
EXP060-000112,B,2024-02-27
EXP060-000113,A,2024-02-28
EXP060-000114,B,2024-02-29
EXP060-000115,A,2024-02-29
EXP060-000116,A,2024-03-01
EXP060-000117,A,2024-03-01
EXP060-000118,B,2024-03-02
EXP060-000119,A,2024-03-02
EXP060-000120,A,2024-03-03
EXP060-000121,A,2024-03-03
EXP060-000122,B,2024-03-04
EXP060-000123,A,2024-03-04
EXP060-000124,B,2024-03-05
EXP060-000125,B,2024-03-05
EXP060-000126,A,2024-03-06
EXP060-000127,B,2024-03-06
EXP060-000128,A,2024-03-07
EXP060-000129,B,2024-03-07
EXP060-000130,A,2024-03-08
EXP060-000131,B,2024-03-08
EXP060-000132,B,2024-03-09
EXP060-000133,B,2024-03-09
EXP060-000134,A,2024-03-10
EXP060-000135,B,2024-03-10
EXP060-000136,A,2024-03-11
EXP060-000137,A,2024-03-12
EXP060-000138,B,2024-03-12
EXP060-000139,A,2024-03-13
EXP060-000140,B,2024-03-13
EXP060-000141,A,2024-03-14
EXP060-000142,B,2024-03-14
EXP060-000143,B,2024-03-15
EXP060-000144,B,2024-03-15
EXP060-000145,B,2024-03-16
EXP060-000146,B,2024-03-16
EXP060-000147,A,2024-03-17
EXP060-000148,A,2024-03-17
EXP060-000149,A,2024-03-18
EXP060-000150,A,2024-03-18
EXP060-000151,A,2024-03-19
EXP060-000152,B,2024-03-19
EXP060-000153,B,2024-03-20
EXP060-000154,A,2024-03-20
EXP060-000155,B,2024-03-21
EXP060-000156,A,2024-03-21
EXP060-000157,A,2024-03-22
EXP060-000158,A,2024-03-22
EXP060-000159,B,2024-03-23
EXP060-000160,B,2024-03-24
EXP060-000161,B,2024-03-24
EXP060-000162,B,2024-03-25
EXP060-000163,A,2024-03-25
EXP060-000164,A,2024-03-26
EXP060-000165,B,2024-03-26
EXP060-000166,A,2024-03-27
EXP060-000167,B,2024-03-27
EXP060-000168,A,2024-03-28
EXP060-000169,A,2024-03-28
EXP060-000170,B,2024-03-29
EXP060-000171,B,2024-03-29
EXP060-000172,A,2024-03-30
EXP060-000173,B,2024-03-30
EXP060-000174,B,2024-03-31
EXP060-000175,B,2024-03-31
EXP060-000176,A,2024-04-01
EXP060-000177,A,2024-04-01
EXP060-000178,B,2024-04-02
EXP060-000179,B,2024-04-02
EXP060-000180,A,2024-04-03
EXP060-000181,B,2024-04-03
EXP060-000182,B,2024-04-04
EXP060-000183,A,2024-04-05
EXP060-000184,B,2024-04-05
EXP060-000185,A,2024-04-06
EXP060-000186,B,2024-04-06
EXP060-000187,A,2024-04-07
EXP060-000188,A,2024-04-07
EXP060-000189,A,2024-04-08
EXP060-000190,B,2024-04-08
EXP060-000191,B,2024-04-09
EXP060-000192,B,2024-04-09
EXP060-000193,A,2024-04-10
EXP060-000194,A,2024-04-10
EXP060-000195,B,2024-04-11
EXP060-000196,B,2024-04-11
EXP060-000197,B,2024-04-12
EXP060-000198,B,2024-04-12
EXP060-000199,B,2024-04-13
EXP060-000200,B,2024-04-13
EXP060-000201,A,2024-04-14
EXP060-000202,A,2024-04-14
EXP060-000203,B,2024-04-15
EXP060-000204,A,2024-04-15
EXP060-000205,B,2024-04-16
EXP060-000206,B,2024-04-17
EXP060-000207,B,2024-04-17
EXP060-000208,A,2024-04-18
EXP060-000209,B,2024-04-18
EXP060-000210,A,2024-04-19
EXP060-000211,A,2024-04-19
EXP060-000212,B,2024-04-20
EXP060-000213,A,2024-04-20
EXP060-000214,B,2024-04-21
EXP060-000215,B,2024-04-21
EXP060-000216,A,2024-04-22
EXP060-000217,B,2024-04-22
EXP060-000218,B,2024-04-23
EXP060-000219,A,2024-04-23
EXP060-000220,B,2024-04-24
EXP060-000221,B,2024-04-24
EXP060-000222,A,2024-04-25
EXP060-000223,B,2024-04-25
EXP060-000224,A,2024-04-26
EXP060-000225,A,2024-04-26
EXP060-000226,A,2024-04-27
EXP060-000227,B,2024-04-28
EXP060-000228,B,2024-04-28
EXP060-000229,B,2024-04-29
EXP060-000230,B,2024-04-29
EXP060-000231,A,2024-04-30
EXP060-000232,A,2024-04-30
EXP060-000233,B,2024-05-01
EXP060-000234,B,2024-05-01
EXP060-000235,B,2024-05-02
EXP060-000236,B,2024-05-02
EXP060-000237,B,2024-05-03
EXP060-000238,B,2024-05-03
EXP060-000239,B,2024-05-04
EXP060-000240,B,2024-05-04
EXP060-000241,A,2024-05-05
EXP060-000242,A,2024-05-05
EXP060-000243,B,2024-05-06
EXP060-000244,B,2024-05-06
EXP060-000245,A,2024-05-07
EXP060-000246,B,2024-05-07
EXP060-000247,A,2024-05-08
EXP060-000248,B,2024-05-08
EXP060-000249,B,2024-05-09
EXP060-000250,A,2024-05-10
EXP060-000251,A,2024-05-10
EXP060-000252,A,2024-05-11
EXP060-000253,B,2024-05-11
EXP060-000254,A,2024-05-12
EXP060-000255,B,2024-05-12
EXP060-000256,B,2024-05-13
EXP060-000257,A,2024-05-13
EXP060-000258,B,2024-05-14
EXP060-000259,A,2024-05-14
EXP060-000260,B,2024-05-15
EXP060-000261,B,2024-05-15
EXP060-000262,B,2024-05-16
EXP060-000263,A,2024-05-16
EXP060-000264,B,2024-05-17
EXP060-000265,A,2024-05-17
EXP060-000266,B,2024-05-18
EXP060-000267,B,2024-05-18
EXP060-000268,A,2024-05-19
EXP060-000269,A,2024-05-19
EXP060-000270,A,2024-05-20
EXP060-000271,B,2024-05-20
EXP060-000272,B,2024-05-21
EXP060-000273,B,2024-05-22
EXP060-000274,A,2024-05-22
EXP060-000275,B,2024-05-23
EXP060-000276,B,2024-05-23
EXP060-000277,A,2024-05-24
EXP060-000278,B,2024-05-24
EXP060-000279,A,2024-05-25
EXP060-000280,B,2024-05-25
EXP060-000281,A,2024-05-26
EXP060-000282,B,2024-05-26
EXP060-000283,A,2024-05-27
EXP060-000284,A,2024-05-27
EXP060-000285,B,2024-05-28
EXP060-000286,A,2024-05-28
EXP060-000287,A,2024-05-29
EXP060-000288,A,2024-05-29
EXP060-000289,A,2024-05-30
EXP060-000290,A,2024-05-30
EXP060-000291,B,2024-05-31
EXP060-000292,B,2024-05-31
EXP060-000293,B,2024-06-01
EXP060-000294,A,2024-06-01
EXP060-000295,B,2024-06-02
EXP060-000296,A,2024-06-03
EXP060-000297,A,2024-06-03
EXP060-000298,A,2024-06-04
EXP060-000299,A,2024-06-04
EXP060-000300,B,2024-06-05
EXP060-000301,B,2024-06-05
EXP060-000302,A,2024-06-06
EXP060-000303,B,2024-06-06
EXP060-000304,B,2024-06-07
EXP060-000305,B,2024-06-07
EXP060-000306,B,2024-06-08
EXP060-000307,B,2024-06-08
EXP060-000308,A,2024-06-09
EXP060-000309,A,2024-06-09
EXP060-000310,A,2024-06-10
EXP060-000311,A,2024-06-10
EXP060-000312,B,2024-06-11
EXP060-000313,B,2024-06-11
EXP060-000314,B,2024-06-12
EXP060-000315,B,2024-06-12
EXP060-000316,A,2024-06-13
EXP060-000317,A,2024-06-13
EXP060-000318,B,2024-06-14
EXP060-000319,A,2024-06-15
EXP060-000320,A,2024-06-15
EXP060-000321,B,2024-06-16
EXP060-000322,A,2024-06-16
EXP060-000323,B,2024-06-17
EXP060-000324,A,2024-06-17
EXP060-000325,B,2024-06-18
EXP060-000326,B,2024-06-18
EXP060-000327,A,2024-06-19
EXP060-000328,A,2024-06-19
EXP060-000329,A,2024-06-20
EXP060-000330,B,2024-06-20
EXP060-000331,A,2024-06-21
EXP060-000332,A,2024-06-21
EXP060-000333,A,2024-06-22
EXP060-000334,B,2024-06-22
EXP060-000335,A,2024-06-23
EXP060-000336,A,2024-06-23
EXP060-000337,A,2024-06-24
EXP060-000338,A,2024-06-24
EXP060-000339,B,2024-06-25
EXP060-000340,B,2024-06-26
EXP060-000341,A,2024-06-26
EXP060-000342,B,2024-06-27
EXP060-000343,B,2024-06-27
EXP060-000344,A,2024-06-28
EXP060-000345,A,2024-06-28
EXP060-000346,B,2024-06-29
EXP060-000347,B,2024-06-29
EXP060-000348,B,2024-06-30
EXP060-000349,B,2024-06-30
EXP060-000350,B,2024-07-01
EXP060-000351,B,2024-07-01
EXP060-000352,A,2024-07-02
EXP060-000353,B,2024-07-02
EXP060-000354,A,2024-07-03
EXP060-000355,B,2024-07-03
EXP060-000356,B,2024-07-04
EXP060-000357,B,2024-07-04
EXP060-000358,B,2024-07-05
EXP060-000359,B,2024-07-05
EXP060-000360,A,2024-07-06
EXP060-000361,A,2024-07-06
EXP060-000362,B,2024-07-07
EXP060-000363,A,2024-07-08
EXP060-000364,B,2024-07-08
EXP060-000365,B,2024-07-09
EXP060-000366,B,2024-07-09
EXP060-000367,A,2024-07-10
EXP060-000368,B,2024-07-10
EXP060-000369,B,2024-07-11
EXP060-000370,B,2024-07-11
EXP060-000371,A,2024-07-12
EXP060-000372,A,2024-07-12
EXP060-000373,B,2024-07-13
EXP060-000374,B,2024-07-13
EXP060-000375,B,2024-07-14
EXP060-000376,A,2024-07-14
EXP060-000377,B,2024-07-15
EXP060-000378,A,2024-07-15
EXP060-000379,A,2024-07-16
EXP060-000380,B,2024-07-16
EXP060-000381,A,2024-07-17
EXP060-000382,B,2024-07-17
EXP060-000383,B,2024-07-18
EXP060-000384,A,2024-07-18
EXP060-000385,B,2024-07-19
EXP060-000386,B,2024-07-20
EXP060-000387,A,2024-07-20
EXP060-000388,B,2024-07-21
EXP060-000389,A,2024-07-21
EXP060-000390,A,2024-02-30
EXP060-000391,A,2024-07-22
EXP060-000392,B,2024-07-23
EXP060-000393,A,2024-07-23
EXP060-000394,B,2024-07-24
EXP060-000395,B,2024-07-24
EXP060-000396,A,2024-07-25
EXP060-000397,A,2024-07-25
EXP060-000398,A,2024-07-26
EXP060-000399,A,2024-07-26
EXP060-000400,B,2024-07-27
EXP060-000401,B,2024-07-27
EXP060-000402,A,2024-07-28
EXP060-000403,B,2024-07-28
EXP060-000404,A,2024-07-29
EXP060-000405,A,2024-07-29
EXP060-000406,A,2024-07-30
EXP060-000407,B,2024-07-30
EXP060-000408,A,2024-07-31
EXP060-000409,B,2024-08-01
EXP060-000410,B,2024-08-01
EXP060-000411,B,2024-08-02
EXP060-000412,A,2024-08-02
EXP060-000413,A,2024-08-03
EXP060-000414,A,2024-08-03
EXP060-000415,B,2024-08-04
EXP060-000416,B,2024-08-04
EXP060-000417,B,2024-08-05
EXP060-000418,A,2024-08-05
EXP060-000419,A,2024-08-06
EXP060-000420,A,2024-08-06
EXP060-000421,A,2024-08-07
EXP060-000422,A,2024-08-07
EXP060-000423,B,2024-08-08
EXP060-000424,B,2024-08-08
EXP060-000425,B,2024-08-09
EXP060-000426,A,2024-08-09
EXP060-000427,A,2024-08-10
EXP060-000428,A,2024-08-10
EXP060-000429,B,2024-08-11
EXP060-000430,A,2024-08-11
EXP060-000431,A,2024-08-12
EXP060-000432,B,2024-08-13
EXP060-000433,A,2024-08-13
EXP060-000434,B,2024-08-14
EXP060-000435,A,2024-08-14
EXP060-000436,A,2024-08-15
EXP060-000437,A,2024-08-15
EXP060-000438,A,2024-08-16
EXP060-000439,A,2024-08-16
EXP060-000440,B,2024-08-17
EXP060-000441,A,2024-08-17
EXP060-000442,A,2024-08-18
EXP060-000443,B,2024-08-18
EXP060-000444,A,2024-08-19
EXP060-000445,B,2024-08-19
EXP060-000446,B,2024-08-20
EXP060-000447,B,2024-08-20
EXP060-000448,A,2024-08-21
EXP060-000449,A,2024-08-21
EXP060-000450,B,2024-08-22
EXP060-000451,A,2024-08-22
EXP060-000452,A,2024-08-23
EXP060-000453,A,2024-08-24
EXP060-000454,A,2024-08-24
EXP060-000455,B,2024-08-25
EXP060-000456,A,2024-08-25
EXP060-000457,A,2024-08-26
EXP060-000458,B,2024-08-26
EXP060-000459,A,2024-08-27
EXP060-000460,B,2024-08-27
EXP060-000461,A,2024-08-28
EXP060-000462,A,2024-08-28
EXP060-000463,A,2024-08-29
EXP060-000464,B,2024-08-29
EXP060-000465,B,2024-08-30
EXP060-000466,A,2024-08-30
EXP060-000467,A,2024-08-31
EXP060-000468,A,2024-08-31
EXP060-000469,A,2024-09-01
EXP060-000470,B,2024-09-01
EXP060-000471,A,2024-09-02
EXP060-000472,B,2024-09-02
EXP060-000473,B,2024-09-03
EXP060-000474,A,2024-09-03
EXP060-000475,A,2024-09-04
EXP060-000476,A,2024-09-05
EXP060-000477,B,2024-09-05
EXP060-000478,A,2024-09-06
EXP060-000479,A,2024-09-06
EXP060-000480,B,2024-09-07
EXP060-000481,B,2024-09-07
EXP060-000482,B,2024-09-08
EXP060-000483,A,2024-09-08
EXP060-000484,B,2024-09-09
EXP060-000485,B,2024-09-09
EXP060-000486,B,2024-09-10
EXP060-000487,A,2024-09-10
EXP060-000488,B,2024-09-11
EXP060-000489,B,2024-09-11
EXP060-000490,B,2024-09-12
EXP060-000491,A,2024-09-12
EXP060-000492,A,2024-09-13
EXP060-000493,B,2024-09-13
EXP060-000494,A,2024-09-14
EXP060-000495,A,2024-09-14
EXP060-000496,B,2024-09-15
EXP060-000497,A,2024-09-15
EXP060-000498,B,2024-09-16
EXP060-000499,A,2024-09-17
EXP060-000500,A,2024-09-17
EXP060-000501,A,2024-09-18
EXP060-000502,B,2024-09-18
EXP060-000503,A,2024-09-19
EXP060-000504,A,2024-09-19
EXP060-000505,B,2024-09-20
EXP060-000506,A,2024-09-20
EXP060-000507,B,2024-09-21
EXP060-000508,B,2024-09-21
EXP060-000509,B,2024-09-22
EXP060-000510,A,2024-09-22
EXP060-000511,B,2024-09-23
EXP060-000512,B,2024-09-23
EXP060-000513,A,2024-09-24
EXP060-000514,A,2024-09-24
EXP060-000515,A,2024-09-25
EXP060-000516,B,2024-09-25
EXP060-000517,B,2024-09-26
EXP060-000518,A,2024-09-26
EXP060-000519,B,2024-09-27
EXP060-000520,B,2024-09-27
EXP060-000521,A,2024-09-28
EXP060-000522,A,2024-09-29
EXP060-000523,B,2024-09-29
EXP060-000524,A,2024-09-30
EXP060-000525,A,2024-09-30
EXP060-000526,A,2024-10-01
EXP060-000527,B,2024-10-01
EXP060-000528,B,2024-10-02
EXP060-000529,A,2024-10-02
EXP060-000530,B,2024-10-03
EXP060-000531,B,2024-10-03
EXP060-000532,A,2024-10-04
EXP060-000533,A,2024-10-04
EXP060-000534,B,2024-10-05
EXP060-000535,A,2024-10-05
EXP060-000536,A,2024-10-06
EXP060-000537,B,2024-10-06
EXP060-000538,A,2024-10-07
EXP060-000539,A,2024-10-07
EXP060-000540,B,2024-10-08
EXP060-000541,A,2024-10-08
EXP060-000542,B,2024-10-09
EXP060-000543,A,2024-10-10
EXP060-000544,A,2024-10-10
EXP060-000545,A,2024-10-11
EXP060-000546,A,2024-10-11
EXP060-000547,A,2024-10-12
EXP060-000548,B,2024-10-12
EXP060-000549,A,2024-10-13
EXP060-000550,B,2024-10-13
EXP060-000551,B,2024-10-14
EXP060-000552,A,2024-10-14
EXP060-000553,B,2024-10-15
EXP060-000554,B,2024-10-15
EXP060-000555,A,2024-10-16
EXP060-000556,B,2024-10-16
EXP060-000557,A,2024-10-17
EXP060-000558,A,2024-10-17
EXP060-000559,A,2024-10-18
EXP060-000560,A,2024-10-18
EXP060-000561,B,2024-10-19
EXP060-000562,B,2024-10-19
EXP060-000563,B,2024-10-20
EXP060-000564,A,2024-10-20
EXP060-000565,B,2024-10-21
EXP060-000566,A,2024-10-22
EXP060-000567,B,2024-10-22
EXP060-000568,A,2024-10-23
EXP060-000569,A,2024-10-23
EXP060-000570,A,2024-10-24
EXP060-000571,B,2024-10-24
EXP060-000572,B,2024-10-25
EXP060-000573,B,2024-10-25
EXP060-000574,B,2024-10-26
EXP060-000575,B,2024-10-26
EXP060-000576,B,2024-10-27
EXP060-000577,A,2024-10-27
EXP060-000578,A,2024-10-28
EXP060-000579,A,2024-10-28
EXP060-000580,B,2024-10-29
EXP060-000581,B,2024-10-29
EXP060-000582,B,2024-10-30
EXP060-000583,A,2024-10-30
EXP060-000584,B,2024-10-31
EXP060-000585,B,2024-10-31
EXP060-000586,B,2024-11-01
EXP060-000587,B,2024-11-01
EXP060-000588,B,2024-11-02
EXP060-000589,A,2024-11-03
EXP060-000590,B,2024-11-03
EXP060-000591,B,2024-11-04
EXP060-000592,A,2024-11-04
EXP060-000593,B,2024-11-05
EXP060-000594,B,2024-11-05
EXP060-000595,B,2024-11-06
EXP060-000596,B,2024-11-06
EXP060-000597,A,2024-11-07
EXP060-000598,A,2024-11-07
EXP060-000599,A,2024-11-08
EXP060-000600,A,2024-11-08
EXP060-000601,A,2024-11-09
EXP060-000602,B,2024-11-09
EXP060-000603,B,2024-11-10
EXP060-000604,B,2024-11-10
EXP060-000605,B,2024-11-11
EXP060-000606,B,2024-11-11
EXP060-000607,B,2024-11-12
EXP060-000608,B,2024-11-12
EXP060-000609,A,2024-11-13
EXP060-000610,A,2024-11-13
EXP060-000611,B,2024-11-14
EXP060-000612,A,2024-11-15
EXP060-000613,B,2024-11-15
EXP060-000614,A,2024-11-16
EXP060-000615,B,2024-11-16
EXP060-000616,B,2024-11-17
EXP060-000617,B,2024-11-17
EXP060-000618,A,2024-11-18
EXP060-000619,A,2024-11-18
EXP060-000620,B,2024-11-19
EXP060-000621,B,2024-11-19
EXP060-000622,A,2024-11-20
EXP060-000623,B,2024-11-20
EXP060-000624,A,2024-11-21
EXP060-000625,B,2024-11-21
EXP060-000626,B,2024-11-22
EXP060-000627,B,2024-11-22
EXP060-000628,B,2024-11-23
EXP060-000629,A,2024-11-23
EXP060-000630,A,2024-11-24
EXP060-000631,A,2024-11-24
EXP060-000632,B,2024-11-25
EXP060-000633,B,2024-11-25
EXP060-000634,A,2024-11-26
EXP060-000635,B,2024-11-27
EXP060-000636,A,2024-11-27
EXP060-000637,A,2024-11-28
EXP060-000638,B,2024-11-28
EXP060-000639,B,2024-11-29
EXP060-000640,A,2024-11-29
EXP060-000641,A,2024-11-30
EXP060-000642,A,2024-11-30
EXP060-000643,B,2024-12-01
EXP060-000644,A,2024-12-01
EXP060-000645,A,2024-12-02
EXP060-000646,A,2024-12-02
EXP060-000647,B,2024-12-03
EXP060-000648,A,2024-12-03
EXP060-000649,B,2024-12-04
EXP060-000650,A,2024-12-04
EXP060-000651,B,2024-12-05
EXP060-000652,A,2024-12-05
EXP060-000653,A,2024-12-06
EXP060-000654,B,2024-12-06
EXP060-000655,B,2024-12-07
EXP060-000656,B,2024-12-08
EXP060-000657,A,2024-12-08
EXP060-000658,A,2024-12-09
EXP060-000659,B,2024-12-09
EXP060-000660,B,2024-12-10
EXP060-000661,B,2024-12-10
EXP060-000662,A,2024-12-11
EXP060-000663,A,2024-12-11
EXP060-000664,A,2024-12-12
EXP060-000665,A,2024-12-12
EXP060-000666,B,2024-12-13
EXP060-000667,B,2024-12-13
EXP060-000668,B,2024-12-14
EXP060-000669,B,2024-12-14
EXP060-000670,A,2024-12-15
EXP060-000671,A,2024-12-15
EXP060-000672,B,2024-12-16
EXP060-000673,B,2024-12-16
EXP060-000674,B,2024-12-17
EXP060-000675,B,2024-12-17
EXP060-000676,B,2024-12-18
EXP060-000677,A,2024-12-18
EXP060-000678,B,2024-12-19
EXP060-000679,B,2024-12-20
EXP060-000680,A,2024-12-20
EXP060-000681,A,2024-12-21
EXP060-000682,B,2024-12-21
EXP060-000683,A,2024-12-22
EXP060-000684,A,2024-12-22
EXP060-000685,A,2024-12-23
EXP060-000686,B,2024-12-23
EXP060-000687,A,2024-12-24
EXP060-000688,B,2024-12-24
EXP060-000689,A,2024-12-25
EXP060-000690,A,2024-12-25
EXP060-000691,B,2024-12-26
EXP060-000692,A,2024-12-26
EXP060-000693,B,2024-12-27
EXP060-000694,B,2024-12-27
EXP060-000695,B,2024-12-28
EXP060-000696,A,2024-12-28
EXP060-000697,B,2024-12-29
EXP060-000698,A,2024-12-29
EXP060-000699,B,2024-12-30
EXP060-000700,A,2024-12-30
EXP060-000701,B,2024-12-31
EXP060-000702,A,2025-01-01
EXP060-000703,A,2025-01-01
EXP060-000704,A,2025-01-02
EXP060-000705,A,2025-01-02
EXP060-000706,A,2025-01-03
EXP060-000707,B,2025-01-03
EXP060-000708,B,2025-01-04
EXP060-000709,B,2025-01-04
EXP060-000710,B,2025-01-05
EXP060-000711,A,2025-01-05
EXP060-000712,B,2025-01-06
EXP060-000713,B,2025-01-06
EXP060-000714,B,2025-01-07
EXP060-000715,B,2025-01-07
EXP060-000716,A,2025-01-08
EXP060-000717,B,2025-01-08
EXP060-000718,B,2025-01-09
EXP060-000719,A,2025-01-09
EXP060-000720,B,2025-01-10
EXP060-000721,A,2025-01-10
EXP060-000722,B,2025-01-11
EXP060-000723,B,2025-01-11
EXP060-000724,A,2025-01-12
EXP060-000725,B,2025-01-13
EXP060-000726,B,2025-01-13
EXP060-000727,A,2025-01-14
EXP060-000728,A,2025-01-14
EXP060-000729,B,2025-01-15
EXP060-000730,B,2025-01-15
EXP060-000731,B,2025-01-16
EXP060-000732,A,2025-01-16
EXP060-000733,B,2025-01-17
EXP060-000734,B,2025-01-17
EXP060-000735,A,2025-01-18
EXP060-000736,A,2025-01-18
EXP060-000737,B,2025-01-19
EXP060-000738,B,2025-01-19
EXP060-000739,A,2025-01-20
EXP060-000740,B,2025-01-20
EXP060-000741,A,2025-01-21
EXP060-000742,A,2025-01-21
EXP060-000743,B,2025-01-22
EXP060-000744,B,2025-01-22
EXP060-000745,A,2025-01-23
EXP060-000746,A,2025-01-23
EXP060-000747,A,2025-01-24
EXP060-000748,A,2025-01-25
EXP060-000749,A,2025-01-25
EXP060-000750,B,2025-01-26
EXP060-000751,B,2025-01-26
EXP060-000752,A,2025-01-27
EXP060-000753,B,2025-01-27
EXP060-000754,B,2025-01-28
EXP060-000755,B,2025-01-28
EXP060-000756,B,2025-01-29
EXP060-000757,A,2025-01-29
EXP060-000758,A,2025-01-30
EXP060-000759,B,2025-01-30
EXP060-000760,A,2025-01-31
EXP060-000761,A,2025-01-31
EXP060-000762,B,2025-02-01
EXP060-000763,A,2025-02-01
EXP060-000764,B,2025-02-02
EXP060-000765,A,2025-02-02
EXP060-000766,B,2025-02-03
EXP060-000767,A,2025-02-03
EXP060-000768,A,2025-02-04
EXP060-000769,A,2025-02-05
EXP060-000770,A,2025-02-05
EXP060-000771,B,2025-02-06
EXP060-000772,A,2025-02-06
EXP060-000773,B,2025-02-07
EXP060-000774,B,2025-02-07
EXP060-000775,A,2025-02-08
EXP060-000776,B,2025-02-08
EXP060-000777,A,2025-02-09
EXP060-000778,A,2025-02-09
EXP060-000779,A,2024-02-30
EXP060-000780,A,2025-02-10
EXP060-000781,B,2025-02-11
EXP060-000782,A,2025-02-11
EXP060-000783,B,2025-02-12
EXP060-000784,A,2025-02-12
EXP060-000785,A,2025-02-13
EXP060-000786,B,2025-02-13
EXP060-000787,B,2025-02-14
EXP060-000788,B,2025-02-14
EXP060-000789,B,2025-02-15
EXP060-000790,B,2025-02-15
EXP060-000791,A,2025-02-16
EXP060-000792,B,2025-02-17
EXP060-000793,B,2025-02-17
EXP060-000794,A,2025-02-18
EXP060-000795,B,2025-02-18
EXP060-000796,A,2025-02-19
EXP060-000797,A,2025-02-19
EXP060-000798,A,2025-02-20
EXP060-000799,B,2025-02-20
EXP060-000800,A,2025-02-21
EXP060-000801,A,2025-02-21
EXP060-000802,B,2025-02-22
EXP060-000803,A,2025-02-22
EXP060-000804,A,2025-02-23
EXP060-000805,B,2025-02-23
EXP060-000806,A,2025-02-24
EXP060-000807,B,2025-02-24
EXP060-000808,A,2025-02-25
EXP060-000809,B,2025-02-25
EXP060-000810,A,2025-02-26
EXP060-000811,A,2025-02-26
EXP060-000812,A,2025-02-27
EXP060-000813,A,2025-02-27
EXP060-000814,B,2025-02-28
EXP060-000815,B,2025-03-01
EXP060-000816,B,2025-03-01
EXP060-000817,B,2025-03-02
EXP060-000818,A,2025-03-02
EXP060-000819,B,2025-03-03
EXP060-000820,B,2025-03-03
