evento_id,registro_id,fecha_evento,estado_evento
EV000067,SOP091-000033,2024-01-07,cerrado
EV000068,SOP091-000034,2024-01-06,abierto
EV000069,SOP091-000034,2024-01-07,cerrado
EV000070,SOP091-000035,2024-01-06,abierto
EV000071,SOP091-000035,2024-01-07,cerrado
EV000072,SOP091-000036,2024-01-06,abierto
EV000073,SOP091-000036,2024-01-07,cerrado
EV000074,SOP091-000037,2024-01-06,abierto
EV000075,SOP091-000037,2024-01-07,cerrado
EV000076,SOP091-000037,2024-01-08,abierto
EV000077,SOP091-000037,2024-01-10,cerrado
EV000078,SOP091-000038,2024-01-07,abierto
EV000079,SOP091-000038,2024-01-08,cerrado
EV000080,SOP091-000038,2024-01-09,abierto
EV000081,SOP091-000038,2024-01-11,cerrado
EV000082,SOP091-000039,2024-01-07,abierto
EV000083,SOP091-000039,2024-01-08,cerrado
EV000084,SOP091-000040,2024-01-07,abierto
EV000085,SOP091-000040,2024-01-08,cerrado
EV000086,SOP091-000041,2024-01-07,abierto
EV000087,SOP091-000041,2024-01-09,cerrado
EV000088,SOP091-000042,2024-01-07,abierto
EV000089,SOP091-000042,2024-01-08,cerrado
EV000090,SOP091-000043,2024-01-07,abierto
EV000091,SOP091-000043,2024-01-08,cerrado
EV000092,SOP091-000044,2024-01-07,abierto
EV000093,SOP091-000044,2024-01-09,cerrado
EV000094,SOP091-000045,2024-01-08,abierto
EV000095,SOP091-000045,2024-01-09,cerrado
EV000096,SOP091-000046,2024-01-08,abierto
EV000097,SOP091-000046,2024-01-09,cerrado
EV000098,SOP091-000047,2024-01-08,abierto
EV000099,SOP091-000047,2024-01-12,cerrado
EV000100,SOP091-000048,2024-01-08,abierto
EV000101,SOP091-000049,2024-01-08,abierto
EV000102,SOP091-000050,2024-01-08,abierto
EV000103,SOP091-000051,2024-01-09,abierto
EV000104,SOP091-000051,2024-01-10,cerrado
EV000105,SOP091-000052,2024-01-09,abierto
EV000106,SOP091-000052,2024-01-10,cerrado
EV000107,SOP091-000053,2024-01-09,abierto
EV000108,SOP091-000053,2024-01-10,cerrado
EV000109,SOP091-000054,2024-01-09,abierto
EV000110,SOP091-000054,2024-01-11,cerrado
EV000111,SOP091-000055,2024-01-09,abierto
EV000112,SOP091-000055,2024-01-10,cerrado
EV000113,SOP091-000056,2024-01-09,abierto
EV000114,SOP091-000057,2024-01-10,abierto
EV000115,SOP091-000057,2024-01-11,cerrado
EV000116,SOP091-000058,2024-01-10,abierto
EV000117,SOP091-000058,2024-01-11,cerrado
EV000118,SOP091-000059,2024-01-10,abierto
EV000119,SOP091-000060,2024-01-10,abierto
EV000120,SOP091-000060,2024-01-11,cerrado
EV000121,SOP091-000061,2024-01-10,abierto
EV000122,SOP091-000061,2024-01-11,cerrado
EV000123,SOP091-000062,2024-01-10,abierto
EV000124,SOP091-000062,2024-01-11,cerrado
EV000125,SOP091-000063,2024-01-11,abierto
EV000126,SOP091-000063,2024-01-12,cerrado
EV000127,SOP091-000064,2024-01-11,abierto
EV000128,SOP091-000064,2024-01-12,cerrado
EV000129,SOP091-000065,2024-01-11,abierto
EV000130,SOP091-000065,2024-01-12,cerrado
EV000131,SOP091-000066,2024-01-11,abierto
EV000132,SOP091-000066,2024-01-12,cerrado
EV000133,SOP091-000067,2024-01-11,abierto
EV000134,SOP091-000067,2024-01-12,cerrado
EV000135,SOP091-000068,2024-01-11,abierto
EV000136,SOP091-000068,2024-01-12,cerrado
EV000137,SOP091-000069,2024-01-12,abierto
EV000138,SOP091-000069,2024-01-15,cerrado
EV000139,SOP091-000070,2024-01-12,abierto
EV000140,SOP091-000070,2024-01-13,cerrado
EV000141,SOP091-000071,2024-01-12,abierto
EV000142,SOP091-000072,2024-01-12,abierto
EV000143,SOP091-000072,2024-01-13,cerrado
EV000144,SOP091-000073,2024-01-12,abierto
EV000145,SOP091-000073,2024-01-13,cerrado
EV000146,SOP091-000074,2024-01-12,abierto
EV000147,SOP091-000074,2024-01-13,cerrado
EV000148,SOP091-000074,2024-01-14,abierto
EV000149,SOP091-000074,2024-01-16,cerrado
EV000150,SOP091-000075,2024-01-13,abierto
EV000151,SOP091-000075,2024-01-14,cerrado
EV000152,SOP091-000076,2024-01-13,abierto
EV000153,SOP091-000076,2024-01-16,cerrado
EV000154,SOP091-000077,2024-01-13,abierto
EV000155,SOP091-000078,2024-01-13,abierto
EV000156,SOP091-000078,2024-01-14,cerrado
EV000157,SOP091-000079,2024-01-13,abierto
EV000158,SOP091-000079,2024-01-14,cerrado
EV000159,SOP091-000080,2024-01-13,abierto
EV000160,SOP091-000080,2024-01-14,cerrado
EV000161,SOP091-000080,2024-01-15,abierto
EV000162,SOP091-000080,2024-01-17,cerrado
EV000163,SOP091-000081,2024-01-13,abierto
EV000164,SOP091-000081,2024-01-14,cerrado
EV000165,SOP091-000082,2024-01-14,abierto
EV000166,SOP091-000082,2024-01-15,cerrado
EV000167,SOP091-000083,2024-01-14,abierto
EV000168,SOP091-000083,2024-01-15,cerrado
EV000169,SOP091-000084,2024-01-14,abierto
EV000170,SOP091-000084,2024-01-15,cerrado
EV000171,SOP091-000085,2024-01-14,abierto
EV000172,SOP091-000085,2024-01-15,cerrado
EV000173,SOP091-000086,2024-01-14,abierto
EV000174,SOP091-000086,2024-01-15,cerrado
EV000175,SOP091-000087,2024-01-14,abierto
EV000176,SOP091-000087,2024-01-15,cerrado
EV000177,SOP091-000088,2024-01-15,abierto
EV000178,SOP091-000088,2024-01-16,cerrado
EV000179,SOP091-000089,2024-01-15,abierto
EV000180,SOP091-000089,2024-01-16,cerrado
EV000181,SOP091-000090,2024-01-15,abierto
EV000182,SOP091-000090,2024-01-16,cerrado
EV000183,SOP091-000091,2024-01-15,abierto
EV000184,SOP091-000092,2024-01-15,abierto
EV000185,SOP091-000092,2024-01-16,cerrado
EV000186,SOP091-000093,2024-01-15,abierto
EV000187,SOP091-000094,2024-01-16,abierto
EV000188,SOP091-000094,2024-01-17,cerrado
EV000189,SOP091-000095,2024-01-16,abierto
EV000190,SOP091-000096,2024-01-16,abierto
EV000191,SOP091-000096,2024-01-17,cerrado
EV000192,SOP091-000097,2024-01-16,abierto
EV000193,SOP091-000097,2024-01-17,cerrado
EV000194,SOP091-000098,2024-01-16,abierto
EV000195,SOP091-000098,2024-01-17,cerrado
EV000196,SOP091-000099,2024-01-16,abierto
EV000197,SOP091-000099,2024-01-17,cerrado
EV000198,SOP091-000099,2024-01-18,abierto
EV000199,SOP091-000099,2024-01-20,cerrado
EV000200,SOP091-000100,2024-01-17,abierto
EV000201,SOP091-000100,2024-01-18,cerrado
EV000202,SOP091-000101,2024-01-17,abierto
EV000203,SOP091-000101,2024-01-19,cerrado
EV000204,SOP091-000102,2024-01-17,abierto
EV000205,SOP091-000102,2024-01-18,cerrado
EV000206,SOP091-000103,2024-01-17,abierto
EV000207,SOP091-000103,2024-01-18,cerrado
EV000208,SOP091-000104,2024-01-17,abierto
EV000209,SOP091-000104,2024-01-18,cerrado
EV000210,SOP091-000105,2024-01-17,abierto
EV000211,SOP091-000105,2024-01-18,cerrado
EV000212,SOP091-000105,2024-01-19,abierto
EV000213,SOP091-000105,2024-01-21,cerrado
EV000214,SOP091-000106,2024-01-18,abierto
EV000215,SOP091-000107,2024-01-18,abierto
EV000216,SOP091-000107,2024-01-19,cerrado
EV000217,SOP091-000108,2024-01-18,abierto
EV000218,SOP091-000108,2024-01-19,cerrado
EV000219,SOP091-000108,2024-01-20,abierto
EV000220,SOP091-000108,2024-01-22,cerrado
EV000221,SOP091-000109,2024-01-18,abierto
EV000222,SOP091-000109,2024-01-19,cerrado
EV000223,SOP091-000109,2024-01-20,abierto
EV000224,SOP091-000109,2024-01-23,cerrado
EV000225,SOP091-000110,2024-01-18,abierto
EV000226,SOP091-000110,2024-01-19,cerrado
EV000227,SOP091-000111,2024-01-18,abierto
EV000228,SOP091-000111,2024-01-19,cerrado
EV000229,SOP091-000112,2024-01-19,abierto
EV000230,SOP091-000112,2024-01-20,cerrado
EV000231,SOP091-000113,2024-01-19,abierto
EV000232,SOP091-000113,2024-01-20,cerrado
EV000233,SOP091-000114,2024-01-19,abierto
EV000234,SOP091-000115,2024-01-19,abierto
EV000235,SOP091-000115,2024-01-20,cerrado
EV000236,SOP091-000116,2024-01-19,abierto
EV000237,SOP091-000116,2024-01-20,cerrado
EV000238,SOP091-000117,2024-01-19,abierto
EV000239,SOP091-000118,2024-01-20,abierto
EV000240,SOP091-000118,2024-01-21,cerrado
EV000241,SOP091-000119,2024-01-20,abierto
EV000242,SOP091-000119,2024-01-21,cerrado
EV000243,SOP091-000120,2024-01-20,abierto
EV000244,SOP091-000120,2024-01-21,cerrado
EV000245,SOP091-000121,2024-01-20,abierto
EV000246,SOP091-000121,2024-01-21,cerrado
EV000247,SOP091-000122,2024-01-20,abierto
EV000248,SOP091-000122,2024-01-22,cerrado
EV000249,SOP091-000123,2024-01-20,abierto
EV000250,SOP091-000124,2024-01-20,abierto
EV000251,SOP091-000125,2024-01-21,abierto
EV000252,SOP091-000125,2024-01-22,cerrado
EV000253,SOP091-000126,2024-01-21,abierto
EV000254,SOP091-000126,2024-01-22,cerrado
EV000255,SOP091-000126,2024-01-23,abierto
EV000256,SOP091-000126,2024-01-25,cerrado
EV000257,SOP091-000127,2024-01-21,abierto
EV000258,SOP091-000127,2024-01-22,cerrado
EV000259,SOP091-000128,2024-01-21,abierto
EV000260,SOP091-000128,2024-01-22,cerrado
EV000261,SOP091-000128,2024-01-23,abierto
EV000262,SOP091-000128,2024-01-25,cerrado
EV000263,SOP091-000129,2024-01-21,abierto
EV000264,SOP091-000129,2024-01-22,cerrado
EV000265,SOP091-000129,2024-01-23,abierto
EV000266,SOP091-000129,2024-01-26,cerrado
EV000267,SOP091-000130,2024-01-21,abierto
EV000268,SOP091-000130,2024-01-22,cerrado
EV000269,SOP091-000131,2024-01-22,abierto
EV000270,SOP091-000131,2024-01-23,cerrado
EV000271,SOP091-000132,2024-01-22,abierto
EV000272,SOP091-000132,2024-01-24,cerrado
EV000273,SOP091-000133,2024-01-22,abierto
EV000274,SOP091-000133,2024-01-23,cerrado
EV000275,SOP091-000134,2024-01-22,abierto
EV000276,SOP091-000134,2024-01-23,cerrado
EV000277,SOP091-000135,2024-01-22,abierto
EV000278,SOP091-000136,2024-01-22,abierto
EV000279,SOP091-000137,2024-01-23,abierto
EV000280,SOP091-000137,2024-01-24,cerrado
EV000281,SOP091-000138,2024-01-23,abierto
EV000282,SOP091-000138,2024-01-24,cerrado
EV000283,SOP091-000139,2024-01-23,abierto
EV000284,SOP091-000139,2024-01-24,cerrado
EV000285,SOP091-000140,2024-01-23,abierto
EV000286,SOP091-000140,2024-01-24,cerrado
EV000287,SOP091-000141,2024-01-23,abierto
EV000288,SOP091-000142,2024-01-23,abierto
EV000289,SOP091-000142,2024-01-24,cerrado
EV000290,SOP091-000143,2024-01-24,abierto
EV000291,SOP091-000143,2024-01-25,cerrado
EV000292,SOP091-000144,2024-01-24,abierto
EV000293,SOP091-000144,2024-01-26,cerrado
EV000294,SOP091-000145,2024-01-24,abierto
EV000295,SOP091-000145,2024-01-25,cerrado
EV000296,SOP091-000146,2024-01-24,abierto
EV000297,SOP091-000146,2024-01-25,cerrado
EV000298,SOP091-000147,2024-01-24,abierto
EV000299,SOP091-000147,2024-01-25,cerrado
EV000300,SOP091-000148,2024-01-24,abierto
EV000301,SOP091-000148,2024-01-25,cerrado
EV000302,SOP091-000149,2024-01-25,abierto
EV000303,SOP091-000149,2024-01-26,cerrado
EV000304,SOP091-000149,2024-01-27,abierto
EV000305,SOP091-000149,2024-01-29,cerrado
EV000306,SOP091-000150,2024-01-25,abierto
EV000307,SOP091-000150,2024-01-26,cerrado
EV000308,SOP091-000151,2024-01-25,abierto
EV000309,SOP091-000151,2024-01-26,cerrado
EV000310,SOP091-000152,2024-01-25,abierto
EV000311,SOP091-000152,2024-01-26,cerrado
EV000312,SOP091-000153,2024-01-25,abierto
EV000313,SOP091-000153,2024-01-29,cerrado
EV000314,SOP091-000154,2024-01-25,abierto
EV000315,SOP091-000154,2024-01-26,cerrado
EV000316,SOP091-000155,2024-01-26,abierto
EV000317,SOP091-000156,2024-01-26,abierto
EV000318,SOP091-000156,2024-01-27,cerrado
EV000319,SOP091-000157,2024-01-26,abierto
EV000320,SOP091-000157,2024-01-27,cerrado
EV000321,SOP091-000158,2024-01-26,abierto
EV000322,SOP091-000158,2024-01-27,cerrado
EV000323,SOP091-000159,2024-01-26,abierto
EV000324,SOP091-000159,2024-01-27,cerrado
EV000325,SOP091-000160,2024-01-26,abierto
EV000326,SOP091-000160,2024-01-27,cerrado
EV000327,SOP091-000160,2024-01-28,abierto
EV000328,SOP091-000160,2024-01-30,cerrado
EV000329,SOP091-000161,2024-01-26,abierto
EV000330,SOP091-000162,2024-01-27,abierto
EV000331,SOP091-000162,2024-01-28,cerrado
EV000332,SOP091-000162,2024-01-29,abierto
EV000333,SOP091-000162,2024-01-31,cerrado
EV000334,SOP091-000163,2024-01-27,abierto
EV000335,SOP091-000164,2024-01-27,abierto
EV000336,SOP091-000165,2024-01-27,abierto
EV000337,SOP091-000165,2024-01-28,cerrado
EV000338,SOP091-000166,2024-01-27,abierto
EV000339,SOP091-000166,2024-01-28,cerrado
EV000340,SOP091-000166,2024-01-29,abierto
EV000341,SOP091-000166,2024-01-31,cerrado
EV000342,SOP091-000167,2024-01-27,abierto
EV000343,SOP091-000167,2024-01-28,cerrado
EV000344,SOP091-000168,2024-01-28,abierto
EV000345,SOP091-000168,2024-01-29,cerrado
EV000346,SOP091-000169,2024-01-28,abierto
EV000347,SOP091-000169,2024-01-29,cerrado
EV000348,SOP091-000170,2024-01-28,abierto
EV000349,SOP091-000170,2024-01-31,cerrado
EV000350,SOP091-000171,2024-01-28,abierto
EV000351,SOP091-000171,2024-01-29,cerrado
EV000352,SOP091-000172,2024-01-28,abierto
EV000353,SOP091-000172,2024-01-29,cerrado
EV000354,SOP091-000172,2024-01-30,abierto
EV000355,SOP091-000172,2024-02-01,cerrado
EV000356,SOP091-000173,2024-01-28,abierto
EV000357,SOP091-000173,2024-01-29,cerrado
EV000358,SOP091-000174,2024-01-29,abierto
EV000359,SOP091-000174,2024-01-31,cerrado
EV000360,SOP091-000175,2024-01-29,abierto
EV000361,SOP091-000175,2024-02-03,cerrado
EV000362,SOP091-000176,2024-01-29,abierto
EV000363,SOP091-000176,2024-01-30,cerrado
EV000364,SOP091-000177,2024-01-29,abierto
EV000365,SOP091-000177,2024-01-30,cerrado
EV000366,SOP091-000178,2024-01-29,abierto
EV000367,SOP091-000178,2024-01-30,cerrado
EV000368,SOP091-000178,2024-01-31,abierto
EV000369,SOP091-000178,2024-02-02,cerrado
EV000370,SOP091-000179,2024-01-29,abierto
EV000371,SOP091-000179,2024-01-30,cerrado
EV000372,SOP091-000180,2024-01-30,abierto
EV000373,SOP091-000180,2024-01-31,cerrado
EV000374,SOP091-000181,2024-01-30,abierto
EV000375,SOP091-000181,2024-01-31,cerrado
EV000376,SOP091-000181,2024-02-01,abierto
EV000377,SOP091-000181,2024-02-03,cerrado
EV000378,SOP091-000182,2024-01-30,abierto
EV000379,SOP091-000183,2024-01-30,abierto
EV000380,SOP091-000183,2024-01-31,cerrado
EV000381,SOP091-000184,2024-01-30,abierto
EV000382,SOP091-000184,2024-01-31,cerrado
EV000383,SOP091-000185,2024-01-30,abierto
EV000384,SOP091-000185,2024-02-01,cerrado
EV000385,SOP091-000186,2024-01-31,abierto
EV000386,SOP091-000186,2024-02-03,cerrado
EV000387,SOP091-000187,2024-01-31,abierto
EV000388,SOP091-000187,2024-02-01,cerrado
EV000389,SOP091-000188,2024-01-31,abierto
EV000390,SOP091-000188,2024-02-01,cerrado
EV000391,SOP091-000189,2024-01-31,abierto
EV000392,SOP091-000189,2024-02-01,cerrado
EV000393,SOP091-000190,2024-01-31,abierto
EV000394,SOP091-000191,2024-01-31,abierto
EV000395,SOP091-000191,2024-02-01,cerrado
EV000396,SOP091-000192,2024-02-01,abierto
EV000397,SOP091-000192,2024-02-02,cerrado
EV000398,SOP091-000193,2024-02-01,abierto
EV000399,SOP091-000193,2024-02-02,cerrado
EV000400,SOP091-000194,2024-02-01,abierto
EV000401,SOP091-000194,2024-02-02,cerrado
EV000402,SOP091-000195,2024-02-01,abierto
EV000403,SOP091-000195,2024-02-02,cerrado
EV000404,SOP091-000195,2024-02-03,abierto
EV000405,SOP091-000195,2024-02-05,cerrado
EV000406,SOP091-000196,2024-02-01,abierto
EV000407,SOP091-000196,2024-02-02,cerrado
EV000408,SOP091-000197,2024-02-01,abierto
EV000409,SOP091-000197,2024-02-02,cerrado
EV000410,SOP091-000197,2024-02-03,abierto
EV000411,SOP091-000197,2024-02-05,cerrado
EV000412,SOP091-000198,2024-02-02,abierto
EV000413,SOP091-000198,2024-02-03,cerrado
EV000414,SOP091-000199,2024-02-02,abierto
EV000415,SOP091-000199,2024-02-05,cerrado
EV000416,SOP091-000200,2024-02-02,abierto
EV000417,SOP091-000200,2024-02-03,cerrado
EV000418,SOP091-000201,2024-02-02,abierto
EV000419,SOP091-000202,2024-02-02,abierto
EV000420,SOP091-000202,2024-02-03,cerrado
EV000421,SOP091-000203,2024-02-02,abierto
EV000422,SOP091-000203,2024-02-03,cerrado
EV000423,SOP091-000204,2024-02-02,abierto
EV000424,SOP091-000204,2024-02-03,cerrado
EV000425,SOP091-000205,2024-02-03,abierto
EV000426,SOP091-000206,2024-02-03,abierto
EV000427,SOP091-000206,2024-02-06,cerrado
EV000428,SOP091-000207,2024-02-03,abierto
EV000429,SOP091-000207,2024-02-04,cerrado
EV000430,SOP091-000208,2024-02-03,abierto
EV000431,SOP091-000208,2024-02-04,cerrado
EV000432,SOP091-000209,2024-02-03,abierto
EV000433,SOP091-000210,2024-02-03,abierto
EV000434,SOP091-000210,2024-02-04,cerrado
EV000435,SOP091-000211,2024-02-04,abierto
EV000436,SOP091-000211,2024-02-05,cerrado
EV000437,SOP091-000212,2024-02-04,abierto
EV000438,SOP091-000212,2024-02-05,cerrado
EV000439,SOP091-000213,2024-02-04,abierto
EV000440,SOP091-000213,2024-02-06,cerrado
EV000441,SOP091-000214,2024-02-04,abierto
EV000442,SOP091-000215,2024-02-04,abierto
EV000443,SOP091-000215,2024-02-05,cerrado
EV000444,SOP091-000215,2024-02-06,abierto
EV000445,SOP091-000215,2024-02-08,cerrado
EV000446,SOP091-000216,2024-02-04,abierto
EV000447,SOP091-000216,2024-02-05,cerrado
EV000448,SOP091-000217,2024-02-05,abierto
EV000449,SOP091-000218,2024-02-05,abierto
EV000450,SOP091-000218,2024-02-06,cerrado
EV000451,SOP091-000219,2024-02-05,abierto
EV000452,SOP091-000219,2024-02-06,cerrado
EV000453,SOP091-000220,2024-02-05,abierto
EV000454,SOP091-000220,2024-02-06,cerrado
EV000455,SOP091-000220,2024-02-07,abierto
EV000456,SOP091-000220,2024-02-09,cerrado
EV000457,SOP091-000221,2024-02-05,abierto
EV000458,SOP091-000221,2024-02-06,cerrado
EV000459,SOP091-000222,2024-02-05,abierto
EV000460,SOP091-000222,2024-02-06,cerrado
EV000461,SOP091-000222,2024-02-07,abierto
EV000462,SOP091-000222,2024-02-10,cerrado
EV000463,SOP091-000223,2024-02-06,abierto
EV000464,SOP091-000223,2024-02-07,cerrado
EV000465,SOP091-000223,2024-02-08,abierto
EV000466,SOP091-000223,2024-02-10,cerrado
EV000467,SOP091-000224,2024-02-06,abierto
EV000468,SOP091-000224,2024-02-07,cerrado
EV000469,SOP091-000225,2024-02-06,abierto
EV000470,SOP091-000225,2024-02-07,cerrado
EV000471,SOP091-000226,2024-02-06,abierto
EV000472,SOP091-000226,2024-02-07,cerrado
EV000473,SOP091-000227,2024-02-06,abierto
EV000474,SOP091-000227,2024-02-07,cerrado
EV000475,SOP091-000228,2024-02-06,abierto
EV000476,SOP091-000228,2024-02-07,cerrado
EV000477,SOP091-000229,2024-02-07,abierto
EV000478,SOP091-000230,2024-02-07,abierto
EV000479,SOP091-000230,2024-02-08,cerrado
EV000480,SOP091-000231,2024-02-07,abierto
EV000481,SOP091-000231,2024-02-08,cerrado
EV000482,SOP091-000231,2024-02-09,abierto
EV000483,SOP091-000231,2024-02-12,cerrado
EV000484,SOP091-000232,2024-02-07,abierto
EV000485,SOP091-000232,2024-02-08,cerrado
EV000486,SOP091-000233,2024-02-07,abierto
EV000487,SOP091-000234,2024-02-07,abierto
EV000488,SOP091-000234,2024-02-08,cerrado
EV000489,SOP091-000235,2024-02-08,abierto
EV000490,SOP091-000235,2024-02-09,cerrado
EV000491,SOP091-000236,2024-02-08,abierto
EV000492,SOP091-000236,2024-02-09,cerrado
EV000493,SOP091-000237,2024-02-08,abierto
EV000494,SOP091-000237,2024-02-09,cerrado
EV000495,SOP091-000238,2024-02-08,abierto
EV000496,SOP091-000238,2024-02-09,cerrado
EV000497,SOP091-000239,2024-02-08,abierto
EV000498,SOP091-000239,2024-02-09,cerrado
EV000499,SOP091-000240,2024-02-08,abierto
EV000500,SOP091-000240,2024-02-09,cerrado
EV000501,SOP091-000241,2024-02-08,abierto
EV000502,SOP091-000241,2024-02-09,cerrado
EV000503,SOP091-000241,2024-02-10,abierto
EV000504,SOP091-000241,2024-02-12,cerrado
EV000505,SOP091-000242,2024-02-09,abierto
EV000506,SOP091-000242,2024-02-10,cerrado
EV000507,SOP091-000243,2024-02-09,abierto
EV000508,SOP091-000243,2024-02-10,cerrado
EV000509,SOP091-000244,2024-02-09,abierto
EV000510,SOP091-000244,2024-02-10,cerrado
EV000511,SOP091-000244,2024-02-11,abierto
EV000512,SOP091-000244,2024-02-13,cerrado
EV000513,SOP091-000245,2024-02-09,abierto
EV000514,SOP091-000246,2024-02-09,abierto
EV000515,SOP091-000246,2024-02-10,cerrado
EV000516,SOP091-000247,2024-02-09,abierto
EV000517,SOP091-000247,2024-02-10,cerrado
EV000518,SOP091-000248,2024-02-10,abierto
EV000519,SOP091-000248,2024-02-12,cerrado
EV000520,SOP091-000249,2024-02-10,abierto
EV000521,SOP091-000249,2024-02-11,cerrado
EV000522,SOP091-000250,2024-02-10,abierto
EV000523,SOP091-000250,2024-02-11,cerrado
EV000524,SOP091-000251,2024-02-10,abierto
EV000525,SOP091-000251,2024-02-11,cerrado
EV000526,SOP091-000252,2024-02-10,abierto
EV000527,SOP091-000252,2024-02-11,cerrado
EV000528,SOP091-000253,2024-02-10,abierto
EV000529,SOP091-000254,2024-02-11,abierto
EV000530,SOP091-000254,2024-02-12,cerrado
EV000531,SOP091-000255,2024-02-11,abierto
EV000532,SOP091-000255,2024-02-12,cerrado
EV000533,SOP091-000255,2024-02-13,abierto
EV000534,SOP091-000255,2024-02-15,cerrado
EV000535,SOP091-000256,2024-02-11,abierto
EV000536,SOP091-000256,2024-02-13,cerrado
EV000537,SOP091-000257,2024-02-11,abierto
EV000538,SOP091-000257,2024-02-12,cerrado
EV000539,SOP091-000258,2024-02-11,abierto
EV000540,SOP091-000258,2024-02-14,cerrado
EV000541,SOP091-000259,2024-02-11,abierto
EV000542,SOP091-000259,2024-02-12,cerrado
EV000543,SOP091-000260,2024-02-12,abierto
EV000544,SOP091-000261,2024-02-12,abierto
EV000545,SOP091-000261,2024-02-14,cerrado
EV000546,SOP091-000262,2024-02-12,abierto
EV000547,SOP091-000262,2024-02-13,cerrado
EV000548,SOP091-000263,2024-02-12,abierto
EV000549,SOP091-000263,2024-02-13,cerrado
EV000550,SOP091-000264,2024-02-12,abierto
EV000551,SOP091-000264,2024-02-13,cerrado
EV000552,SOP091-000265,2024-02-12,abierto
EV000553,SOP091-000265,2024-02-13,cerrado
EV000554,SOP091-000266,2024-02-13,abierto
EV000555,SOP091-000266,2024-02-14,cerrado
EV000556,SOP091-000267,2024-02-13,abierto
EV000557,SOP091-000267,2024-02-15,cerrado
EV000558,SOP091-000268,2024-02-13,abierto
EV000559,SOP091-000268,2024-02-14,cerrado
EV000560,SOP091-000269,2024-02-13,abierto
EV000561,SOP091-000270,2024-02-13,abierto
EV000562,SOP091-000270,2024-02-14,cerrado
EV000563,SOP091-000271,2024-02-13,abierto
EV000564,SOP091-000271,2024-02-14,cerrado
EV000565,SOP091-000272,2024-02-14,abierto
EV000566,SOP091-000272,2024-02-15,cerrado
EV000567,SOP091-000273,2024-02-14,abierto
EV000568,SOP091-000273,2024-02-15,cerrado
EV000569,SOP091-000274,2024-02-14,abierto
EV000570,SOP091-000274,2024-02-15,cerrado
