intervencion_id,maquina,fecha,tipo,coste_pen
I000130,M1,2024-04-17,preventivo,180
I000131,M5,2024-04-17,preventivo,180
I000132,M6,2024-04-18,preventivo,180
I000133,M5,2024-04-20,preventivo,180
I000134,M3,2024-04-22,preventivo,180
I000135,M5,2024-04-23,preventivo,180
I000136,M4,2024-04-24,preventivo,180
I000137,M6,2024-04-24,preventivo,180
I000138,M6,2024-04-26,preventivo,180
I000139,M1,2024-04-26,preventivo,180
I000140,M2,2024-04-27,preventivo,180
I000141,M5,2024-04-27,preventivo,180
I000142,M1,2024-04-27,preventivo,180
I000143,M6,2024-04-29,preventivo,180
I000144,M3,2024-05-01,preventivo,180
I000145,M2,2024-05-01,preventivo,180
I000146,M2,2024-05-02,preventivo,180
I000147,M4,2024-05-03,preventivo,180
I000148,M6,2024-05-05,preventivo,180
I000149,M4,2024-05-06,preventivo,180
I000150,M2,2024-05-06,preventivo,180
I000151,M5,2024-05-07,preventivo,180
I000152,M6,2024-05-08,preventivo,180
I000153,M2,2024-05-08,preventivo,180
I000154,M3,2024-05-08,preventivo,180
I000155,M6,2024-05-10,preventivo,180
I000156,M2,2024-05-14,preventivo,180
I000157,M5,2024-05-15,preventivo,180
I000158,M6,2024-05-19,preventivo,180
I000159,M2,2024-05-19,preventivo,180
I000160,M5,2024-05-20,preventivo,180
I000161,M6,2024-05-21,preventivo,180
I000162,M2,2024-05-22,preventivo,180
I000163,M4,2024-05-22,preventivo,180
I000164,M5,2024-05-22,preventivo,180
I000165,M2,2024-05-23,preventivo,180
I000166,M4,2024-05-27,preventivo,180
I000167,M6,2024-05-27,preventivo,180
I000168,M4,2024-05-28,preventivo,180
I000169,M5,2024-05-28,preventivo,180
I000170,M3,2024-05-30,preventivo,180
I000171,M4,2024-05-30,preventivo,180
I000172,M3,2024-05-31,preventivo,180
I000173,M6,2024-05-31,preventivo,180
I000174,M1,2024-06-01,preventivo,180
I000175,M2,2024-06-02,preventivo,180
I000176,M1,2024-06-02,preventivo,180
I000177,M3,2024-06-04,preventivo,180
I000178,M6,2024-06-04,preventivo,180
I000179,M2,2024-06-05,preventivo,180
I000180,M5,2024-06-07,preventivo,180
I000181,M6,2024-06-07,preventivo,180
I000182,M4,2024-06-12,preventivo,180
I000183,M5,2024-06-12,preventivo,180
I000184,M1,2024-06-12,preventivo,180
I000185,M2,2024-06-12,preventivo,180
I000186,M5,2024-06-13,preventivo,180
I000187,M1,2024-06-13,preventivo,180
I000188,M6,2024-06-14,preventivo,180
I000189,M3,2024-06-14,preventivo,180
I000190,M5,2024-06-15,preventivo,180
I000191,M6,2024-06-15,preventivo,180
I000192,M1,2024-06-15,preventivo,180
I000193,M3,2024-06-16,preventivo,180
I000194,M6,2024-06-17,preventivo,180
I000195,M1,2024-06-17,preventivo,180
I000196,M3,2024-06-18,preventivo,180
I000197,M6,2024-06-23,preventivo,180
I000198,M1,2024-06-23,preventivo,180
I000199,M3,2024-06-23,preventivo,180
I000200,M4,2024-06-23,preventivo,180
I000201,M1,2024-06-24,preventivo,180
I000202,M4,2024-06-24,preventivo,180
I000203,M1,2024-06-25,preventivo,180
I000204,M3,2024-06-25,preventivo,180
I000205,M5,2024-06-27,preventivo,180
I000206,M6,2024-06-28,preventivo,180
I000207,M2,2024-06-28,preventivo,180
I000208,M4,2024-06-28,preventivo,180
I000209,M6,2024-06-29,preventivo,180
I000210,M2,2024-06-29,preventivo,180
I000211,M5,2024-06-30,preventivo,180
I000212,M1,2024-07-01,preventivo,180
I000213,M1,2024-07-02,preventivo,180
I000214,M1,2024-07-03,preventivo,180
I000215,M3,2024-07-03,preventivo,180
I000216,M5,2024-07-04,preventivo,180
I000217,M6,2024-07-05,preventivo,180
I000218,M5,2024-07-07,preventivo,180
I000219,M5,2024-07-08,preventivo,180
I000220,M6,2024-07-09,preventivo,180
I000221,M1,2024-07-09,preventivo,180
I000222,M5,2024-07-10,preventivo,180
I000223,M1,2024-07-10,preventivo,180
I000224,M2,2024-07-11,preventivo,180
I000225,M5,2024-07-12,preventivo,180
I000226,M6,2024-07-12,preventivo,180
I000227,M1,2024-07-13,preventivo,180
I000228,M4,2024-07-15,preventivo,180
I000229,M1,2024-07-16,preventivo,180
I000230,M2,2024-07-16,preventivo,180
I000231,M2,2024-07-18,preventivo,180
I000232,M1,2024-07-19,preventivo,180
I000233,M6,2024-07-20,preventivo,180
I000234,M5,2024-07-22,preventivo,180
I000235,M4,2024-07-23,preventivo,180
I000236,M1,2024-07-23,preventivo,180
I000237,M1,2024-07-24,preventivo,180
I000238,M2,2024-07-24,preventivo,180
I000239,M5,2024-07-25,preventivo,180
I000240,M6,2024-07-25,preventivo,180
I000241,M2,2024-07-27,preventivo,180
I000242,M3,2024-07-27,preventivo,180
I000243,M6,2024-07-28,preventivo,180
I000244,M3,2024-07-28,preventivo,180
I000245,M5,2024-07-29,preventivo,180
I000246,M6,2024-07-29,preventivo,180
I000247,M3,2024-07-29,preventivo,180
I000248,M4,2024-07-30,preventivo,180
I000249,M5,2024-08-01,preventivo,180
I000250,M4,2024-08-02,preventivo,180
I000251,M5,2024-08-03,preventivo,180
I000252,M1,2024-08-03,preventivo,180
I000253,M2,2024-08-06,preventivo,180
I000254,M3,2024-08-06,preventivo,180
I000255,M6,2024-08-07,preventivo,180
I000256,M2,2024-08-07,preventivo,180
I000257,M4,2024-08-07,preventivo,180
I000258,M5,2024-08-07,preventivo,180
I000259,M1,2024-08-10,preventivo,180
I000260,M2,2024-08-10,preventivo,180
I000261,M6,2024-08-10,preventivo,180
I000262,M5,2024-08-12,preventivo,180
I000263,M2,2024-08-13,preventivo,180
I000264,M1,2024-08-14,preventivo,180
I000265,M6,2024-08-15,preventivo,180
I000266,M6,2024-08-16,preventivo,180
I000267,M3,2024-08-17,preventivo,180
I000268,M5,2024-08-17,preventivo,180
I000269,M5,2024-08-20,preventivo,180
I000270,M2,2024-08-22,preventivo,180
I000271,M4,2024-08-22,preventivo,180
I000272,M6,2024-08-22,preventivo,180
I000273,M2,2024-08-23,preventivo,180
I000274,M5,2024-08-23,preventivo,180
I000275,M4,2024-08-24,preventivo,180
I000276,M1,2024-08-25,preventivo,180
I000277,M5,2024-08-26,preventivo,180
I000278,M1,2024-08-26,preventivo,180
I000279,M2,2024-08-26,preventivo,180
I000280,M2,2024-08-27,preventivo,180
I000281,M4,2024-08-28,preventivo,180
I000282,M3,2024-08-29,preventivo,180
I000283,M4,2024-08-30,preventivo,180
I000284,M1,2024-08-31,preventivo,180
I000285,M3,2024-09-01,preventivo,180
I000286,M4,2024-09-02,preventivo,180
I000287,M5,2024-09-02,preventivo,180
I000288,M6,2024-09-03,preventivo,180
I000289,M2,2024-09-04,preventivo,180
I000290,M4,2024-09-05,preventivo,180
I000291,M3,2024-09-05,preventivo,180
I000292,M6,2024-09-06,preventivo,180
I000293,M3,2024-09-06,preventivo,180
I000294,M1,2024-09-07,preventivo,180
I000295,M1,2024-09-10,preventivo,180
I000296,M3,2024-09-10,preventivo,180
I000297,M1,2024-09-11,preventivo,180
I000298,M3,2024-09-11,preventivo,180
I000299,M6,2024-09-12,preventivo,180
I000300,M2,2024-09-12,preventivo,180
I000301,M3,2024-09-12,preventivo,180
I000302,M4,2024-09-12,preventivo,180
I000303,M4,2024-09-13,preventivo,180
I000304,M2,2024-09-15,preventivo,180
I000305,M4,2024-09-16,preventivo,180
I000306,M3,2024-09-18,preventivo,180
I000307,M1,2024-09-21,preventivo,180
I000308,M5,2024-09-22,preventivo,180
I000309,M3,2024-09-24,preventivo,180
I000310,M2,2024-09-26,preventivo,180
I000311,M5,2024-09-26,preventivo,180
I000312,M2,2024-09-27,preventivo,180
I000313,M4,2024-09-27,preventivo,180
I000314,M6,2024-09-27,preventivo,180
I000315,M4,2024-09-28,preventivo,180
I000316,M1,2024-09-28,preventivo,180
I000317,M2,2024-09-29,preventivo,180
I000318,M3,2024-09-29,preventivo,180
I000319,M3,2024-09-30,preventivo,180
I000320,M3,2024-10-01,preventivo,180
I000321,M1,2024-10-01,preventivo,180
I000322,M2,2024-10-01,preventivo,180
I000323,M5,2024-10-03,preventivo,180
I000324,M6,2024-10-03,preventivo,180
I000325,M3,2024-10-04,preventivo,180
I000326,M6,2024-10-04,preventivo,180
I000327,M5,2024-10-05,preventivo,180
I000328,M4,2024-10-07,preventivo,180
I000329,M6,2024-10-07,preventivo,180
I000330,M3,2024-10-07,preventivo,180
I000331,M4,2024-10-09,preventivo,180
I000332,M4,2024-10-10,preventivo,180
I000333,M5,2024-10-10,preventivo,180
I000334,M1,2024-10-10,preventivo,180
I000335,M2,2024-10-10,preventivo,180
I000336,M6,2024-10-11,preventivo,180
I000337,M1,2024-10-11,preventivo,180
I000338,M4,2024-10-12,preventivo,180
I000339,M6,2024-10-12,preventivo,180
I000340,M3,2024-10-12,preventivo,180
I000341,M4,2024-10-13,preventivo,180
I000342,M4,2024-10-14,preventivo,180
I000343,M3,2024-10-15,preventivo,180
I000344,M2,2024-10-16,preventivo,180
I000345,M1,2024-10-17,preventivo,180
I000346,M4,2024-10-17,preventivo,180
I000347,M5,2024-10-18,preventivo,180
I000348,M1,2024-10-19,preventivo,180
I000349,M6,2024-10-20,preventivo,180
I000350,M2,2024-10-20,preventivo,180
I000351,M4,2024-10-20,preventivo,180
I000352,M6,2024-10-22,preventivo,180
I000353,M3,2024-10-23,preventivo,180
I000354,M2,2024-10-25,preventivo,180
I000355,M2,2024-10-26,preventivo,180
I000356,M1,2024-10-27,preventivo,180
I000357,M2,2024-10-27,preventivo,180
I000358,M1,2024-10-28,preventivo,180
I000359,M3,2024-10-28,preventivo,180
I000360,M6,2024-10-28,preventivo,180
I000361,M3,2024-10-29,preventivo,180
I000362,M1,2024-10-30,preventivo,180
I000363,M4,2024-10-30,preventivo,180
I000364,M4,2024-10-31,preventivo,180
I000365,M5,2024-11-01,preventivo,180
I000366,M5,2024-11-02,preventivo,180
I000367,M6,2024-11-05,preventivo,180
I000368,M2,2024-11-06,preventivo,180
I000369,M3,2024-11-08,preventivo,180
I000370,M4,2024-11-10,preventivo,180
I000371,M6,2024-11-10,preventivo,180
I000372,M3,2024-11-11,preventivo,180
I000373,M2,2024-11-12,preventivo,180
I000374,M5,2024-11-13,preventivo,180
I000375,M6,2024-11-13,preventivo,180
I000376,M6,2024-11-14,preventivo,180
I000377,M2,2024-11-14,preventivo,180
I000378,M4,2024-11-17,preventivo,180
I000379,M5,2024-11-17,preventivo,180
I000380,M6,2024-11-19,preventivo,180
I000381,M6,2024-11-22,preventivo,180
I000382,M6,2024-11-23,preventivo,180
I000383,M5,2024-11-24,preventivo,180
I000384,M2,2024-11-24,preventivo,180
I000385,M4,2024-11-24,preventivo,180
I000386,M5,2024-11-25,preventivo,180
I000387,M6,2024-11-25,preventivo,180
I000388,M5,2024-11-26,preventivo,180
I000389,M6,2024-11-26,preventivo,180
I000390,M6,2024-11-27,preventivo,180
I000391,M2,2024-11-27,preventivo,180
I000392,M3,2024-11-27,preventivo,180
I000393,M4,2024-11-27,preventivo,180
I000394,M5,2024-11-27,preventivo,180
I000395,M6,2024-11-28,preventivo,180
I000396,M4,2024-11-29,preventivo,180
I000397,M2,2024-11-30,preventivo,180
I000398,M3,2024-12-01,preventivo,180
I000399,M5,2024-12-02,preventivo,180
I000400,M1,2024-12-03,preventivo,180
I000401,M2,2024-12-04,preventivo,180
I000402,M3,2024-12-05,preventivo,180
I000403,M4,2024-12-05,preventivo,180
I000404,M1,2024-12-07,preventivo,180
I000405,M5,2024-12-07,preventivo,180
I000406,M3,2024-12-09,preventivo,180
I000407,M4,2024-12-09,preventivo,180
I000408,M5,2024-12-09,preventivo,180
I000409,M4,2024-12-10,preventivo,180
I000410,M6,2024-12-10,preventivo,180
I000411,M2,2024-12-11,preventivo,180
I000412,M4,2024-12-11,preventivo,180
I000413,M6,2024-12-12,preventivo,180
I000414,M3,2024-12-13,preventivo,180
I000415,M4,2024-12-13,preventivo,180
I000416,M6,2024-12-13,preventivo,180
I000417,M4,2024-12-14,preventivo,180
I000418,M1,2024-12-14,preventivo,180
I000419,M5,2024-12-15,preventivo,180
I000420,M1,2024-12-16,preventivo,180
I000421,M5,2024-12-17,preventivo,180
I000422,M1,2024-12-18,preventivo,180
I000423,M3,2024-12-19,preventivo,180
I000424,M6,2024-12-20,preventivo,180
I000425,M1,2024-12-21,preventivo,180
I000426,M1,2024-12-22,preventivo,180
I000427,M6,2024-12-24,preventivo,180
I000428,M4,2024-12-26,preventivo,180
I000429,M4,2024-12-29,preventivo,180
I000430,M1,2024-12-29,preventivo,180
I000431,M5,2024-12-30,preventivo,180
I000432,M2,2024-12-30,preventivo,180
I000433,M4,2025-01-01,preventivo,180
I000434,M5,2025-01-02,preventivo,180
I000435,M6,2025-01-02,preventivo,180
I000436,M5,2025-01-03,preventivo,180
I000437,M3,2025-01-03,preventivo,180
I000438,M5,2025-01-04,preventivo,180
I000439,M6,2025-01-04,preventivo,180
I000440,M4,2025-01-05,preventivo,180
I000441,M2,2025-01-06,preventivo,180
I000442,M6,2025-01-08,preventivo,180
I000443,M4,2025-01-09,preventivo,180
I000444,M6,2025-01-11,preventivo,180
I000445,M3,2025-01-12,preventivo,180
I000446,M4,2025-01-12,preventivo,180
I000447,M5,2025-01-12,preventivo,180
I000448,M5,2025-01-13,preventivo,180
I000449,M3,2025-01-16,preventivo,180
I000450,M4,2025-01-16,preventivo,180
I000451,M6,2025-01-16,preventivo,180
I000452,M4,2025-01-18,preventivo,180
I000453,M5,2025-01-18,preventivo,180
I000454,M6,2025-01-18,preventivo,180
I000455,M4,2025-01-19,preventivo,180
I000456,M6,2025-01-19,preventivo,180
I000457,M1,2025-01-19,preventivo,180
I000458,M6,2025-01-21,preventivo,180
I000459,M3,2025-01-23,preventivo,180
I000460,M4,2025-01-23,preventivo,180
I000461,M5,2025-01-23,preventivo,180
I000462,M1,2025-01-23,preventivo,180
I000463,M2,2025-01-24,preventivo,180
I000464,M4,2025-01-24,preventivo,180
I000465,M2,2025-01-27,preventivo,180
I000466,M3,2025-01-28,preventivo,180
I000467,M1,2025-01-28,preventivo,180
I000468,M1,2025-01-30,preventivo,180
I000469,M5,2025-01-31,preventivo,180
I000470,M2,2025-01-31,preventivo,180
I000471,M2,2025-02-01,preventivo,180
I000472,M6,2025-02-02,preventivo,180
I000473,M2,2025-02-02,preventivo,180
I000474,M6,2025-02-04,preventivo,180
I000475,M6,2025-02-05,preventivo,180
I000476,M6,2025-02-09,preventivo,180
I000477,M5,2025-02-11,preventivo,180
I000478,M3,2025-02-11,preventivo,180
I000479,M4,2025-02-12,preventivo,180
I000480,M1,2025-02-13,preventivo,180
I000481,M4,2025-02-13,preventivo,180
I000482,M1,2025-02-14,preventivo,180
I000483,M1,2025-02-16,preventivo,180
I000484,M2,2025-02-16,preventivo,180
I000485,M4,2025-02-16,preventivo,180
I000486,M6,2025-02-17,preventivo,180
I000487,M3,2025-02-17,preventivo,180
I000488,M4,2025-02-17,preventivo,180
I000489,M5,2025-02-18,preventivo,180
I000490,M3,2025-02-20,preventivo,180
I000491,M1,2025-02-21,preventivo,180
I000492,M3,2025-02-21,preventivo,180
I000493,M1,2025-02-22,preventivo,180
I000494,M5,2025-02-22,preventivo,180
I000495,M3,2025-02-23,preventivo,180
I000496,M2,2025-02-25,preventivo,180
I000497,M5,2025-02-27,preventivo,180
I000498,M6,2025-02-28,preventivo,180
I000499,M2,2025-03-01,preventivo,180
I000500,M5,2025-03-08,preventivo,180
I000501,M4,2025-03-09,preventivo,180
I000502,M2,2025-03-10,preventivo,180
I000503,M6,2025-03-11,preventivo,180
I000504,M1,2025-03-11,preventivo,180
I000505,M2,2025-03-11,preventivo,180
I000506,M4,2025-03-12,preventivo,180
I000507,M1,2025-03-12,preventivo,180
I000508,M5,2025-03-13,preventivo,180
I000509,M6,2025-03-13,preventivo,180
I000510,M5,2025-03-14,preventivo,180
I000511,M6,2025-03-14,preventivo,180
I000512,M3,2025-03-14,preventivo,180
I000513,M5,2025-03-15,preventivo,180
I000514,M6,2025-03-15,preventivo,180
I000515,M3,2025-03-15,preventivo,180
I000516,M4,2025-03-16,preventivo,180
I000517,M6,2025-03-17,preventivo,180
I000518,M3,2025-03-17,preventivo,180
I000519,M1,2025-03-18,preventivo,180
I000520,M2,2025-03-19,preventivo,180
I000521,M3,2025-03-19,preventivo,180
I000522,M3,2025-03-20,preventivo,180
I000523,M1,2025-03-21,preventivo,180
I000524,M5,2025-03-22,preventivo,180
I000525,M2,2025-03-22,preventivo,180
I000526,M4,2025-03-22,preventivo,180
I000527,M3,2025-03-24,preventivo,180
I000528,M4,2025-03-24,preventivo,180
I000529,M6,2025-03-27,preventivo,180
I000530,M6,2025-03-28,preventivo,180
I000531,M6,2025-03-29,preventivo,180
I000532,M2,2025-03-31,preventivo,180
I000533,M1,2025-04-02,preventivo,180
I000534,M3,2025-04-04,preventivo,180
I000535,M3,2025-04-05,preventivo,180
I000536,M4,2025-04-05,preventivo,180
I000537,M5,2025-04-06,preventivo,180
I000538,M4,2025-04-08,preventivo,180
I000539,M3,2025-04-09,preventivo,180
I000540,M4,2025-04-09,preventivo,180
I000541,M2,2025-04-10,preventivo,180
I000542,M1,2025-04-11,preventivo,180
I000543,M5,2025-04-13,preventivo,180
I000544,M2,2025-04-13,preventivo,180
I000545,M6,2025-04-14,preventivo,180
I000546,M1,2025-04-14,preventivo,180
I000547,M5,2025-04-15,preventivo,180
I000548,M6,2025-04-15,preventivo,180
I000549,M3,2025-04-17,preventivo,180
I000550,M2,2025-04-17,preventivo,180
I000551,M3,2025-04-17,preventivo,180
I000552,M5,2025-04-18,preventivo,180
I000553,M1,2025-04-19,preventivo,180
I000554,M4,2025-04-21,preventivo,180
I000555,M2,2025-04-23,preventivo,180
I000556,M3,2025-04-24,preventivo,180
I000557,M2,2025-04-25,preventivo,180
I000558,M5,2025-04-26,preventivo,180
I000559,M2,2025-04-26,preventivo,180
I000560,M2,2025-04-27,preventivo,180
I000561,M6,2025-04-28,preventivo,180
I000562,M3,2025-04-28,preventivo,180
I000563,M3,2025-04-29,preventivo,180
I000564,M4,2025-04-29,preventivo,180
I000565,M1,2025-04-30,preventivo,180
I000566,M3,2025-04-30,preventivo,180
I000567,M1,2025-05-01,preventivo,180
I000568,M2,2025-05-02,preventivo,180
I000569,M3,2025-05-02,preventivo,180
I000570,M4,2025-05-02,preventivo,180
I000571,M6,2025-05-03,preventivo,180
I000572,M3,2025-05-03,preventivo,180
I000573,M4,2025-05-03,preventivo,180
I000574,M3,2025-05-04,preventivo,180
I000575,M6,2025-05-05,preventivo,180
I000576,M1,2025-05-05,preventivo,180
I000577,M5,2025-05-05,preventivo,180
I000578,M2,2025-05-12,preventivo,180
I000579,M5,2025-05-12,preventivo,180
I000580,M2,2025-05-14,preventivo,180
I000581,M5,2025-05-14,preventivo,180
I000582,M6,2025-05-14,preventivo,180
I000583,M3,2025-05-15,preventivo,180
I000584,M3,2025-05-16,preventivo,180
I000585,M1,2025-05-16,preventivo,180
I000586,M5,2025-05-17,preventivo,180
I000587,M2,2025-05-19,preventivo,180
I000588,M2,2025-05-20,preventivo,180
I000589,M3,2025-05-22,preventivo,180
I000590,M3,2025-05-23,preventivo,180
I000591,M4,2025-05-23,preventivo,180
I000592,M1,2025-05-23,preventivo,180
I000593,M5,2025-05-24,preventivo,180
I000594,M2,2025-05-25,preventivo,180
I000595,M5,2025-05-26,preventivo,180
I000596,M6,2025-05-26,preventivo,180
I000597,M5,2025-05-27,preventivo,180
I000598,M5,2025-05-28,preventivo,180
I000599,M1,2025-05-28,preventivo,180
I000600,M2,2025-05-29,preventivo,180
I000601,M5,2025-05-30,preventivo,180
I000602,M4,2025-05-31,preventivo,180
I000603,M6,2025-06-01,preventivo,180
I000604,M1,2025-06-01,preventivo,180
I000605,M3,2025-06-01,preventivo,180
I000606,M4,2025-06-02,preventivo,180
I000607,M5,2025-06-03,preventivo,180
I000608,M6,2025-06-03,preventivo,180
I000609,M6,2025-06-05,preventivo,180
I000610,M2,2025-06-06,preventivo,180
I000611,M6,2025-06-07,preventivo,180
I000612,M4,2025-06-07,preventivo,180
I000613,M2,2025-06-08,preventivo,180
I000614,M5,2025-06-08,preventivo,180
I000615,M4,2025-06-09,preventivo,180
I000616,M5,2025-06-09,preventivo,180
I000617,M4,2025-06-10,preventivo,180
I000618,M1,2025-06-11,preventivo,180
I000619,M4,2025-06-11,preventivo,180
I000620,M5,2025-06-11,preventivo,180
I000621,M1,2025-06-12,preventivo,180
I000622,M2,2025-06-12,preventivo,180
I000623,M3,2025-06-12,preventivo,180
I000624,M4,2025-06-12,preventivo,180
I000625,M1,2025-06-13,preventivo,180
I000626,M6,2025-06-14,preventivo,180
I000627,M3,2025-06-14,preventivo,180
I000628,M4,2025-06-15,preventivo,180
I000629,M5,2025-06-15,preventivo,180
I000630,M1,2025-06-16,preventivo,180
I000631,M5,2025-06-16,preventivo,180
I000632,M1,2025-06-19,preventivo,180
I000633,M3,2025-06-21,preventivo,180
I000634,M3,2025-06-22,preventivo,180
I000635,M4,2025-06-22,preventivo,180
I000636,M6,2025-06-22,preventivo,180
I000637,M1,2025-06-22,preventivo,180
I000638,M1,2025-06-23,preventivo,180
I000639,M2,2025-06-24,preventivo,180
I000640,M5,2025-06-24,preventivo,180
I000641,M4,2025-06-25,preventivo,180
I000642,M6,2025-06-25,preventivo,180
I000643,M2,2025-06-26,preventivo,180
I000644,M3,2025-06-26,preventivo,180
I000645,M5,2025-06-26,preventivo,180
I000646,M1,2025-06-26,preventivo,180
I000647,M2,2025-06-27,preventivo,180
I000648,M4,2025-06-30,preventivo,180
I000649,M5,2025-07-01,preventivo,180
I000650,M2,2025-07-01,preventivo,180
I000651,M1,2025-07-02,preventivo,180
I000652,M4,2025-07-04,preventivo,180
I000653,M5,2025-07-05,preventivo,180
I000654,M4,2025-07-06,preventivo,180
I000655,M1,2025-07-06,preventivo,180
I000656,M1,2025-07-07,preventivo,180
I000657,M5,2025-07-08,preventivo,180
I000658,M2,2025-07-08,preventivo,180
I000659,M4,2025-07-09,preventivo,180
I000660,M1,2025-07-10,preventivo,180
I000661,M2,2025-07-10,preventivo,180
I000662,M3,2025-07-12,preventivo,180
I000663,M3,2025-07-14,preventivo,180
I000664,M3,2025-07-15,preventivo,180
