registro_id,fecha,area,contrato,antiguedad_meses,horas,formacion_h,salario,absentismo_dias
PER012-000030,2024-01-07,comercial,completo,113,160,4.7,4052.93,1
PER012-000031,2024-01-07,operaciones,completo,109,160,0,2593.01,1
PER012-000032,2024-01-07,administracion,parcial,157,80,5.3,1884.58,1
PER012-000033,2024-01-08,comercial,parcial,70,80,23.8,1898.03,4
PER012-000034,2024-01-08,operaciones,completo,59,160,9.5,2439.33,3
PER012-000035,2024-01-08,administracion,completo,36,160,0,2652.08,2
PER012-000036,2024-01-08,comercial,parcial,81,80,6.1,1848.37,0
PER012-000037,2024-01-08,operaciones,completo,139,160,4.7,2750.3,1
PER012-000038,2024-01-09,administracion,completo,71,160,6.4,3304.09,2
PER012-000039,2024-01-09,comercial,completo,35,160,0,3079.67,1
PER012-000040,2024-01-09,operaciones,completo,150,160,5.6,3398.7,2
PER012-000041,2024-01-09,administracion,parcial,9,80,0,1272.29,3
PER012-000042,2024-01-09,comercial,completo,59,160,11.1,3692.68,5
PER012-000043,2024-01-10,operaciones,parcial,76,80,8.0,1252.34,0
PER012-000044,2024-01-10,administracion,completo,113,160,0,3188.0,4
PER012-000045,2024-01-10,comercial,parcial,120,80,5.6,2063.67,4
PER012-000046,2024-01-10,operaciones,completo,2,160,0,2191.96,4
PER012-000047,2024-01-11,administracion,parcial,133,80,11.4,1838.95,3
PER012-000048,2024-01-11,comercial,completo,96,160,0,3778.19,5
PER012-000049,2024-01-11,operaciones,completo,145,160,7.3,3226.26,2
PER012-000050,2024-01-11,administracion,parcial,85,80,1.8,1495.03,0
PER012-000051,2024-01-11,comercial,completo,118,160,0,3622.6,3
PER012-000052,2024-01-12,operaciones,parcial,163,80,8.9,1574.87,5
PER012-000053,2024-01-12,administracion,completo,31,160,8.8,2901.13,1
PER012-000054,2024-01-12,comercial,completo,155,160,4.6,4287.6,1
PER012-000055,2024-01-12,operaciones,completo,97,160,0,2604.36,0
PER012-000056,2024-01-13,administracion,completo,41,160,4.7,2978.03,3
PER012-000057,2024-01-13,comercial,completo,57,160,3.1,3465.1,1
PER012-000058,2024-01-13,operaciones,completo,29,160,0,2095.06,0
PER012-000059,2024-01-13,administracion,completo,111,160,0,3441.48,1
PER012-000060,2024-01-13,comercial,completo,169,160,0,3927.84,3
PER012-000061,2024-01-14,operaciones,completo,13,160,2.5,2434.03,4
PER012-000062,2024-01-14,administracion,parcial,97,80,15.5,1562.22,1
PER012-000063,2024-01-14,comercial,completo,148,160,15.8,3785.79,0
PER012-000064,2024-01-14,operaciones,parcial,157,80,0,1475.31,0
PER012-000065,2024-01-15,administracion,completo,51,160,7.3,3180.18,3
PER012-000066,2024-01-15,comercial,parcial,80,80,0,1734.85,4
PER012-000067,2024-01-15,operaciones,completo,116,160,0,2708.35,3
PER012-000068,2024-01-15,administracion,completo,80,160,11.1,3301.18,3
PER012-000069,2024-01-15,comercial,completo,140,160,10.6,3899.96,4
PER012-000070,2024-01-16,operaciones,completo,71,160,0,2596.18,5
PER012-000071,2024-01-16,administracion,completo,14,160,0,2801.7,2
PER012-000072,2024-01-16,comercial,completo,6,160,25.9,,2
PER012-000073,2024-01-16,operaciones,parcial,73,80,3.0,1436.44,2
PER012-000074,2024-01-16,administracion,parcial,165,80,0,1950.05,4
PER012-000075,2024-01-17,comercial,parcial,42,80,4.2,1649.25,2
PER012-000076,2024-01-17,operaciones,completo,1,160,5.9,2090.3,5
PER012-000077,2024-01-17,administracion,parcial,1,80,0,1355.18,4
PER012-000078,2024-01-17,comercial,parcial,80,80,0,1889.72,4
PER012-000079,2024-01-18,operaciones,parcial,172,80,0,1725.34,5
PER012-000080,2024-01-18,administracion,completo,156,160,6.9,3345.24,4
PER012-000081,2024-01-18,comercial,parcial,35,80,8.6,1721.57,1
PER012-000082,2024-01-18,operaciones,parcial,170,80,4.5,1615.96,4
PER012-000083,2024-01-18,administracion,completo,81,160,5.3,3050.82,4
PER012-000084,2024-01-19,comercial,completo,87,160,10.4,3743.36,5
PER012-000085,2024-01-19,operaciones,completo,110,160,15.1,3096.85,2
PER012-000086,2024-01-19,administracion,completo,91,160,7.6,3144.45,3
PER012-000087,2024-01-19,comercial,completo,37,160,0,3569.62,5
PER012-000088,2024-01-20,operaciones,completo,53,160,5.4,2424.82,3
PER012-000089,2024-01-20,administracion,parcial,172,80,9.5,1926.42,0
PER012-000090,2024-01-20,comercial,completo,63,160,4.2,3261.72,0
PER012-000091,2024-01-20,operaciones,completo,143,160,0,3114.88,0
PER012-000092,2024-01-20,administracion,completo,31,160,9.9,2935.64,1
PER012-000093,2024-01-21,comercial,parcial,67,80,5.6,1697.85,3
PER012-000094,2024-01-21,operaciones,completo,78,160,0,2655.17,4
PER012-000095,2024-01-21,administracion,completo,9,160,4.8,2898.34,4
PER012-000096,2024-01-21,comercial,completo,107,160,9.0,3738.38,3
PER012-000015,2024-01-04,comercial,parcial,137,80,4.4,2007.2,5
