registro_id,fecha,sede,espera_min,atencion_min,estado,prioridad
TUR021-000029,2024-01-26,S2,7.2,7.2,atendido,ordinaria
TUR021-000030,2024-01-26,S3,10.7,3.5,atendido,preferente
TUR021-000031,2024-01-27,S1,4.6,3.1,atendido,preferente
TUR021-000032,2024-01-28,S2,16.5,9.5,atendido,ordinaria
TUR021-000033,2024-01-29,S3,15.0,15.8,atendido,ordinaria
TUR021-000034,2024-01-30,S1,6.3,6.9,atendido,ordinaria
TUR021-000035,2024-01-31,S2,5.6,15.3,atendido,ordinaria
TUR021-000036,2024-02-01,S3,7.4,13.9,atendido,preferente
TUR021-000037,2024-02-02,S1,7.5,,abandono,preferente
TUR021-000038,2024-02-03,S2,14.4,8.2,atendido,ordinaria
TUR021-000039,2024-02-03,S3,34.7,7.7,atendido,preferente
TUR021-000040,2024-02-04,S1,3.7,11.1,atendido,preferente
TUR021-000041,2024-02-05,S2,67.3,14.0,atendido,ordinaria
TUR021-000042,2024-02-06,S3,24.0,3.9,atendido,ordinaria
TUR021-000043,2024-02-07,S1,12.7,17.5,atendido,ordinaria
TUR021-000044,2024-02-08,S2,7.7,3.1,atendido,ordinaria
TUR021-000045,2024-02-09,S3,10.9,,abandono,ordinaria
TUR021-000046,2024-02-10,S1,7.1,5.6,atendido,ordinaria
TUR021-000047,2024-02-11,S2,5.4,14.1,atendido,ordinaria
TUR021-000048,2024-02-12,S3,6.9,3.9,atendido,preferente
TUR021-000049,2024-02-12,S1,16.5,,abandono,ordinaria
TUR021-000050,2024-02-13,S2,2.3,3.9,atendido,preferente
TUR021-000051,2024-02-14,S3,12.3,14.3,atendido,preferente
TUR021-000052,2024-02-15,S1,2.5,3.3,atendido,preferente
TUR021-000053,2024-02-16,S2,3.1,4.0,atendido,preferente
TUR021-000054,2024-02-17,S3,26.6,12.8,atendido,ordinaria
TUR021-000055,2024-02-18,S1,6.9,16.0,atendido,ordinaria
TUR021-000056,2024-02-19,S2,13.3,9.4,atendido,ordinaria
TUR021-000057,2024-02-20,S3,16.2,15.5,atendido,ordinaria
TUR021-000058,2024-02-20,S1,7.2,7.0,atendido,ordinaria
TUR021-000059,2024-02-21,S2,13.1,3.8,atendido,ordinaria
TUR021-000060,2024-02-22,S3,9.4,,abandono,preferente
TUR021-000061,2024-02-23,S1,8.7,10.6,atendido,preferente
TUR021-000062,2024-02-24,S2,6.3,16.6,atendido,preferente
TUR021-000063,2024-02-25,S3,17.5,4.8,atendido,ordinaria
TUR021-000064,2024-02-26,S1,5.7,17.4,atendido,preferente
TUR021-000065,2024-02-27,S2,4.9,12.1,atendido,preferente
TUR021-000066,2024-02-28,S3,8.7,,abandono,ordinaria
TUR021-000067,2024-02-29,S1,13.9,12.7,atendido,ordinaria
TUR021-000068,2024-02-29,S2,10.6,10.4,atendido,ordinaria
TUR021-000069,2024-03-01,S3,8.9,7.3,atendido,ordinaria
TUR021-000070,2024-03-02,S1,12.8,5.2,atendido,ordinaria
TUR021-000071,2024-03-03,S2,16.3,10.2,atendido,ordinaria
TUR021-000072,2024-03-04,S3,2.9,8.6,atendido,ordinaria
TUR021-000073,2024-03-05,S1,3.3,12.7,atendido,preferente
TUR021-000074,2024-03-06,S2,6.7,15.1,atendido,preferente
TUR021-000075,2024-03-07,S3,18.4,12.6,atendido,ordinaria
TUR021-000076,2024-03-08,S1,13.3,12.5,atendido,preferente
TUR021-000077,2024-03-08,S2,8.2,5.6,atendido,preferente
TUR021-000078,2024-03-09,S3,19.8,4.9,atendido,preferente
TUR021-000079,2024-03-10,S1,7.1,13.8,atendido,ordinaria
TUR021-000080,2024-03-11,S2,5.2,14.2,atendido,preferente
TUR021-000081,2024-03-12,S3,37.8,12.3,atendido,ordinaria
TUR021-000082,2024-03-13,S1,8.0,5.2,atendido,ordinaria
TUR021-000083,2024-03-14,S2,15.0,13.3,atendido,ordinaria
TUR021-000084,2024-03-15,S3,,3.9,atendido,ordinaria
TUR021-000085,2024-03-16,S1,5.7,12.1,atendido,ordinaria
TUR021-000086,2024-03-17,S2,14.5,7.2,atendido,ordinaria
TUR021-000087,2024-03-17,S3,17.8,,abandono,ordinaria
TUR021-000088,2024-03-18,S1,4.8,9.4,atendido,preferente
TUR021-000089,2024-03-19,S2,3.3,15.2,atendido,ordinaria
TUR021-000090,2024-03-20,S3,43.7,,abandono,ordinaria
TUR021-000091,2024-03-21,S1,3.7,14.9,atendido,ordinaria
TUR021-000092,2024-03-22,S2,6.3,10.5,atendido,preferente
TUR021-000093,2024-03-23,S3,7.2,4.6,atendido,preferente
TUR021-000094,2024-03-24,S1,13.6,12.5,atendido,ordinaria
TUR021-000095,2024-03-25,S2,6.1,9.8,atendido,ordinaria
TUR021-000096,2024-03-25,S3,21.0,9.7,atendido,ordinaria
TUR021-000097,2024-03-26,S1,11.5,4.6,atendido,ordinaria
TUR021-000098,2024-03-27,S2,9.5,7.4, ATENDIDO ,ordinaria
TUR021-000099,2024-03-28,S3,12.4,12.7,atendido,ordinaria
TUR021-000100,2024-03-29,S1,4.5,6.5,atendido,ordinaria
TUR021-000101,2024-03-30,S2,17.6,14.4,atendido,ordinaria
TUR021-000102,2024-03-31,S3,9.5,16.8,atendido,preferente
TUR021-000103,2024-04-01,S1,4.1,12.4,atendido,preferente
TUR021-000104,2024-04-02,S2,5.9,4.1,atendido,ordinaria
TUR021-000105,2024-04-03,S3,11.2,10.8,atendido,ordinaria
TUR021-000106,2024-04-03,S1,15.1,15.4,atendido,preferente
TUR021-000107,2024-04-04,S2,23.1,16.3,atendido,ordinaria
TUR021-000108,2024-04-05,S3,6.4,10.1,atendido,ordinaria
TUR021-000109,2024-04-06,S1,8.6,15.3,atendido,ordinaria
TUR021-000110,2024-04-07,S2,28.2,17.0,atendido,ordinaria
TUR021-000111,2024-04-08,S3,14.9,17.0,atendido,ordinaria
TUR021-000112,2024-04-09,S1,11.4,4.5,atendido,preferente
TUR021-000113,2024-04-10,S2,4.0,3.6,atendido,preferente
TUR021-000114,2024-04-11,S3,17.9,6.0,atendido,preferente
TUR021-000115,2024-04-11,S1,7.5,13.4,atendido,ordinaria
TUR021-000116,2024-04-12,S2,7.6,17.0,atendido,ordinaria
TUR021-000117,2024-04-13,S3,12.8,,abandono,ordinaria
TUR021-000118,2024-04-14,S1,6.9,17.8,atendido,preferente
TUR021-000119,2024-04-15,S2,8.8,4.2,atendido,ordinaria
TUR021-000120,2024-04-16,S3,4.8,14.6,atendido,ordinaria
TUR021-000121,2024-04-17,S1,2.7,5.5,atendido,ordinaria
TUR021-000122,2024-04-18,S2,14.4,9.9,atendido,ordinaria
TUR021-000123,2024-04-19,S3,6.5,6.1,atendido,ordinaria
TUR021-000124,2024-04-20,S1,6.8,7.3,atendido,preferente
TUR021-000125,2024-04-20,S2,5.8,5.6,atendido,ordinaria
TUR021-000126,2024-04-21,S3,21.2,8.3,atendido,ordinaria
TUR021-000127,2024-04-22,S1,6.9,9.9,atendido,ordinaria
TUR021-000128,2024-04-23,S2,6.8,14.1,atendido,ordinaria
TUR021-000129,2024-04-24,S3,8.2,6.9,atendido,preferente
TUR021-000130,2024-04-25,S1,2.4,8.4,atendido,preferente
TUR021-000131,2024-04-26,S2,18.9,3.1,atendido,ordinaria
TUR021-000132,2024-04-27,S3,18.2,8.2,atendido,ordinaria
TUR021-000133,2024-04-28,S1,5.8,16.1,atendido,ordinaria
TUR021-000134,2024-04-28,S2,7.4,5.8,atendido,ordinaria
TUR021-000135,2024-04-29,S3,15.4,9.7,atendido,preferente
TUR021-000136,2024-04-30,S1,3.8,16.5,atendido,preferente
TUR021-000137,2024-05-01,S2,8.5,15.6,atendido,ordinaria
TUR021-000138,2024-05-02,S3,9.4,10.8,atendido,preferente
TUR021-000139,2024-05-03,S1,3.3,7.0,atendido,ordinaria
TUR021-000140,2024-05-04,S2,6.5,,abandono,ordinaria
TUR021-000141,2024-05-05,S3,15.3,12.3,atendido,preferente
TUR021-000142,2024-05-06,S1,4.0,12.3,atendido,ordinaria
TUR021-000143,2024-05-07,S2,3.1,3.6,atendido,ordinaria
TUR021-000144,2024-05-07,S3,9.2,17.4,atendido,ordinaria
TUR021-000145,2024-05-08,S1,1.3,11.6,atendido,preferente
TUR021-000146,2024-05-09,S2,9.6,17.1,atendido,ordinaria
TUR021-000147,2024-05-10,S3,14.7,17.4,atendido,ordinaria
TUR021-000148,2024-05-11,S1,7.5,5.9,atendido,ordinaria
TUR021-000149,2024-05-12,S2,2.8,6.7,atendido,ordinaria
TUR021-000150,2024-05-13,S3,15.6,5.9,atendido,preferente
TUR021-000151,2024-05-14,S1,6.7,4.5,atendido,preferente
TUR021-000152,2024-05-15,S2,13.6,14.8,atendido,preferente
TUR021-000153,2024-05-15,S3,23.7,12.5,atendido,ordinaria
TUR021-000154,2024-05-16,S1,6.5,17.6,atendido,preferente
TUR021-000155,2024-05-17,S2,18.8,15.9,atendido,ordinaria
TUR021-000156,2024-05-18,S3,21.4,9.4,atendido,ordinaria
TUR021-000157,2024-05-19,S1,3.9,18.0,atendido,preferente
TUR021-000158,2024-05-20,S2,2.9,3.6,atendido,ordinaria
TUR021-000159,2024-05-21,S3,3.0,11.9,atendido,ordinaria
TUR021-000160,2024-05-22,S1,7.3,7.4,atendido,ordinaria
TUR021-000161,2024-05-23,S2,10.7,,abandono,ordinaria
TUR021-000162,2024-05-24,S3,17.6,9.9,atendido,ordinaria
TUR021-000163,2024-05-24,S1,23.8,9.6,atendido,preferente
TUR021-000164,2024-05-25,S2,8.5,4.4,atendido,preferente
TUR021-000165,2024-05-26,S3,4.1,5.7,atendido,preferente
TUR021-000166,2024-05-27,S1,16.6,9.1,atendido,ordinaria
TUR021-000167,2024-05-28,S2,,16.6,atendido,preferente
TUR021-000168,2024-05-29,S3,12.4,4.6,atendido,preferente
TUR021-000169,2024-05-30,S1,7.4,3.1,atendido,ordinaria
TUR021-000170,2024-05-31,S2,29.2,3.4,atendido,ordinaria
TUR021-000171,2024-06-01,S3,18.0,7.1,atendido,ordinaria
TUR021-000172,2024-06-01,S1,1.7,6.8,atendido,ordinaria
TUR021-000173,2024-06-02,S2,2.9,13.3,atendido,preferente
TUR021-000174,2024-06-03,S3,14.3,6.9,atendido,ordinaria
TUR021-000175,2024-06-04,S1,3.5,7.3,atendido,ordinaria
TUR021-000176,2024-06-05,S2,10.4,14.7,atendido,ordinaria
TUR021-000177,2024-06-06,S3,14.1,16.6,atendido,preferente
TUR021-000178,2024-06-07,S1,16.9,13.3,atendido,ordinaria
TUR021-000179,2024-06-08,S2,8.3,12.5,atendido,preferente
TUR021-000180,2024-06-09,S3,24.0,12.6,atendido,preferente
TUR021-000181,2024-06-10,S1,24.6,14.5,atendido,ordinaria
TUR021-000182,2024-06-10,S2,10.0,6.6,atendido,ordinaria
TUR021-000183,2024-06-11,S3,4.7,17.3,atendido,ordinaria
TUR021-000184,2024-06-12,S1,4.5,16.7,atendido,preferente
TUR021-000185,2024-06-13,S2,6.5,9.4,atendido,preferente
TUR021-000186,2024-06-14,S3,8.3,14.5,atendido,ordinaria
TUR021-000187,2024-06-15,S1,2.4,17.6,atendido,ordinaria
TUR021-000188,2024-06-16,S2,9.8,7.2,atendido,ordinaria
TUR021-000189,2024-06-17,S3,7.0,5.9,atendido,ordinaria
TUR021-000190,2024-06-18,S1,4.3,6.3,atendido,ordinaria
TUR021-000191,2024-06-18,S2,6.6,4.2,atendido,ordinaria
TUR021-000192,2024-06-19,S3,17.5,7.8,atendido,ordinaria
TUR021-000193,2024-06-20,S1,3.5,12.1,atendido,ordinaria
TUR021-000194,2024-06-21,S2,19.2,12.5,atendido,ordinaria
TUR021-000195,2024-06-22,S3,5.1,14.1, ATENDIDO ,ordinaria
TUR021-000196,2024-06-23,S1,45.3,16.9,atendido,ordinaria
TUR021-000197,2024-06-24,S2,9.2,13.1,atendido,preferente
TUR021-000198,2024-06-25,S3,20.7,16.7,atendido,ordinaria
TUR021-000199,2024-06-26,S1,7.2,17.0,atendido,ordinaria
TUR021-000200,2024-06-27,S2,11.6,,abandono,ordinaria
TUR021-000201,2024-06-27,S3,3.8,7.3,atendido,ordinaria
TUR021-000202,2024-06-28,S1,2.4,17.3,atendido,ordinaria
TUR021-000203,2024-06-29,S2,8.9,14.1,atendido,ordinaria
TUR021-000204,2024-06-30,S3,9.9,8.5,atendido,ordinaria
TUR021-000205,2024-07-01,S1,2.5,13.8,atendido,preferente
TUR021-000206,2024-07-02,S2,21.4,4.6,atendido,ordinaria
TUR021-000207,2024-07-03,S3,14.0,17.5,atendido,preferente
TUR021-000208,2024-07-04,S1,7.5,9.9,atendido,ordinaria
TUR021-000209,2024-07-05,S2,2.4,6.4,atendido,preferente
TUR021-000210,2024-07-05,S3,7.9,12.4,atendido,preferente
TUR021-000211,2024-07-06,S1,3.6,6.1,atendido,ordinaria
TUR021-000212,2024-07-07,S2,"11,4",,abandono,preferente
TUR021-000213,2024-07-08,S3,31.7,,abandono,ordinaria
TUR021-000214,2024-07-09,S1,6.2,16.2,atendido,preferente
TUR021-000215,2024-07-10,S2,5.5,13.4,atendido,ordinaria
TUR021-000216,2024-07-11,S3,13.4,6.8,atendido,ordinaria
TUR021-000217,2024-07-12,S1,8.5,4.4,atendido,ordinaria
TUR021-000218,2024-07-13,S2,19.7,11.8,atendido,ordinaria
TUR021-000219,2024-07-14,S3,9.6,16.1,atendido,preferente
TUR021-000220,2024-07-14,S1,10.7,16.9,atendido,ordinaria
TUR021-000221,2024-07-15,S2,16.9,4.1,atendido,ordinaria
TUR021-000222,2024-07-16,S3,35.9,4.5,atendido,ordinaria
TUR021-000223,2024-07-17,S1,6.4,,abandono,ordinaria
TUR021-000224,2024-07-18,S2,5.6,17.7,atendido,ordinaria
TUR021-000225,2024-07-19,S3,27.7,,abandono,ordinaria
TUR021-000226,2024-07-20,S1,3.3,6.9,atendido,preferente
TUR021-000227,2024-07-21,S2,6.3,6.0,atendido,ordinaria
TUR021-000228,2024-07-22,S3,12.0,4.4,atendido,preferente
TUR021-000229,2024-07-22,S1,3.2,4.3,atendido,preferente
TUR021-000230,2024-07-23,S2,9.8,6.1,atendido,ordinaria
TUR021-000231,2024-07-24,S3,7.9,4.7,atendido,preferente
TUR021-000232,2024-07-25,S1,5.6,9.4,atendido,preferente
TUR021-000233,2024-07-26,S2,9.2,7.4,atendido,ordinaria
TUR021-000234,2024-07-27,S3,10.1,13.7,atendido,preferente
TUR021-000235,2024-07-28,S1,3.8,15.8,atendido,ordinaria
TUR021-000236,2024-07-29,S2,3.5,16.9,atendido,preferente
TUR021-000237,2024-07-30,S3,7.6,3.5,atendido,ordinaria
TUR021-000238,2024-07-31,S1,3.8,14.3,atendido,ordinaria
TUR021-000239,2024-07-31,S2,4.8,8.6,atendido,ordinaria
TUR021-000240,2024-08-01,S3,4.6,16.4,atendido,preferente
TUR021-000241,2024-08-02,S1,9.7,3.1,atendido,ordinaria
TUR021-000242,2024-08-03,S2,20.4,8.6,atendido,preferente
TUR021-000243,2024-08-04,S3,4.7,5.2,atendido,preferente
TUR021-000244,2024-08-05,S1,5.1,13.2,atendido,preferente
TUR021-000245,2024-08-06,S2,10.8,17.9,atendido,ordinaria
TUR021-000246,2024-08-07,S3,10.2,10.1,atendido,preferente
TUR021-000247,2024-08-08,S1,3.5,16.3,atendido,ordinaria
TUR021-000248,2024-08-08,S2,7.4,14.7,atendido,ordinaria
TUR021-000249,2024-08-09,S3,23.6,15.6,atendido,ordinaria
TUR021-000250,2024-08-10,S1,,4.5,atendido,preferente
TUR021-000251,2024-08-11,S2,14.3,17.7,atendido,ordinaria
TUR021-000252,2024-08-12,S3,15.2,10.6,atendido,ordinaria
TUR021-000253,2024-08-13,S1,12.4,8.8,atendido,preferente
TUR021-000254,2024-08-14,S2,6.3,3.3,atendido,preferente
TUR021-000255,2024-08-15,S3,8.4,9.9,atendido,preferente
TUR021-000256,2024-08-16,S1,5.2,17.9,atendido,preferente
TUR021-000257,2024-08-17,S2,14.0,4.7,atendido,ordinaria
TUR021-000258,2024-08-17,S3,8.8,11.4,atendido,ordinaria
TUR021-000259,2024-08-18,S1,5.0,16.2,atendido,preferente
TUR021-000260,2024-08-19,S2,22.1,17.2,atendido,preferente
TUR021-000261,2024-08-20,S3,13.9,17.7,atendido,ordinaria
TUR021-000262,2024-08-21,S1,6.1,17.2,atendido,ordinaria
TUR021-000263,2024-08-22,S2,6.7,16.3,atendido,ordinaria
TUR021-000264,2024-08-23,S3,21.5,6.2,atendido,preferente
TUR021-000265,2024-08-24,S1,14.7,6.6,atendido,ordinaria
TUR021-000266,2024-08-25,S2,5.9,16.2,atendido,ordinaria
TUR021-000267,2024-08-25,S3,16.2,17.1,atendido,ordinaria
TUR021-000268,2024-08-26,S1,9.8,14.9,atendido,ordinaria
TUR021-000269,2024-08-27,S2,11.9,6.2,atendido,ordinaria
TUR021-000270,2024-08-28,S3,13.5,16.5,atendido,ordinaria
TUR021-000271,2024-08-29,S1,6.4,8.1,atendido,ordinaria
TUR021-000272,2024-08-30,S2,11.6,6.8,atendido,ordinaria
TUR021-000273,2024-08-31,S3,4.7,7.3,atendido,preferente
TUR021-000274,2024-09-01,S1,27.0,15.6,atendido,preferente
TUR021-000275,2024-09-02,S2,13.1,7.2,atendido,ordinaria
TUR021-000276,2024-09-03,S3,11.0,4.4,atendido,preferente
TUR021-000277,2024-09-03,S1,4.7,8.4,atendido,ordinaria
TUR021-000278,2024-09-04,S2,11.5,16.9,atendido,ordinaria
TUR021-000279,2024-09-05,S3,19.1,12.2,atendido,ordinaria
TUR021-000280,2024-09-06,S1,2.0,16.7,atendido,ordinaria
TUR021-000281,2024-09-07,S2,10.5,,abandono,preferente
TUR021-000282,2024-09-08,S3,9.4,,abandono,ordinaria
TUR021-000283,2024-09-09,S1,4.9,10.0,atendido,ordinaria
TUR021-000284,2024-09-10,S2,2.6,11.8,atendido,ordinaria
TUR021-000285,2024-09-11,S3,6.0,12.4,atendido,ordinaria
TUR021-000286,2024-09-11,S1,20.7,16.9,atendido,ordinaria
TUR021-000287,2024-09-12,S2,10.9,18.0,atendido,preferente
TUR021-000288,2024-09-13,S3,6.0,6.0,atendido,preferente
TUR021-000289,2024-09-14,S1,5.1,11.5,atendido,ordinaria
TUR021-000290,2024-09-15,S2,5.2,15.0,atendido,preferente
TUR021-000291,2024-09-16,S3,19.9,16.0,atendido,ordinaria
TUR021-000292,2024-09-17,S1,4.8,11.5, ATENDIDO ,ordinaria
TUR021-000293,2024-09-18,S2,14.6,10.6,atendido,preferente
TUR021-000294,2024-09-19,S3,3.8,8.7,atendido,ordinaria
TUR021-000295,2024-09-20,S1,15.1,15.2,atendido,ordinaria
TUR021-000296,2024-09-20,S2,22.8,,abandono,ordinaria
TUR021-000297,2024-09-21,S3,4.8,17.8,atendido,preferente
TUR021-000298,2024-09-22,S1,2.4,9.6,atendido,ordinaria
TUR021-000299,2024-09-23,S2,24.0,,abandono,ordinaria
TUR021-000300,2024-09-24,S3,17.5,6.4,atendido,ordinaria
TUR021-000301,2024-09-25,S1,3.5,9.2,atendido,preferente
TUR021-000302,2024-09-26,S2,8.3,9.9,atendido,ordinaria
TUR021-000303,2024-09-27,S3,6.8,12.5,atendido,ordinaria
TUR021-000304,2024-09-28,S1,5.3,7.2,atendido,ordinaria
TUR021-000305,2024-09-28,S2,2.2,15.5,atendido,preferente
TUR021-000306,2024-09-29,S3,16.5,16.1,atendido,ordinaria
TUR021-000307,2024-09-30,S1,5.6,6.6,atendido,ordinaria
TUR021-000308,2024-10-01,S2,5.7,9.7,atendido,ordinaria
TUR021-000309,2024-10-02,S3,5.3,9.1,atendido,preferente
TUR021-000310,2024-10-03,S1,15.1,3.4,atendido,ordinaria
TUR021-000311,2024-10-04,S2,7.8,4.8,atendido,ordinaria
TUR021-000312,2024-10-05,S3,15.8,17.4,atendido,ordinaria
TUR021-000313,2024-10-06,S1,4.6,6.7,atendido,preferente
TUR021-000314,2024-10-07,S2,5.5,7.0,atendido,ordinaria
TUR021-000315,2024-10-07,S3,7.9,3.5,atendido,ordinaria
TUR021-000316,2024-10-08,S1,2.0,13.4,atendido,ordinaria
TUR021-000317,2024-10-09,S2,11.0,16.0,atendido,ordinaria
TUR021-000318,2024-10-10,S3,8.5,8.5,atendido,preferente
TUR021-000319,2024-10-11,S1,17.6,5.4,atendido,preferente
TUR021-000320,2024-10-12,S2,8.0,17.7,atendido,preferente
TUR021-000321,2024-10-13,S3,13.2,12.7,atendido,ordinaria
TUR021-000322,2024-10-14,S1,34.5,16.0,atendido,ordinaria
TUR021-000323,2024-10-15,S2,7.7,17.4,atendido,ordinaria
TUR021-000324,2024-10-15,S3,23.3,15.1,atendido,ordinaria
TUR021-000325,2024-10-16,S1,26.2,10.2,atendido,ordinaria
TUR021-000326,2024-10-17,S2,57.1,6.4,atendido,ordinaria
TUR021-000327,2024-10-18,S3,2.0,17.0,atendido,preferente
TUR021-000328,2024-10-19,S1,5.5,12.0,atendido,ordinaria
TUR021-000329,2024-10-20,S2,33.5,,abandono,ordinaria
TUR021-000330,2024-10-21,S3,17.6,4.2,atendido,ordinaria
TUR021-000331,2024-10-22,S1,6.2,5.3,atendido,ordinaria
TUR021-000332,2024-10-23,S2,6.8,,abandono,ordinaria
TUR021-000333,2024-10-24,S3,,17.5,atendido,ordinaria
TUR021-000334,2024-10-24,S1,5.7,8.0,atendido,preferente
TUR021-000335,2024-10-25,S2,13.3,14.1,atendido,preferente
TUR021-000336,2024-10-26,S3,19.1,8.2,atendido,ordinaria
TUR021-000337,2024-10-27,S1,26.7,3.6,atendido,ordinaria
TUR021-000338,2024-10-28,S2,9.6,8.5,atendido,ordinaria
TUR021-000339,2024-10-29,S3,9.4,6.8,atendido,preferente
TUR021-000340,2024-10-30,S1,8.6,,abandono,ordinaria
TUR021-000341,2024-10-31,S2,4.6,12.9,atendido,preferente
TUR021-000342,2024-11-01,S3,5.4,13.0,atendido,preferente
TUR021-000343,2024-11-01,S1,3.0,10.1,atendido,preferente
TUR021-000344,2024-11-02,S2,19.8,,abandono,ordinaria
TUR021-000345,2024-11-03,S3,6.1,9.7,atendido,preferente
TUR021-000346,2024-11-04,S1,16.1,,abandono,preferente
TUR021-000347,2024-11-05,S2,13.4,,abandono,ordinaria
TUR021-000348,2024-11-06,S3,26.0,16.1,atendido,ordinaria
TUR021-000349,2024-11-07,S1,2.4,16.8,atendido,preferente
TUR021-000350,2024-11-08,S2,12.6,3.7,atendido,ordinaria
TUR021-000351,2024-11-09,S3,14.7,15.7,atendido,ordinaria
TUR021-000352,2024-11-10,S1,11.0,,abandono,ordinaria
TUR021-000353,2024-11-10,S2,12.0,6.0,atendido,ordinaria
TUR021-000354,2024-11-11,S3,4.1,4.8,atendido,ordinaria
TUR021-000355,2024-11-12,S1,12.8,10.5,atendido,preferente
TUR021-000356,2024-11-13,S2,12.9,,abandono,ordinaria
TUR021-000357,2024-11-14,S3,5.2,6.7,atendido,preferente
TUR021-000358,2024-11-15,S1,5.3,15.1,atendido,ordinaria
TUR021-000359,2024-11-16,S2,8.2,8.3,atendido,preferente
TUR021-000360,2024-11-17,S3,7.2,,abandono,preferente
TUR021-000361,2024-11-18,S1,21.6,17.8,atendido,preferente
TUR021-000362,2024-11-18,S2,4.7,13.9,atendido,ordinaria
TUR021-000363,2024-11-19,S3,3.6,8.1,atendido,ordinaria
TUR021-000364,2024-11-20,S1,8.6,17.9,atendido,ordinaria
TUR021-000365,2024-11-21,S2,9.3,4.5,atendido,preferente
TUR021-000366,2024-11-22,S3,16.3,4.3,atendido,ordinaria
TUR021-000367,2024-11-23,S1,7.4,17.6,atendido,ordinaria
TUR021-000368,2024-11-24,S2,8.1,10.2,atendido,ordinaria
TUR021-000369,2024-11-25,S3,3.6,9.8,atendido,preferente
TUR021-000370,2024-11-26,S1,3.8,10.4,atendido,ordinaria
TUR021-000371,2024-11-27,S2,6.7,11.0,atendido,ordinaria
TUR021-000372,2024-11-27,S3,16.4,4.7,atendido,ordinaria
TUR021-000373,2024-11-28,S1,9.0,7.4,atendido,ordinaria
TUR021-000374,2024-11-29,S2,13.7,3.8,atendido,ordinaria
TUR021-000375,2024-11-30,S3,12.9,13.3,atendido,ordinaria
TUR021-000376,2024-12-01,S1,14.2,17.9,atendido,ordinaria
TUR021-000377,2024-12-02,S2,10.6,5.8,atendido,ordinaria
TUR021-000378,2024-12-03,S3,9.6,16.4,atendido,ordinaria
TUR021-000379,2024-12-04,S1,6.5,7.8,atendido,ordinaria
TUR021-000380,2024-12-05,S2,30.0,6.5,atendido,ordinaria
TUR021-000381,2024-12-05,S3,10.1,15.3,atendido,ordinaria
TUR021-000382,2024-12-06,S1,11.8,12.3,atendido,ordinaria
TUR021-000383,2024-12-07,S2,19.9,8.2,atendido,ordinaria
TUR021-000384,2024-12-08,S3,15.2,9.4,atendido,ordinaria
TUR021-000385,2024-12-09,S1,11.8,9.6,atendido,ordinaria
TUR021-000386,2024-12-10,S2,12.6,13.1,atendido,ordinaria
TUR021-000387,2024-12-11,S3,8.5,3.1,atendido,ordinaria
TUR021-000388,2024-12-12,S1,14.7,10.5,atendido,ordinaria
TUR021-000389,2024-12-13,S2,10.9,12.7, ATENDIDO ,ordinaria
TUR021-000390,2024-02-30,S3,11.0,10.5,atendido,preferente
TUR021-000391,2024-12-14,S1,15.0,17.4,atendido,ordinaria
TUR021-000392,2024-12-15,S2,5.1,7.9,atendido,preferente
TUR021-000393,2024-12-16,S3,27.1,5.0,atendido,ordinaria
TUR021-000394,2024-12-17,S1,4.5,6.1,atendido,ordinaria
TUR021-000395,2024-12-18,S2,14.0,8.1,atendido,ordinaria
TUR021-000396,2024-12-19,S3,13.2,13.6,atendido,ordinaria
