registro_id,fecha,sede,modalidad,asistencia_pct,nota_inicial,nota_final,horas_estudio,tutorias
NOT081-000131,2024-02-01,S2,presencial,79.6,9.2,11.6,11.2,4
NOT081-000132,2024-02-01,S3,virtual,100,16.5,18.6,8.0,0
NOT081-000133,2024-02-02,S1,virtual,86.5,13.5,14.6,10.4,0
NOT081-000134,2024-02-02,S2,virtual,98.9,10.2,13.1,10.2,0
NOT081-000135,2024-02-02,S3,presencial,96.5,12.6,15.5,9.3,3
NOT081-000136,2024-02-02,S1,presencial,89.1,7.6,8.8,6.1,9
NOT081-000137,2024-02-03,S2,virtual,73.3,14.8,14.6,7.0,2
NOT081-000138,2024-02-03,S3,presencial,47.3,10.6,6.9,2.9,1
NOT081-000139,2024-02-03,S1,virtual,64.6,15.1,10.4,0.8,1
NOT081-000140,2024-02-03,S2,virtual,50.1,11.8,12.1,10.8,2
NOT081-000141,2024-02-04,S3,virtual,89.2,8.6,9.2,1.7,8
NOT081-000142,2024-02-04,S1,virtual,76.8,6.5,8.6,2.5,5
NOT081-000143,2024-02-04,S2,virtual,87.1,7.9,10.3,5.9,7
NOT081-000144,2024-02-04,S3,presencial,71.5,10.7,10.6,6.8,0
NOT081-000145,2024-02-05,S1,presencial,88.8,7.5,7.1,5.9,5
NOT081-000146,2024-02-05,S2,virtual,73.9,9.1,9.6,10.0,5
NOT081-000147,2024-02-05,S3,presencial,100,8.7,14.4,9.5,2
NOT081-000148,2024-02-05,S1,virtual,81.9,11.3,10.6,3.0,2
NOT081-000149,2024-02-06,S2,virtual,75.0,16.5,16.3,11.0,0
NOT081-000150,2024-02-06,S3,presencial,78.5,10.0,9.9,0.6,2
NOT081-000151,2024-02-06,S1,virtual,53.3,10.1,11.0,9.0,3
NOT081-000152,2024-02-06,S2,presencial,71.2,9.9,11.7,2.1,10
NOT081-000153,2024-02-07,S3,presencial,76.3,16.8,17.2,9.4,2
NOT081-000154,2024-02-07,S1,presencial,97.3,15.4,13.1,2.9,2
NOT081-000155,2024-02-07,S2,presencial,56.7,9.9,8.9,2.1,2
NOT081-000156,2024-02-07,S3,presencial,70.1,7.6,8.0,9.9,7
NOT081-000157,2024-02-08,S1,presencial,59.7,7.9,6.4,9.9,3
NOT081-000158,2024-02-08,S2,presencial,77.1,14.4,13.5,7.7,2
NOT081-000159,2024-02-08,S3,presencial,100,14.1,14.8,7.9,3
NOT081-000160,2024-02-08,S1,virtual,100,13.8,15.1,11.1,2
NOT081-000161,2024-02-08,S2,presencial,85.9,20,19.3,9.0,1
NOT081-000162,2024-02-09,S3,virtual,85.7,10.0,13.4,11.1,2
NOT081-000163,2024-02-09,S1,presencial,87.9,12.0,14.0,10.3,2
NOT081-000164,2024-02-09,S2,virtual,66.8,15.1,16.2,11.5,1
NOT081-000165,2024-02-09,S3,presencial,71.2,9.5,10.1,4.4,9
NOT081-000166,2024-02-10,S1,presencial,73.5,13.9,13.2,8.8,2
NOT081-000167,2024-02-10,S2,presencial,100,7.8,,3.0,8
NOT081-000168,2024-02-10,S3,presencial,81.6,14.2,13.6,10.9,3
NOT081-000169,2024-02-10,S1,virtual,94.8,8.8,11.9,2.9,7
NOT081-000170,2024-02-11,S2,presencial,93.6,9.3,10.7,4.8,9
NOT081-000171,2024-02-11,S3,presencial,53.5,12.1,7.1,2.7,2
NOT081-000172,2024-02-11,S1,presencial,81.5,9.8,8.5,4.6,10
NOT081-000173,2024-02-11,S2,virtual,97.8,15.8,12.6,4.6,2
NOT081-000174,2024-02-12,S3,virtual,58.6,12.4,8.9,7.7,3
NOT081-000175,2024-02-12,S1,virtual,72.0,10.7,8.8,2.1,3
NOT081-000176,2024-02-12,S2,presencial,87.0,9.9,12.7,4.5,4
NOT081-000177,2024-02-12,S3,virtual,50.3,12.7,14.3,8.8,1
NOT081-000178,2024-02-13,S1,presencial,100,9.8,13.1,9.5,5
NOT081-000179,2024-02-13,S2,presencial,65.9,7.4,7.3,2.5,3
NOT081-000180,2024-02-13,S3,presencial,88.6,13.1,12.8,2.9,2
NOT081-000181,2024-02-13,S1,virtual,68.5,13.5,11.9,9.0,2
NOT081-000182,2024-02-14,S2,virtual,85.0,12.8,11.9,4.7,3
NOT081-000183,2024-02-14,S3,virtual,65.3,8.7,8.0,12.0,4
NOT081-000184,2024-02-14,S1,presencial,80.4,13.6,9.0,7.0,0
NOT081-000185,2024-02-14,S2,virtual,72.3,9.4,7.3,3.6,5
NOT081-000186,2024-02-15,S3,virtual,71.8,16.5,16.9,8.5,2
NOT081-000187,2024-02-15,S1,virtual,74.3,10.9,11.1,9.8,3
NOT081-000188,2024-02-15,S2,virtual,57.2,15.1,13.1,7.9,1
NOT081-000189,2024-02-15,S3,presencial,100,4.7,7.9,7.2,7
NOT081-000190,2024-02-16,S1,virtual,56.6,9.6,8.8,2.2,4
NOT081-000191,2024-02-16,S2,presencial,48.6,12.6,15.2,10.2,1
NOT081-000192,2024-02-16,S3,presencial,94.8,13.0,13.5,5.1,0
NOT081-000193,2024-02-16,S1,virtual,84.7,8.9,10.8,1.7,7
NOT081-000194,2024-02-17,S2,presencial,49.9,13.3,11.0,1.6,3
NOT081-000195,2024-02-17,S3, VIRTUAL ,33.5,8.3,9.3,7.9,4
NOT081-000196,2024-02-17,S1,virtual,69.2,13.5,11.0,4.3,2
NOT081-000197,2024-02-17,S2,virtual,71.4,7.5,9.5,8.8,9
NOT081-000198,2024-02-18,S3,presencial,63.1,6.9,10.2,0.2,9
NOT081-000199,2024-02-18,S1,presencial,87.3,11.3,10.5,7.4,0
NOT081-000200,2024-02-18,S2,presencial,100,11.2,17.6,11.5,0
NOT081-000201,2024-02-18,S3,virtual,57.9,3.1,7.2,6.9,9
NOT081-000202,2024-02-18,S1,virtual,54.3,8.7,8.8,11.7,5
NOT081-000203,2024-02-19,S2,presencial,49.9,6.4,7.3,1.4,10
NOT081-000204,2024-02-19,S3,virtual,100,12.7,15.5,8.2,2
NOT081-000205,2024-02-19,S1,virtual,88.1,11.9,11.9,7.3,0
NOT081-000206,2024-02-19,S2,virtual,77.4,12.2,9.9,1.6,2
NOT081-000207,2024-02-20,S3,presencial,94.2,10.1,9.7,4.0,0
NOT081-000208,2024-02-20,S1,presencial,76.5,6.9,10.0,8.3,10
NOT081-000209,2024-02-20,S2,virtual,68.5,10.1,10.9,8.1,2
NOT081-000210,2024-02-20,S3,presencial,33.8,6.9,3.8,9.4,3
NOT081-000211,2024-02-21,S1,virtual,50.1,15.5,14.5,10.0,1
NOT081-000212,2024-02-21,S2,presencial,67.9,9.9,"10,0",0.7,7
NOT081-000213,2024-02-21,S3,presencial,76.4,8.6,8.3,4.1,8
NOT081-000214,2024-02-21,S1,virtual,72.5,13.8,9.1,8.1,3
NOT081-000215,2024-02-22,S2,presencial,100,8.7,9.9,7.7,9
NOT081-000216,2024-02-22,S3,presencial,61.4,16.7,14.3,10.7,0
NOT081-000217,2024-02-22,S1,presencial,53.2,10.9,7.9,1.7,3
NOT081-000218,2024-02-22,S2,presencial,51.8,14.6,14.4,5.3,3
NOT081-000219,2024-02-23,S3,virtual,77.2,8.2,10.0,7.6,5
NOT081-000220,2024-02-23,S1,presencial,76.2,12.2,10.2,4.8,2
NOT081-000221,2024-02-23,S2,virtual,83.1,11.3,11.9,11.7,2
NOT081-000222,2024-02-23,S3,virtual,85.3,7.7,14.9,11.1,7
NOT081-000223,2024-02-24,S1,presencial,55.9,13.6,12.0,9.9,3
NOT081-000224,2024-02-24,S2,virtual,91.1,8.5,9.9,0.9,9
NOT081-000225,2024-02-24,S3,virtual,69.1,7.0,8.0,4.8,8
NOT081-000226,2024-02-24,S1,virtual,56.9,15.4,13.5,5.7,1
NOT081-000227,2024-02-25,S2,virtual,66.3,12.3,9.6,0.6,0
NOT081-000228,2024-02-25,S3,presencial,70.9,13.8,4.9,0.5,0
NOT081-000229,2024-02-25,S1,virtual,82.3,12.4,12.5,8.4,3
NOT081-000230,2024-02-25,S2,presencial,72.1,11.6,8.7,2.3,3
NOT081-000231,2024-02-26,S3,presencial,63.5,9.6,11.8,7.5,8
NOT081-000232,2024-02-26,S1,virtual,100,10.7,12.3,7.6,2
NOT081-000233,2024-02-26,S2,presencial,79.3,11.6,7.8,2.6,0
NOT081-000234,2024-02-26,S3,presencial,75.8,9.0,10.2,8.1,10
NOT081-000235,2024-02-27,S1,presencial,86.0,7.6,11.5,5.0,5
NOT081-000236,2024-02-27,S2,presencial,63.7,8.1,10.6,2.5,10
NOT081-000237,2024-02-27,S3,virtual,68.0,8.6,9.6,11.9,5
NOT081-000238,2024-02-27,S1,presencial,70.5,11.8,14.3,6.4,0
NOT081-000239,2024-02-27,S2,virtual,63.3,9.7,12.9,7.2,10
NOT081-000240,2024-02-28,S3,virtual,78.6,11.3,10.0,8.8,1
NOT081-000241,2024-02-28,S1,virtual,77.1,10.3,7.4,2.5,2
NOT081-000242,2024-02-28,S2,presencial,100,13.3,13.8,6.0,1
NOT081-000243,2024-02-28,S3,presencial,79.8,12.1,14.8,9.1,0
NOT081-000244,2024-02-29,S1,virtual,70.6,7.7,5.7,0.2,6
NOT081-000245,2024-02-29,S2,presencial,100,9.7,12.4,3.8,5
NOT081-000246,2024-02-29,S3,virtual,81.3,6.7,9.1,6.4,5
NOT081-000247,2024-02-29,S1,presencial,73.3,13.5,10.9,0.5,0
NOT081-000248,2024-03-01,S2,virtual,91.0,9.7,11.5,4.5,8
NOT081-000249,2024-03-01,S3,presencial,68.2,10.6,11.2,10.0,3
NOT081-000250,2024-03-01,S1,presencial,100,10.0,,8.6,1
NOT081-000251,2024-03-01,S2,presencial,90.5,14.3,18.6,6.1,3
NOT081-000252,2024-03-02,S3,virtual,100,10.5,9.7,2.7,2
NOT081-000253,2024-03-02,S1,presencial,71.9,9.2,10.8,0.7,4
NOT081-000254,2024-03-02,S2,presencial,84.7,9.1,7.1,4.8,10
NOT081-000255,2024-03-02,S3,presencial,100,8.2,9.7,7.5,10
NOT081-000256,2024-03-03,S1,presencial,69.3,9.0,11.3,11.7,6
NOT081-000257,2024-03-03,S2,presencial,85.4,9.3,7.0,9.4,4
NOT081-000258,2024-03-03,S3,presencial,100,9.2,11.9,0.9,3
NOT081-000259,2024-03-03,S1,virtual,98.8,9.5,11.2,6.4,6
NOT081-000260,2024-03-04,S2,virtual,86.2,11.8,9.0,2.9,3
NOT081-000261,2024-03-04,S3,presencial,87.9,13.4,13.9,10.4,2
NOT081-000262,2024-03-04,S1,presencial,100,11.5,11.0,9.6,2
NOT081-000263,2024-03-04,S2,virtual,66.2,11.6,13.5,8.2,2
NOT081-000264,2024-03-05,S3,presencial,54.3,8.8,12.0,6.8,4
NOT081-000265,2024-03-05,S1,virtual,94.0,14.9,13.6,0.8,1
NOT081-000266,2024-03-05,S2,virtual,96.3,8.2,9.4,12.0,7
NOT081-000267,2024-03-05,S3,virtual,51.0,10.4,7.5,5.2,1
NOT081-000268,2024-03-06,S1,presencial,100,10.1,11.5,2.0,2
NOT081-000269,2024-03-06,S2,presencial,78.5,9.3,9.0,3.1,4
NOT081-000270,2024-03-06,S3,presencial,97.3,9.8,10.7,3.0,2
NOT081-000271,2024-03-06,S1,virtual,100,9.2,15.3,11.5,10
NOT081-000272,2024-03-07,S2,virtual,95.1,12.5,16.7,6.8,1
NOT081-000273,2024-03-07,S3,presencial,38.5,12.7,14.4,4.5,1
NOT081-000274,2024-03-07,S1,presencial,91.0,20,18.9,10.7,3
NOT081-000275,2024-03-07,S2,presencial,100,12.7,13.6,4.7,2
NOT081-000276,2024-03-08,S3,virtual,55.3,8.9,10.1,6.7,6
NOT081-000277,2024-03-08,S1,virtual,58.1,13.8,12.3,9.4,3
NOT081-000278,2024-03-08,S2,presencial,65.7,14.4,12.6,4.4,0
NOT081-000279,2024-03-08,S3,virtual,76.7,9.3,6.7,6.8,5
NOT081-000280,2024-03-08,S1,virtual,81.0,15.1,15.8,2.6,1
NOT081-000281,2024-03-09,S2,presencial,67.7,13.8,13.3,1.9,0
NOT081-000282,2024-03-09,S3,virtual,86.1,10.1,9.5,9.4,2
NOT081-000283,2024-03-09,S1,virtual,100,11.3,11.8,1.7,0
NOT081-000284,2024-03-09,S2,presencial,54.5,9.0,11.9,3.7,5
NOT081-000285,2024-03-10,S3,virtual,77.0,11.3,15.7,10.8,2
NOT081-000286,2024-03-10,S1,virtual,89.2,9.1,12.7,1.5,3
NOT081-000287,2024-03-10,S2,presencial,79.5,5.7,10.1,8.5,8
NOT081-000288,2024-03-10,S3,virtual,69.1,12.0,7.5,11.4,1
NOT081-000289,2024-03-11,S1,presencial,79.6,8.4,6.6,2.0,10
NOT081-000290,2024-03-11,S2,virtual,95.8,8.1,9.0,10.2,2
NOT081-000291,2024-03-11,S3,virtual,100,7.9,9.6,11.7,8
NOT081-000292,2024-03-11,S1, PRESENCIAL ,84.7,8.6,11.6,10.7,7
NOT081-000293,2024-03-12,S2,presencial,63.2,8.8,8.2,8.5,2
NOT081-000294,2024-03-12,S3,virtual,66.8,10.0,12.2,2.8,3
NOT081-000295,2024-03-12,S1,presencial,100,11.7,17.5,11.8,0
NOT081-000296,2024-03-12,S2,presencial,97.7,7.0,8.8,2.4,5
NOT081-000297,2024-03-13,S3,virtual,69.6,10.6,9.8,5.8,1
NOT081-000298,2024-03-13,S1,virtual,94.4,9.7,13.2,8.9,2
NOT081-000299,2024-03-13,S2,presencial,86.6,12.4,11.3,8.6,2
NOT081-000300,2024-03-13,S3,presencial,100,13.4,14.3,5.1,3
NOT081-000301,2024-03-14,S1,virtual,60.0,12.8,10.1,0.5,1
NOT081-000302,2024-03-14,S2,presencial,90.4,15.1,14.9,0.5,1
NOT081-000303,2024-03-14,S3,presencial,90.1,9.0,9.9,10.5,4
NOT081-000304,2024-03-14,S1,virtual,60.4,1.2,5.8,11.6,5
NOT081-000305,2024-03-15,S2,virtual,64.1,6.5,7.9,1.2,2
NOT081-000306,2024-03-15,S3,virtual,66.9,12.8,11.5,3.5,3
NOT081-000307,2024-03-15,S1,virtual,76.8,11.3,14.7,5.0,0
NOT081-000308,2024-03-15,S2,virtual,85.9,11.7,12.0,3.2,2
NOT081-000309,2024-03-16,S3,virtual,65.3,14.2,14.7,6.4,2
NOT081-000310,2024-03-16,S1,presencial,77.5,7.9,8.7,6.7,3
NOT081-000311,2024-03-16,S2,virtual,88.6,9.9,11.9,10.4,2
NOT081-000312,2024-03-16,S3,virtual,99.0,8.6,11.8,6.3,8
NOT081-000313,2024-03-17,S1,presencial,57.0,9.1,10.2,6.5,3
NOT081-000314,2024-03-17,S2,presencial,74.1,8.2,10.4,11.6,3
NOT081-000315,2024-03-17,S3,presencial,74.2,10.8,9.6,5.0,0
NOT081-000316,2024-03-17,S1,presencial,91.4,10.1,6.7,6.6,0
NOT081-000317,2024-03-17,S2,presencial,100,12.4,11.4,5.7,3
NOT081-000318,2024-03-18,S3,virtual,75.0,12.6,11.9,5.0,1
NOT081-000319,2024-03-18,S1,virtual,60.5,8.0,7.1,3.8,4
NOT081-000320,2024-03-18,S2,presencial,44.7,8.3,6.7,2.6,3
NOT081-000321,2024-03-18,S3,virtual,67.9,16.9,16.4,6.1,0
NOT081-000322,2024-03-19,S1,virtual,97.7,13.1,13.9,2.1,3
NOT081-000323,2024-03-19,S2,presencial,66.0,12.5,12.4,3.3,3
NOT081-000324,2024-03-19,S3,presencial,76.2,8.2,10.9,10.4,10
NOT081-000325,2024-03-19,S1,presencial,57.8,12.2,7.2,3.3,3
NOT081-000326,2024-03-20,S2,presencial,72.3,15.2,16.1,1.9,2
NOT081-000327,2024-03-20,S3,virtual,75.3,8.5,11.1,10.0,2
NOT081-000328,2024-03-20,S1,virtual,95.2,11.0,12.9,7.4,3
NOT081-000329,2024-03-20,S2,presencial,100,11.7,10.2,5.9,3
NOT081-000330,2024-03-21,S3,virtual,88.2,11.2,13.1,1.3,1
NOT081-000331,2024-03-21,S1,virtual,79.7,8.5,11.7,3.3,7
NOT081-000332,2024-03-21,S2,virtual,69.3,16.3,13.2,0.6,2
NOT081-000333,2024-03-21,S3,virtual,74.2,14.6,,5.3,0
NOT081-000334,2024-03-22,S1,virtual,74.4,8.3,11.8,6.2,5
NOT081-000335,2024-03-22,S2,presencial,100,12.2,12.8,6.9,0
NOT081-000336,2024-03-22,S3,virtual,70.3,11.2,10.4,2.2,1
NOT081-000337,2024-03-22,S1,presencial,83.6,6.1,8.9,7.2,7
NOT081-000338,2024-03-23,S2,virtual,47.3,14.8,14.4,10.6,3
NOT081-000339,2024-03-23,S3,presencial,91.0,7.5,11.3,11.5,10
NOT081-000340,2024-03-23,S1,virtual,72.6,12.9,13.5,7.9,0
NOT081-000341,2024-03-23,S2,virtual,93.3,9.4,15.0,3.5,9
NOT081-000342,2024-03-24,S3,virtual,68.1,10.4,14.0,8.7,3
NOT081-000343,2024-03-24,S1,virtual,52.8,8.4,5.4,6.4,2
NOT081-000344,2024-03-24,S2,presencial,58.6,13.3,11.5,2.7,0
NOT081-000345,2024-03-24,S3,virtual,88.2,8.9,13.9,1.3,8
NOT081-000346,2024-03-25,S1,virtual,92.9,12.1,12.2,11.8,1
NOT081-000347,2024-03-25,S2,virtual,89.3,3.8,8.6,10.0,7
NOT081-000348,2024-03-25,S3,virtual,73.0,12.7,9.8,11.8,1
NOT081-000349,2024-03-25,S1,virtual,32.6,12.4,8.9,12.0,1
